#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1             7.57953             7.57953                   0
           2             7.58254             7.58103          0.00106439
           3             7.51905             7.56037           0.0168854
           4             7.62029             7.57535           0.0181297
           5             7.62154             7.58459           0.0166921
           6             7.58773             7.58511           0.0139183
           7             7.62247             7.59045           0.0129125
           8             7.61668             7.59373           0.0117075
           9             7.55679             7.58962           0.0111027
          10             7.57278             7.58794           0.0101193
          11             7.66467             7.59492           0.0113516
          12              7.5495             7.59113           0.0110185
          13             7.54904             7.58789           0.0106359
          14             7.60276             7.58896          0.00992901
          15              7.5418             7.58581            0.009752
          16             7.60855             7.58723          0.00924549
          17             7.62871             7.58967           0.0090178
          18             7.67572             7.59445          0.00970136
          19             7.55794             7.59253          0.00937919
          20             7.55356             7.59058          0.00911036
          21              7.5812             7.59014          0.00868748
          22             7.63395             7.59213          0.00851783
          23             7.57855             7.59154          0.00816793
          24             7.60953             7.59229          0.00786192
          25             7.53741             7.59009           0.0078479
          26             7.57261             7.58942          0.00757482
          27              7.6141             7.59033          0.00734923
          28             7.61776             7.59131          0.00715172
          29             7.56521             7.59041          0.00696153
          30             7.57833             7.59001          0.00674112
          31             7.62262             7.59106           0.0066052
          32             7.57922             7.59069          0.00640914
          33             7.56099             7.58979           0.0062778
          34             7.55331             7.58872          0.00618417
          35             7.65678             7.59066          0.00630578
          36             7.62541             7.59163          0.00620404
          37             7.61646              7.5923          0.00607255
          38             7.56755             7.59165          0.00594758
          39             7.58187              7.5914          0.00580036
          40             7.64335              7.5927          0.00579894
          41             7.49981             7.59043          0.00608394
          42             7.63291             7.59144          0.00602255
          43             7.56563             7.59084          0.00591233
          44             7.56661             7.59029          0.00580354
          45             7.60054             7.59052          0.00567904
          46              7.6423             7.59164          0.00566605
          47             7.58751             7.59156          0.00554618
          48              7.5632             7.59097          0.00546202
          49             7.50685             7.58925          0.00561381
          50             7.57314             7.58893          0.00551078
          51             7.55848             7.58833          0.00543497
          52             7.61857             7.58891          0.00536147
          53             7.61233             7.58935          0.00527848
          54             7.48445             7.58741          0.00552667
          55             7.60087             7.58766           0.0054316
          56             7.55912             7.58715          0.00535846
          57              7.6069             7.58749          0.00527564
          58             7.58313             7.58742          0.00518522
          59             7.56474             7.58703          0.00511156
          60             7.62407             7.58765          0.00506351
          61             7.61468             7.58809          0.00499985
          62             7.56969              7.5878          0.00492801
          63              7.5873             7.58779          0.00484979
          64              7.5804             7.58767          0.00477539
          65             7.60006             7.58786          0.00470572
          66             7.58434             7.58781          0.00463473
          67             7.57092             7.58756           0.0045724
          68             7.60575             7.58783          0.00451298
          69             7.55609             7.58737          0.00447095
          70             7.64729             7.58822          0.00448827
          71             7.57496             7.58804          0.00442894
          72             7.58464             7.58799          0.00436768
          73             7.67647              7.5892          0.00447287
          74             7.59434             7.58927          0.00441296
          75             7.59854             7.58939          0.00435585
          76             7.60281             7.58957          0.00430212
          77             7.59096             7.58959          0.00424628
          78             7.55535             7.58915          0.00421447
          79             7.57004             7.58891          0.00416806
          80             7.65542             7.58974          0.00419807
          81             7.60165             7.58989          0.00414881
          82             7.54469             7.58933          0.00413467
          83             7.64091             7.58996          0.00413127
          84             7.56059             7.58961          0.00409686
          85             7.52079              7.5888          0.00412788
          86             7.54852             7.58833          0.00410636
          87             7.65446             7.58909          0.00412892
          88             7.69423             7.59028          0.00425134
          89             7.58972             7.59028          0.00420358
          90             7.57642             7.59012          0.00415969
          91             7.64367             7.59071           0.0041554
          92             7.61309             7.59095          0.00411735
          93             7.53029              7.5903          0.00412443
          94             7.64552             7.59089          0.00412217
          95             7.51108             7.59005           0.0041635
          96              7.5825             7.58997          0.00412087
          97             7.55799             7.58964          0.00409156
          98             7.59821             7.58973          0.00405074
          99             7.66323             7.59047           0.0040773
         100             7.55892             7.59016          0.00404871
