#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1               1.425               1.425                   0
           2               1.425               1.425         2.98023e-08
           3               1.425               1.425         8.51672e-08
           4               1.425               1.425         1.51963e-07
           5               1.425               1.425         2.29304e-07
           6               1.425               1.425         3.15633e-07
           7               1.425               1.425         4.10178e-07
           8               1.425               1.425         5.12305e-07
           9             1.42501               1.425         6.21537e-07
          10             1.42501               1.425         7.37329e-07
          11             1.42501               1.425         8.59466e-07
          12             1.42501               1.425          9.8757e-07
          13             1.42501               1.425         1.12132e-06
          14             1.42501             1.42501         1.26052e-06
          15             1.42502             1.42501         1.40501e-06
          16             1.42502             1.42501         1.55456e-06
          17             1.42502             1.42501         1.70901e-06
          18             1.42503             1.42501          1.8682e-06
          19             1.42503             1.42501         2.03201e-06
          20             1.42503             1.42501         2.20027e-06
          21             1.42503             1.42501          2.3729e-06
          22             1.42504             1.42501         2.54979e-06
          23             1.42504             1.42501         2.73083e-06
          24             1.42505             1.42502         2.91593e-06
          25             1.42505             1.42502           3.105e-06
          26             1.42505             1.42502         3.29796e-06
          27             1.42506             1.42502         3.49473e-06
          28             1.42506             1.42502         3.69524e-06
          29             1.42507             1.42502         3.89943e-06
          30             1.42507             1.42502         4.10722e-06
          31             1.42508             1.42503         4.31857e-06
          32             1.42508             1.42503          4.5334e-06
          33             1.42509             1.42503         4.75166e-06
          34             1.42509             1.42503         4.97332e-06
          35              1.4251             1.42503          5.1983e-06
          36             1.42511             1.42504         5.42658e-06
          37             1.42511             1.42504         5.65809e-06
          38             1.42512             1.42504         5.89281e-06
          39             1.42512             1.42504         6.13068e-06
          40             1.42513             1.42504         6.37167e-06
          41             1.42514             1.42505         6.61575e-06
          42             1.42515             1.42505         6.86287e-06
          43             1.42515             1.42505         7.11301e-06
          44             1.42516             1.42505         7.36612e-06
          45             1.42517             1.42506         7.62218e-06
          46             1.42518             1.42506         7.88115e-06
          47             1.42518             1.42506         8.14301e-06
          48             1.42519             1.42506         8.40773e-06
          49              1.4252             1.42507         8.67529e-06
          50             1.42521             1.42507         8.94564e-06
          51             1.42522             1.42507         9.21878e-06
          52             1.42523             1.42508         9.49468e-06
          53             1.42523             1.42508          9.7733e-06
          54             1.42524             1.42508         1.00546e-05
          55             1.42525             1.42508         1.03387e-05
          56             1.42526             1.42509         1.06254e-05
          57             1.42527             1.42509         1.09147e-05
          58             1.42528             1.42509         1.12067e-05
          59             1.42529              1.4251         1.15012e-05
          60              1.4253              1.4251         1.17984e-05
          61             1.42531              1.4251         1.20982e-05
          62             1.42532             1.42511         1.24005e-05
          63             1.42533             1.42511         1.27055e-05
          64             1.42534             1.42512         1.30132e-05
          65             1.42535             1.42512         1.33235e-05
          66             1.42537             1.42512         1.36364e-05
          67             1.42538             1.42513         1.39519e-05
          68             1.42539             1.42513         1.42699e-05
          69              1.4254             1.42513         1.45906e-05
          70             1.42541             1.42514         1.49138e-05
          71             1.42542             1.42514         1.52396e-05
          72             1.42544             1.42515          1.5568e-05
          73             1.42545             1.42515         1.58989e-05
          74             1.42546             1.42515         1.62323e-05
          75             1.42548             1.42516         1.65682e-05
          76             1.42549             1.42516         1.69067e-05
          77              1.4255             1.42517         1.72475e-05
          78             1.42551             1.42517         1.75909e-05
          79             1.42553             1.42518         1.79367e-05
          80             1.42554             1.42518         1.82849e-05
          81             1.42556             1.42519         1.86357e-05
          82             1.42557             1.42519         1.89889e-05
          83             1.42558              1.4252         1.93445e-05
          84              1.4256              1.4252         1.97027e-05
          85             1.42561             1.42521         2.00633e-05
          86             1.42563             1.42521         2.04263e-05
          87             1.42564             1.42522         2.07918e-05
          88             1.42566             1.42522         2.11597e-05
          89             1.42567             1.42523           2.153e-05
          90             1.42569             1.42523         2.19027e-05
          91             1.42571             1.42524         2.22778e-05
          92             1.42572             1.42524         2.26552e-05
          93             1.42574             1.42525         2.30351e-05
          94             1.42576             1.42525         2.34173e-05
          95             1.42577             1.42526          2.3802e-05
          96             1.42579             1.42526         2.41891e-05
          97             1.42581             1.42527         2.45786e-05
          98             1.42582             1.42527         2.49705e-05
          99             1.42584             1.42528         2.53648e-05
         100             1.42586             1.42529         2.57616e-05
         101             1.42588             1.42529         2.61607e-05
         102             1.42589              1.4253         2.65622e-05
         103             1.42591              1.4253         2.69661e-05
         104             1.42593             1.42531         2.73725e-05
         105             1.42595             1.42532         2.77811e-05
         106             1.42597             1.42532         2.81922e-05
         107             1.42599             1.42533         2.86056e-05
         108             1.42601             1.42533         2.90213e-05
         109             1.42602             1.42534         2.94395e-05
         110             1.42604             1.42535           2.986e-05
         111             1.42606             1.42535         3.02828e-05
         112             1.42608             1.42536         3.07081e-05
         113              1.4261             1.42537         3.11356e-05
         114             1.42612             1.42537         3.15655e-05
         115             1.42615             1.42538         3.19978e-05
         116             1.42617             1.42539         3.24324e-05
         117             1.42619             1.42539         3.28694e-05
         118             1.42621              1.4254         3.33088e-05
         119             1.42623             1.42541         3.37505e-05
         120             1.42625             1.42541         3.41947e-05
         121             1.42627             1.42542         3.46413e-05
         122              1.4263             1.42543         3.50903e-05
         123             1.42632             1.42544         3.55418e-05
         124             1.42634             1.42544         3.59957e-05
         125             1.42636             1.42545          3.6452e-05
         126             1.42639             1.42546         3.69107e-05
         127             1.42641             1.42547         3.73719e-05
         128             1.42643             1.42547         3.78355e-05
         129             1.42646             1.42548         3.83015e-05
         130             1.42648             1.42549         3.87699e-05
         131              1.4265              1.4255         3.92407e-05
         132             1.42653              1.4255          3.9714e-05
         133             1.42655             1.42551         4.01896e-05
         134             1.42658             1.42552         4.06676e-05
         135              1.4266             1.42553          4.1148e-05
         136             1.42663             1.42554         4.16309e-05
         137             1.42665             1.42554         4.21162e-05
         138             1.42668             1.42555         4.26039e-05
         139              1.4267             1.42556         4.30939e-05
         140             1.42673             1.42557         4.35864e-05
         141             1.42675             1.42558         4.40813e-05
         142             1.42678             1.42559         4.45785e-05
         143             1.42681             1.42559         4.50782e-05
         144             1.42683              1.4256         4.55804e-05
         145             1.42686             1.42561         4.60849e-05
         146             1.42689             1.42562         4.65918e-05
         147             1.42692             1.42563         4.71012e-05
         148             1.42694             1.42564         4.76129e-05
         149             1.42697             1.42565          4.8127e-05
         150               1.427             1.42566         4.86436e-05
         151             1.42703             1.42566         4.91625e-05
         152             1.42706             1.42567         4.96837e-05
         153             1.42708             1.42568         5.02074e-05
         154             1.42711             1.42569         5.07335e-05
