#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1          -0.0351883          -0.0351883                   0
           2          -0.0351885          -0.0351884         9.22386e-08
           3           -0.035189          -0.0351886         1.65632e-07
           4          -0.0351896          -0.0351888           2.468e-07
           5          -0.0351903          -0.0351891         3.36109e-07
           6          -0.0351913          -0.0351895         4.33157e-07
           7          -0.0351924          -0.0351899         5.37474e-07
           8          -0.0351937          -0.0351904         6.48636e-07
           9          -0.0351952          -0.0351909         7.66268e-07
          10          -0.0351968          -0.0351915         8.90045e-07
          11          -0.0351987          -0.0351922         1.01968e-06
          12          -0.0352007          -0.0351929         1.15493e-06
          13          -0.0352028          -0.0351936         1.29557e-06
          14          -0.0352052          -0.0351945         1.44139e-06
          15          -0.0352077          -0.0351953         1.59223e-06
          16          -0.0352104          -0.0351963         1.74792e-06
          17          -0.0352132          -0.0351973         1.90831e-06
          18          -0.0352163          -0.0351983         2.07326e-06
          19          -0.0352195          -0.0351994         2.24266e-06
          20          -0.0352228          -0.0352006          2.4164e-06
          21          -0.0352264          -0.0352018         2.59435e-06
          22          -0.0352301          -0.0352031         2.77643e-06
          23           -0.035234          -0.0352045         2.96255e-06
          24          -0.0352381          -0.0352059         3.15261e-06
          25          -0.0352423          -0.0352073         3.34654e-06
          26          -0.0352467          -0.0352088         3.54427e-06
          27          -0.0352513          -0.0352104         3.74571e-06
          28          -0.0352561           -0.035212         3.95082e-06
          29           -0.035261          -0.0352137         4.15951e-06
          30          -0.0352661          -0.0352155         4.37174e-06
          31          -0.0352714          -0.0352173         4.58744e-06
          32          -0.0352768          -0.0352191         4.80656e-06
          33          -0.0352824          -0.0352211         5.02905e-06
          34          -0.0352882           -0.035223         5.25487e-06
          35          -0.0352942          -0.0352251         5.48396e-06
          36          -0.0353003          -0.0352272         5.71628e-06
          37          -0.0353066          -0.0352293         5.95179e-06
          38          -0.0353131          -0.0352315         6.19045e-06
          39          -0.0353198          -0.0352338         6.43222e-06
          40          -0.0353266          -0.0352361         6.67706e-06
          41          -0.0353336          -0.0352385         6.92494e-06
          42          -0.0353408          -0.0352409         7.17582e-06
          43          -0.0353481          -0.0352434         7.42967e-06
          44          -0.0353557           -0.035246         7.68646e-06
          45          -0.0353634          -0.0352486         7.94616e-06
          46          -0.0353712          -0.0352512         8.20873e-06
          47          -0.0353793           -0.035254         8.47416e-06
          48          -0.0353875          -0.0352567         8.74242e-06
          49          -0.0353959          -0.0352596         9.01347e-06
          50          -0.0354045          -0.0352625         9.28729e-06
          51          -0.0354132          -0.0352654         9.56387e-06
          52          -0.0354221          -0.0352684         9.84317e-06
          53          -0.0354312          -0.0352715         1.01252e-05
          54          -0.0354405          -0.0352746         1.04099e-05
          55          -0.0354499          -0.0352778         1.06972e-05
          56          -0.0354595          -0.0352811         1.09872e-05
          57          -0.0354693          -0.0352844         1.12798e-05
          58          -0.0354793          -0.0352877          1.1575e-05
          59          -0.0354894          -0.0352912         1.18728e-05
          60          -0.0355021          -0.0352947         1.21844e-05
          61          -0.0355126          -0.0352982         1.24975e-05
          62          -0.0355257          -0.0353019         1.28229e-05
          63          -0.0355389          -0.0353057         1.31596e-05
          64            -0.03555          -0.0353095         1.34962e-05
          65          -0.0355612          -0.0353134          1.3833e-05
          66          -0.0355726          -0.0353173         1.41701e-05
          67          -0.0355866          -0.0353213         1.45174e-05
          68          -0.0355983          -0.0353254         1.48646e-05
          69          -0.0356127          -0.0353296         1.52211e-05
          70          -0.0356248          -0.0353338         1.55771e-05
          71          -0.0356395          -0.0353381         1.59419e-05
          72           -0.035652          -0.0353424         1.63059e-05
          73          -0.0356647          -0.0353469         1.66695e-05
          74          -0.0356776          -0.0353513         1.70329e-05
          75          -0.0356906          -0.0353558         1.73962e-05
          76          -0.0357039          -0.0353604         1.77598e-05
          77          -0.0357196          -0.0353651         1.81315e-05
          78          -0.0357356          -0.0353698         1.85108e-05
          79          -0.0357518          -0.0353747         1.88973e-05
          80          -0.0357681          -0.0353796         1.92905e-05
          81          -0.0357823          -0.0353846         1.96826e-05
          82           -0.035799          -0.0353896          2.0081e-05
          83          -0.0358159          -0.0353948         2.04853e-05
          84           -0.035833             -0.0354         2.08954e-05
          85          -0.0358479          -0.0354052         2.13038e-05
          86          -0.0358631          -0.0354106          2.1711e-05
          87          -0.0358783          -0.0354159         2.21172e-05
          88          -0.0358938          -0.0354214         2.25226e-05
          89          -0.0359118          -0.0354269         2.29338e-05
          90          -0.0359277          -0.0354324         2.33443e-05
          91          -0.0359508          -0.0354381         2.37726e-05
          92          -0.0359694          -0.0354439         2.42055e-05
          93          -0.0359882          -0.0354498         2.46427e-05
          94          -0.0360049          -0.0354557         2.50782e-05
          95          -0.0360264          -0.0354617         2.55237e-05
          96          -0.0360482          -0.0354678         2.59787e-05
          97          -0.0360678           -0.035474          2.6437e-05
          98          -0.0360876          -0.0354802         2.68984e-05
          99          -0.0361052          -0.0354866         2.73574e-05
         100          -0.0361253          -0.0354929         2.78196e-05
         101          -0.0361457          -0.0354994         2.82849e-05
         102          -0.0361663          -0.0355059         2.87533e-05
         103           -0.036187          -0.0355126         2.92246e-05
         104          -0.0362056          -0.0355192         2.96936e-05
         105          -0.0362267           -0.035526         3.01657e-05
         106          -0.0362481          -0.0355328         3.06407e-05
         107          -0.0362696          -0.0355397         3.11185e-05
         108          -0.0362937          -0.0355466          3.1604e-05
         109           -0.036318          -0.0355537         3.20966e-05
         110          -0.0363378          -0.0355608         3.25867e-05
         111          -0.0363578           -0.035568         3.30746e-05
         112          -0.0363779          -0.0355753         3.35605e-05
         113          -0.0364078          -0.0355826         3.40625e-05
         114          -0.0364307          -0.0355901         3.45666e-05
         115          -0.0364539          -0.0355976         3.50726e-05
         116          -0.0364796          -0.0356052         3.55849e-05
         117          -0.0365079          -0.0356129         3.61075e-05
         118          -0.0365412          -0.0356208         3.66484e-05
         119          -0.0365652          -0.0356287         3.71898e-05
         120          -0.0365917          -0.0356367         3.77359e-05
         121          -0.0366209          -0.0356449         3.82905e-05
         122          -0.0366479          -0.0356531         3.88493e-05
         123          -0.0366727          -0.0356614          3.9408e-05
         124          -0.0367002          -0.0356697         3.99707e-05
         125          -0.0367302          -0.0356782         4.05412e-05
         126          -0.0367556          -0.0356868         4.11114e-05
         127          -0.0367789          -0.0356954         4.16774e-05
         128          -0.0368048           -0.035704         4.22435e-05
         129          -0.0368357          -0.0357128         4.28172e-05
         130           -0.036862          -0.0357217         4.33907e-05
         131          -0.0368861          -0.0357305         4.39606e-05
         132          -0.0369152          -0.0357395         4.45344e-05
         133          -0.0369493          -0.0357486         4.51189e-05
         134          -0.0369789          -0.0357578         4.57067e-05
         135          -0.0370086          -0.0357671         4.62977e-05
         136          -0.0370338          -0.0357764          4.6885e-05
         137          -0.0370617          -0.0357858         4.74721e-05
         138          -0.0370897          -0.0357952         4.80592e-05
         139           -0.037125          -0.0358048         4.86564e-05
         140          -0.0371511          -0.0358144         4.92501e-05
         141          -0.0371893          -0.0358241         4.98568e-05
         142          -0.0372182           -0.035834          5.0463e-05
         143          -0.0372497          -0.0358439         5.10721e-05
         144          -0.0372791          -0.0358538         5.16808e-05
         145          -0.0373063          -0.0358638         5.22862e-05
         146          -0.0373337          -0.0358739         5.28884e-05
         147          -0.0373661          -0.0358841         5.34938e-05
         148          -0.0373963          -0.0358943         5.40994e-05
         149          -0.0374291          -0.0359046         5.47082e-05
         150          -0.0374574          -0.0359149         5.53142e-05
         151          -0.0374883          -0.0359254         5.59206e-05
         152          -0.0375217          -0.0359359         5.65304e-05
         153          -0.0375531          -0.0359464         5.71406e-05
         154           -0.037587          -0.0359571          5.7754e-05
         155          -0.0376235          -0.0359678         5.83736e-05
         156          -0.0376627          -0.0359787         5.90017e-05
         157          -0.0376997          -0.0359897         5.96355e-05
         158          -0.0377369          -0.0360007         6.02746e-05
         159          -0.0377696          -0.0360118         6.09136e-05
         160           -0.037805           -0.036023         6.15552e-05
         161          -0.0378381          -0.0360343         6.21967e-05
         162          -0.0378716          -0.0360457         6.28383e-05
         163          -0.0379052          -0.0360571         6.34799e-05
         164          -0.0379415          -0.0360686         6.41243e-05
         165          -0.0379732          -0.0360801         6.47663e-05
         166          -0.0380123          -0.0360917         6.54137e-05
         167          -0.0380445          -0.0361034         6.60588e-05
         168          -0.0380817          -0.0361152         6.67069e-05
         169          -0.0381144           -0.036127         6.73529e-05
         170          -0.0381544           -0.036139         6.80043e-05
         171          -0.0381899           -0.036151         6.86562e-05
         172          -0.0382257           -0.036163         6.93085e-05
         173          -0.0382664          -0.0361752         6.99662e-05
         174          -0.0383027          -0.0361874         7.06244e-05
         175          -0.0383416          -0.0361997         7.12855e-05
         176          -0.0383807          -0.0362121         7.19495e-05
         177          -0.0384176          -0.0362246          7.2614e-05
         178          -0.0384525          -0.0362371         7.32768e-05
         179          -0.0384947          -0.0362497         7.39449e-05
         180          -0.0385301          -0.0362624         7.46115e-05
         181          -0.0385657          -0.0362751         7.52766e-05
         182          -0.0386063          -0.0362879         7.59449e-05
         183          -0.0386495          -0.0363008         7.66185e-05
         184          -0.0386859          -0.0363138         7.72908e-05
         185          -0.0387248          -0.0363268          7.7964e-05
         186          -0.0387593          -0.0363399         7.86341e-05
         187          -0.0387988           -0.036353         7.93054e-05
         188          -0.0388362          -0.0363662         7.99759e-05
         189          -0.0388785          -0.0363795         8.06498e-05
         190          -0.0389211          -0.0363929         8.13272e-05
         191          -0.0389616          -0.0364064         8.20058e-05
         192          -0.0390071          -0.0364199         8.26899e-05
         193          -0.0390529          -0.0364335         8.33792e-05
         194          -0.0390918          -0.0364472         8.40678e-05
         195          -0.0391381           -0.036461         8.47616e-05
         196          -0.0391775          -0.0364749         8.54548e-05
         197          -0.0392172          -0.0364888         8.61474e-05
         198          -0.0392619          -0.0365028         8.68433e-05
         199          -0.0393069          -0.0365169         8.75426e-05
         200          -0.0393498          -0.0365311         8.82434e-05
         201          -0.0393905          -0.0365453         8.89437e-05
         202          -0.0394339          -0.0365596         8.96455e-05
         203            -0.03948           -0.036574         9.03509e-05
         204          -0.0395239          -0.0365885         9.10578e-05
         205          -0.0395681           -0.036603         9.17663e-05
         206          -0.0396125          -0.0366176         9.24764e-05
         207          -0.0396597          -0.0366323         9.31901e-05
         208          -0.0397047          -0.0366471         9.39054e-05
         209            -0.03975          -0.0366619         9.46224e-05
         210          -0.0397955          -0.0366768         9.53412e-05
         211          -0.0398461          -0.0366919         9.60652e-05
         212          -0.0398922           -0.036707         9.67909e-05
         213          -0.0399434          -0.0367221         9.75218e-05
         214          -0.0399924          -0.0367374         9.82561e-05
         215          -0.0400418          -0.0367528         9.89938e-05
         216          -0.0400867          -0.0367682         9.97315e-05
         217          -0.0401366          -0.0367838         0.000100473
         218          -0.0401868          -0.0367994         0.000101217
         219          -0.0402397          -0.0368151         0.000101967
         220          -0.0402905          -0.0368309          0.00010272
         221          -0.0403415          -0.0368468         0.000103476
         222          -0.0403905          -0.0368627         0.000104234
         223          -0.0404422          -0.0368788         0.000104995
         224           -0.040487          -0.0368949         0.000105755
         225          -0.0405346          -0.0369111         0.000106515
         226          -0.0405824          -0.0369273         0.000107275
         227          -0.0406329          -0.0369436         0.000108037
         228           -0.040686            -0.03696         0.000108803
         229          -0.0407371          -0.0369765         0.000109571
         230          -0.0407885          -0.0369931         0.000110341
         231          -0.0408401          -0.0370098         0.000111113
         232          -0.0408921          -0.0370265         0.000111887
         233          -0.0409444          -0.0370433         0.000112663
         234           -0.040997          -0.0370602         0.000113442
         235          -0.0410499          -0.0370772         0.000114222
         236          -0.0411055          -0.0370943         0.000115007
         237          -0.0411566          -0.0371114         0.000115792
         238          -0.0412081          -0.0371286         0.000116578
         239          -0.0412623          -0.0371459         0.000117366
         240          -0.0413192          -0.0371633         0.000118158
         241          -0.0413716          -0.0371808         0.000118951
         242          -0.0414267          -0.0371983         0.000119747
         243          -0.0414798          -0.0372159         0.000120543
         244          -0.0415333          -0.0372336         0.000121341
         245          -0.0415894          -0.0372514         0.000122141
         246          -0.0416434          -0.0372692         0.000122942
         247          -0.0417002          -0.0372872         0.000123746
         248          -0.0417549          -0.0373052         0.000124552
         249            -0.04181          -0.0373233         0.000125359
         250          -0.0418653          -0.0373415         0.000126167
         251           -0.041921          -0.0373597         0.000126977
         252          -0.0419771           -0.037378         0.000127788
         253          -0.0420358          -0.0373964         0.000128602
         254          -0.0420925          -0.0374149         0.000129418
         255          -0.0421543          -0.0374335         0.000130238
         256          -0.0422164          -0.0374522         0.000131063
         257          -0.0422813           -0.037471         0.000131893
         258          -0.0423393          -0.0374899         0.000132725
         259          -0.0424049          -0.0375088         0.000133562
         260          -0.0424636          -0.0375279         0.000134401
         261          -0.0425251           -0.037547         0.000135243
         262          -0.0425893          -0.0375663         0.000136089
         263          -0.0426539          -0.0375856          0.00013694
         264           -0.042714           -0.037605         0.000137792
         265          -0.0427746          -0.0376246         0.000138646
         266          -0.0428378          -0.0376442         0.000139503
         267          -0.0428967          -0.0376638         0.000140361
         268          -0.0429583          -0.0376836          0.00014122
         269          -0.0430321          -0.0377035         0.000142088
         270          -0.0430944          -0.0377234         0.000142958
         271          -0.0431571          -0.0377435          0.00014383
         272          -0.0432201          -0.0377636         0.000144703
         273          -0.0432836          -0.0377838         0.000145579
         274          -0.0433497          -0.0378042         0.000146458
         275          -0.0434139          -0.0378245         0.000147339
         276          -0.0434784           -0.037845         0.000148223
         277          -0.0435433          -0.0378656         0.000149108
         278          -0.0436109          -0.0378863         0.000149997
         279           -0.043679           -0.037907          0.00015089
         280          -0.0437474          -0.0379279         0.000151786
         281          -0.0438162          -0.0379488         0.000152685
         282          -0.0438806          -0.0379699         0.000153586
         283          -0.0439478           -0.037991         0.000154489
         284          -0.0440225          -0.0380122         0.000155398
         285          -0.0440905          -0.0380336         0.000156309
         286          -0.0441637           -0.038055         0.000157225
         287          -0.0442372          -0.0380765         0.000158146
         288          -0.0443064          -0.0380982          0.00015907
         289          -0.0443807          -0.0381199         0.000159998
         290          -0.0444507          -0.0381417         0.000160928
         291          -0.0445234          -0.0381637         0.000161863
         292           -0.044599          -0.0381857         0.000162802
         293          -0.0446725          -0.0382079         0.000163745
         294          -0.0447442          -0.0382301          0.00016469
         295          -0.0448186          -0.0382524         0.000165639
         296          -0.0448934          -0.0382749         0.000166592
         297          -0.0449639          -0.0382974         0.000167547
         298          -0.0450372            -0.03832         0.000168504
         299          -0.0451062          -0.0383427         0.000169462
         300          -0.0451803          -0.0383655         0.000170423
         301          -0.0452572          -0.0383884         0.000171388
         302          -0.0453322          -0.0384114         0.000172356
         303            -0.04541          -0.0384345         0.000173328
         304          -0.0454858          -0.0384577         0.000174303
         305          -0.0455621           -0.038481         0.000175281
         306          -0.0456388          -0.0385044         0.000176262
         307           -0.045716          -0.0385278         0.000177246
         308           -0.045796          -0.0385514         0.000178235
         309          -0.0458787          -0.0385752         0.000179228
         310           -0.045962           -0.038599         0.000180227
         311          -0.0460433          -0.0386229          0.00018123
         312           -0.046125           -0.038647         0.000182238
         313          -0.0462048          -0.0386711         0.000183248
         314          -0.0462875          -0.0386954         0.000184263
         315           -0.046373          -0.0387197         0.000185283
         316          -0.0464565          -0.0387442         0.000186307
         317           -0.046543          -0.0387688         0.000187337
         318          -0.0466227          -0.0387935         0.000188369
         319          -0.0467101          -0.0388183         0.000189406
         320          -0.0467932          -0.0388433         0.000190446
         321          -0.0468744          -0.0388683         0.000191489
         322          -0.0469584          -0.0388934         0.000192536
         323          -0.0470453          -0.0389186         0.000193587
         324          -0.0471326           -0.038944         0.000194642
         325          -0.0472181          -0.0389695         0.000195701
         326          -0.0473064           -0.038995         0.000196765
         327          -0.0473905          -0.0390207         0.000197831
         328          -0.0474845          -0.0390465         0.000198904
         329          -0.0475791          -0.0390724         0.000199983
         330          -0.0476694          -0.0390985         0.000201067
         331          -0.0477578          -0.0391247         0.000202154
         332          -0.0478491          -0.0391509         0.000203246
         333          -0.0479433          -0.0391773         0.000204343
         334          -0.0480356          -0.0392039         0.000205445
         335           -0.048126          -0.0392305         0.000206551
         336          -0.0482217          -0.0392572         0.000207663
         337          -0.0483131          -0.0392841         0.000208778
         338          -0.0484027          -0.0393111         0.000209896
         339          -0.0484952          -0.0393382         0.000211018
         340          -0.0485882          -0.0393654         0.000212144
         341          -0.0486817          -0.0393927         0.000213274
         342          -0.0487758          -0.0394202         0.000214408
         343          -0.0488727          -0.0394477         0.000215546
         344          -0.0489655          -0.0394754         0.000216688
         345          -0.0490611          -0.0395032         0.000217834
         346          -0.0491597          -0.0395311         0.000218985
         347          -0.0492611          -0.0395591         0.000220142
         348          -0.0493584          -0.0395873         0.000221303
         349           -0.049461          -0.0396156          0.00022247
         350          -0.0495641           -0.039644         0.000223643
         351          -0.0496606          -0.0396725         0.000224819
         352          -0.0497624          -0.0397012            0.000226
         353          -0.0498648            -0.03973         0.000227187
         354          -0.0499678          -0.0397589         0.000228378
         355          -0.0500666          -0.0397879         0.000229573
         356          -0.0501707          -0.0398171         0.000230774
         357           -0.050273          -0.0398464         0.000231978
         358          -0.0503735          -0.0398758         0.000233186
         359          -0.0504793          -0.0399053           0.0002344
         360          -0.0505857           -0.039935         0.000235619
         361          -0.0506903          -0.0399648         0.000236842
         362          -0.0507954          -0.0399947          0.00023807
         363          -0.0509012          -0.0400248         0.000239303
         364          -0.0510052          -0.0400549         0.000240539
         365          -0.0511098          -0.0400852          0.00024178
         366          -0.0512221          -0.0401156         0.000243026
         367          -0.0513302          -0.0401462         0.000244277
         368          -0.0514413          -0.0401769         0.000245534
         369          -0.0515507          -0.0402077         0.000246796
         370          -0.0516607          -0.0402387         0.000248063
         371           -0.051776          -0.0402698         0.000249336
         372          -0.0518872           -0.040301         0.000250614
         373           -0.051999          -0.0403324         0.000251896
         374          -0.0521162          -0.0403639         0.000253186
         375          -0.0522269          -0.0403955         0.000254479
         376          -0.0523382          -0.0404273         0.000255777
         377          -0.0524549          -0.0404592          0.00025708
         378          -0.0525699          -0.0404912         0.000258389
         379          -0.0526879          -0.0405234         0.000259704
         380          -0.0528066          -0.0405557         0.000261024
         381          -0.0529259          -0.0405882          0.00026235
         382          -0.0530434          -0.0406208         0.000263682
         383          -0.0531617          -0.0406535         0.000265019
         384          -0.0532829          -0.0406864         0.000266362
         385          -0.0534096          -0.0407195         0.000267712
         386          -0.0535322          -0.0407527         0.000269068
         387          -0.0536531           -0.040786          0.00027043
         388          -0.0537746          -0.0408195         0.000271797
         389          -0.0538969          -0.0408531          0.00027317
         390          -0.0540198          -0.0408868         0.000274547
         391          -0.0541434          -0.0409207         0.000275931
         392          -0.0542653          -0.0409548         0.000277319
         393           -0.054388           -0.040989         0.000278712
