#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1            0.043985            0.043985                   0
           2           0.0439849           0.0439849         8.13909e-09
           3           0.0439849           0.0439849         1.36612e-08
           4           0.0439849           0.0439849         1.95175e-08
           5           0.0439848           0.0439849         2.58272e-08
           6           0.0439847           0.0439849         3.26024e-08
           7           0.0439847           0.0439848         3.98243e-08
           8           0.0439846           0.0439848         4.74743e-08
           9           0.0439845           0.0439848         5.55318e-08
          10           0.0439843           0.0439847         6.39796e-08
          11           0.0439842           0.0439847         7.28012e-08
          12           0.0439841           0.0439846         8.19821e-08
          13           0.0439839           0.0439846          9.1509e-08
          14           0.0439838           0.0439845          1.0137e-07
          15           0.0439836           0.0439845         1.11554e-07
          16           0.0439834           0.0439844         1.22053e-07
          17           0.0439832           0.0439843         1.32855e-07
          18            0.043983           0.0439842         1.43954e-07
          19           0.0439828           0.0439842         1.55341e-07
          20           0.0439826           0.0439841         1.67009e-07
          21           0.0439823            0.043984         1.78952e-07
          22           0.0439821           0.0439839         1.91164e-07
          23           0.0439818           0.0439838         2.03638e-07
          24           0.0439815           0.0439837          2.1637e-07
          25           0.0439812           0.0439836         2.29354e-07
          26            0.043981           0.0439835         2.42586e-07
          27           0.0439806           0.0439834         2.56061e-07
          28           0.0439803           0.0439833         2.69774e-07
          29             0.04398           0.0439832         2.83723e-07
          30           0.0439796           0.0439831         2.97902e-07
          31           0.0439793            0.043983         3.12309e-07
          32           0.0439789           0.0439828         3.26939e-07
          33           0.0439785           0.0439827          3.4179e-07
          34           0.0439782           0.0439826         3.56859e-07
          35           0.0439778           0.0439824         3.72142e-07
          36           0.0439773           0.0439823         3.87637e-07
          37           0.0439769           0.0439821          4.0334e-07
          38           0.0439765            0.043982         4.19251e-07
          39            0.043976           0.0439818         4.35364e-07
          40           0.0439756           0.0439817          4.5168e-07
          41           0.0439751           0.0439815         4.68194e-07
          42           0.0439746           0.0439814         4.84906e-07
          43           0.0439741           0.0439812         5.01812e-07
          44           0.0439736            0.043981         5.18912e-07
          45           0.0439731           0.0439808         5.36202e-07
          46           0.0439726           0.0439807         5.53681e-07
          47           0.0439721           0.0439805         5.71348e-07
          48           0.0439715           0.0439803         5.89199e-07
          49            0.043971           0.0439801         6.07235e-07
          50           0.0439704           0.0439799         6.25453e-07
          51           0.0439698           0.0439797         6.43851e-07
          52           0.0439692           0.0439795         6.62429e-07
          53           0.0439686           0.0439793         6.81184e-07
          54            0.043968           0.0439791         7.00116e-07
          55           0.0439674           0.0439789         7.19222e-07
          56           0.0439667           0.0439787         7.38502e-07
          57           0.0439661           0.0439784         7.57954e-07
          58           0.0439654           0.0439782         7.77578e-07
          59           0.0439647            0.043978         7.97371e-07
          60           0.0439638           0.0439778          8.1845e-07
          61           0.0439631           0.0439775         8.39593e-07
          62           0.0439621           0.0439773         8.61887e-07
          63           0.0439612            0.043977         8.85224e-07
          64           0.0439604           0.0439768          9.0846e-07
          65           0.0439597           0.0439765         9.31619e-07
          66           0.0439589           0.0439762         9.54723e-07
          67           0.0439579           0.0439759          9.7876e-07
          68           0.0439571           0.0439757          1.0027e-06
          69           0.0439561           0.0439754         1.02748e-06
          70           0.0439553           0.0439751         1.05214e-06
          71           0.0439542           0.0439748         1.07757e-06
          72           0.0439534           0.0439745         1.10284e-06
          73           0.0439526           0.0439742         1.12798e-06
          74           0.0439517           0.0439739         1.15301e-06
          75           0.0439508           0.0439736         1.17795e-06
          76             0.04395           0.0439733         1.20283e-06
          77           0.0439488            0.043973         1.22844e-06
          78           0.0439477           0.0439726         1.25474e-06
          79           0.0439465           0.0439723         1.28167e-06
          80           0.0439454            0.043972         1.30918e-06
          81           0.0439444           0.0439716         1.33649e-06
          82           0.0439432           0.0439713         1.36436e-06
          83            0.043942           0.0439709         1.39275e-06
          84           0.0439408           0.0439706         1.42161e-06
          85           0.0439398           0.0439702         1.45023e-06
          86           0.0439388           0.0439699         1.47864e-06
          87           0.0439378           0.0439695         1.50686e-06
          88           0.0439368           0.0439691         1.53492e-06
          89           0.0439355           0.0439687         1.56348e-06
          90           0.0439344           0.0439684         1.59188e-06
          91           0.0439327            0.043968           1.622e-06
          92           0.0439313           0.0439676         1.65249e-06
          93             0.04393           0.0439672         1.68334e-06
          94           0.0439289           0.0439668         1.71392e-06
