#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1                0.95                0.95                   0
           2                0.95                0.95         2.10734e-08
           3                0.95                0.95         5.67419e-08
           4            0.950001                0.95         1.01339e-07
           5            0.950001                0.95         1.52909e-07
           6            0.950001            0.950001         2.10339e-07
           7            0.950002            0.950001         2.73375e-07
           8            0.950003            0.950001          3.4153e-07
           9            0.950004            0.950001          4.1431e-07
          10            0.950005            0.950002         4.91546e-07
          11            0.950006            0.950002         5.72969e-07
          12            0.950007            0.950002         6.58362e-07
          13            0.950008            0.950003         7.47541e-07
          14             0.95001            0.950003         8.40374e-07
          15            0.950011            0.950004         9.36685e-07
          16            0.950013            0.950004         1.03638e-06
          17            0.950015            0.950005         1.13934e-06
          18            0.950017            0.950006         1.24547e-06
          19            0.950019            0.950006         1.35466e-06
          20            0.950021            0.950007         1.46685e-06
          21            0.950023            0.950008         1.58193e-06
          22            0.950025            0.950009         1.69986e-06
          23            0.950028             0.95001         1.82055e-06
          24            0.950031             0.95001         1.94395e-06
          25            0.950033            0.950011            2.07e-06
          26            0.950036            0.950012         2.19864e-06
          27            0.950039            0.950013         2.32982e-06
          28            0.950042            0.950014          2.4635e-06
          29            0.950045            0.950015         2.59962e-06
          30            0.950049            0.950016         2.73815e-06
          31            0.950052            0.950018         2.87904e-06
          32            0.950055            0.950019         3.02227e-06
          33            0.950059             0.95002         3.16778e-06
          34            0.950063            0.950021         3.31554e-06
          35            0.950067            0.950023         3.46553e-06
          36            0.950071            0.950024         3.61772e-06
          37            0.950075            0.950025         3.77206e-06
          38            0.950079            0.950027         3.92854e-06
          39            0.950083            0.950028         4.08712e-06
          40            0.950088             0.95003         4.24778e-06
          41            0.950092            0.950031          4.4105e-06
          42            0.950097            0.950033         4.57525e-06
          43            0.950102            0.950034           4.742e-06
          44            0.950107            0.950036         4.91074e-06
          45            0.950112            0.950038         5.08145e-06
          46            0.950117            0.950039          5.2541e-06
          47            0.950122            0.950041         5.42867e-06
          48            0.950127            0.950043         5.60516e-06
          49            0.950133            0.950045         5.78352e-06
          50            0.950138            0.950047         5.96376e-06
          51            0.950144            0.950049         6.14585e-06
          52             0.95015            0.950051         6.32978e-06
          53            0.950156            0.950053         6.51554e-06
          54            0.950162            0.950055         6.70309e-06
          55            0.950168            0.950057         6.89244e-06
          56            0.950174            0.950059         7.08357e-06
          57            0.950181            0.950061         7.27646e-06
          58            0.950187            0.950063         7.47111e-06
          59            0.950194            0.950065         7.66749e-06
          60            0.950201            0.950068          7.8656e-06
          61            0.950208             0.95007         8.06544e-06
          62            0.950215            0.950072         8.26703e-06
          63            0.950222            0.950075         8.47036e-06
          64            0.950229            0.950077         8.67546e-06
          65            0.950236            0.950079         8.88231e-06
          66            0.950244            0.950082         9.09092e-06
          67            0.950252            0.950084         9.30124e-06
          68            0.950259            0.950087         9.51329e-06
          69            0.950267             0.95009         9.72706e-06
          70            0.950275            0.950092         9.94254e-06
          71            0.950283            0.950095         1.01597e-05
          72            0.950291            0.950098         1.03786e-05
          73              0.9503              0.9501         1.05992e-05
          74            0.950308            0.950103         1.08215e-05
          75            0.950317            0.950106         1.10455e-05
          76            0.950325            0.950109         1.12711e-05
          77            0.950334            0.950112         1.14984e-05
          78            0.950343            0.950115         1.17272e-05
          79            0.950352            0.950118         1.19578e-05
          80            0.950362            0.950121         1.21899e-05
          81            0.950371            0.950124         1.24238e-05
          82             0.95038            0.950127         1.26592e-05
          83             0.95039             0.95013         1.28964e-05
          84              0.9504            0.950134         1.31351e-05
          85            0.950409            0.950137         1.33755e-05
          86            0.950419             0.95014         1.36176e-05
          87            0.950429            0.950143         1.38612e-05
          88             0.95044            0.950147         1.41065e-05
          89             0.95045             0.95015         1.43534e-05
          90             0.95046            0.950154         1.46018e-05
          91            0.950471            0.950157         1.48518e-05
          92            0.950482            0.950161         1.51035e-05
          93            0.950492            0.950164         1.53567e-05
          94            0.950503            0.950168         1.56116e-05
          95            0.950514            0.950171          1.5868e-05
          96            0.950526            0.950175          1.6126e-05
          97            0.950537            0.950179         1.63857e-05
          98            0.950548            0.950183          1.6647e-05
          99             0.95056            0.950186         1.69099e-05
         100            0.950572             0.95019         1.71744e-05
         101            0.950584            0.950194         1.74405e-05
         102            0.950596            0.950198         1.77081e-05
         103            0.950608            0.950202         1.79774e-05
         104             0.95062            0.950206         1.82483e-05
         105            0.950632             0.95021         1.85208e-05
         106            0.950645            0.950214         1.87948e-05
         107            0.950658            0.950218         1.90704e-05
         108             0.95067            0.950223         1.93476e-05
         109            0.950683            0.950227         1.96263e-05
         110            0.950696            0.950231         1.99067e-05
         111             0.95071            0.950235         2.01886e-05
         112            0.950723             0.95024          2.0472e-05
         113            0.950736            0.950244         2.07571e-05
         114             0.95075            0.950249         2.10437e-05
