#     BLOCK:         BIN_CENTER:        ACTUAL_GOFR:           GOFR_AVE:              ERROR:
         100           0.0323165                   0                   0                   0
         100           0.0969496                   0                   0                   0
         100            0.161583                   0                   0                   0
         100            0.226216                   0                   0                   0
         100            0.290849                   0                   0                   0
         100            0.355482                   0                   0                   0
         100            0.420115                   0                   0                   0
         100            0.484748                   0                   0                   0
         100            0.549381                   0                   0                   0
         100            0.614014                   0                   0                   0
         100            0.678647                   0                   0                   0
         100             0.74328                   0                   0                   0
         100            0.807913                   0                   0                   0
         100            0.872546                   0          0.00104769         0.000163113
         100            0.937179            0.123691             0.15442          0.00309347
         100             1.00181            0.983952             1.06909           0.0114967
         100             1.06645              1.5738              1.9771           0.0250749
         100             1.13108             1.67671             2.17824           0.0366933
         100             1.19571             1.45553             2.01845           0.0299568
         100             1.26034             1.47849             1.78472           0.0234414
         100             1.32498             1.26949             1.59809           0.0197769
         100             1.38961             1.32456             1.45639           0.0157093
         100             1.45424             1.18617             1.33277           0.0131759
         100             1.51888             1.22322             1.24039           0.0115759
         100             1.58351             1.30398              1.1774           0.0103005
         100             1.64814             1.11734             1.13452          0.00988132
         100             1.71278            0.930941              1.1054          0.00944408
         100             1.77741            0.977819             1.09881           0.0088534
         100             1.84204             1.01939             1.07489          0.00979064
         100             1.90667            0.952629             1.06719           0.0105399
         100             1.97131            0.934018             1.06713           0.0103145
         100             2.03594            0.921826              1.0657           0.0105019
         100             2.10057              0.9245             1.07166          0.00983082
         100             2.16521            0.935882             1.06212           0.0085968
         100             2.22984             1.00381             1.06084          0.00825073
         100             2.29447             1.00646             1.06368          0.00843068
         100             2.35911            0.980144             1.05022          0.00828694
         100             2.42374            0.965025             1.03642          0.00716814
         100             2.48837             1.01958             1.02955           0.0071394
         100             2.55301              1.0183             1.03238           0.0065322
         100             2.61764            0.981351             1.02842          0.00576525
         100             2.68227            0.914517              1.0211          0.00621893
         100              2.7469            0.951658             1.01246          0.00625736
         100             2.81154            0.950999             1.00792          0.00656193
         100             2.87617             0.95157             1.01094          0.00616332
         100              2.9408            0.956374             1.00496          0.00530481
         100             3.00544            0.979022             1.00563           0.0052979
         100             3.07007            0.977987             1.00557          0.00536832
         100              3.1347             1.02292             1.00571          0.00572488
         100             3.19934             1.00736             1.00644          0.00544142
         100             3.26397             1.02822             1.00101          0.00540232
         100              3.3286            0.969872             1.00327          0.00497056
         100             3.39323            0.975613             1.00706          0.00493349
         100             3.45787            0.969166            0.999978          0.00484364
         100              3.5225            0.972417             1.00137          0.00483231
         100             3.58713             1.00945            0.996364          0.00496488
         100             3.65177             1.03029            0.997315          0.00433811
         100              3.7164             1.04462             1.00028          0.00464424
         100             3.78103             1.01036            0.998324          0.00460025
         100             3.84567            0.964832            0.995995          0.00440356
         100              3.9103            0.977219            0.988835          0.00419005
         100             3.97493            0.991971            0.988173          0.00437549
         100             4.03957            0.996326            0.985333          0.00404045
         100              4.1042             1.01026            0.985825          0.00407812
         100             4.16883             1.04691            0.991311          0.00395919
         100             4.23346             1.06902            0.992173          0.00406797
         100              4.2981             1.01192            0.987081           0.0041045
         100             4.36273            0.996302            0.982568          0.00372586
         100             4.42736             1.00469            0.985389          0.00369044
         100               4.492             1.03914            0.989828          0.00351187
         100             4.55663             1.01936             0.98479          0.00374371
         100             4.62126             1.03112            0.984063          0.00306537
         100              4.6859            0.999647            0.987687          0.00284848
         100             4.75053            0.989052            0.988952          0.00317183
         100             4.81516            0.975659            0.985665          0.00317879
         100             4.87979            0.986913            0.983739          0.00298737
         100             4.94443             1.01558            0.982892          0.00287383
         100             5.00906             1.02341            0.984401          0.00302637
         100             5.07369            0.994383            0.983226           0.0029496
         100             5.13833             1.00372            0.981485          0.00280829
         100             5.20296            0.977721            0.977058          0.00254925
         100             5.26759            0.995864            0.979591          0.00251134
         100             5.33223            0.958461            0.975556          0.00248291
         100             5.39686            0.950181            0.978659          0.00285719
         100             5.46149              1.0023             0.98185          0.00281451
         100             5.52612            0.982338            0.983928          0.00286847
         100             5.59076            0.971666            0.983175          0.00274182
         100             5.65539            0.980494            0.976829          0.00255156
         100             5.72002            0.962791            0.979593          0.00234787
         100             5.78466            0.991773            0.982023           0.0027384
         100             5.84929             0.96313             0.98348          0.00256333
         100             5.91392            0.959178            0.987125          0.00249314
         100             5.97856            0.965589            0.986006          0.00220473
         100             6.04319            0.935219            0.984184          0.00229296
         100             6.10782            0.943759            0.984925          0.00235697
         100             6.17246            0.957371            0.983796          0.00251406
         100             6.23709             1.01564            0.985035          0.00232568
         100             6.30172             1.00108            0.984684          0.00213661
         100             6.36635             1.03064            0.982711          0.00221123
         100             6.43099             1.00042            0.982998          0.00245237


