#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             1.81111             1.81111                   0
           2             1.80133             1.80622          0.00345871
           3             1.81178             1.80807          0.00275772
           4              1.8546              1.8197           0.0102825
           5             1.90711             1.83718           0.0176672
           6             1.82473             1.83511           0.0148441
           7             1.81188             1.83179           0.0130893
           8             1.80349             1.82825           0.0119217
           9             1.79098             1.82411           0.0112933
          10             1.74087             1.81579           0.0128711
          11             1.75994             1.81071           0.0126629
          12             1.73622              1.8045           0.0130408
          13             1.74789             1.80015            0.012744
          14             1.78087             1.79877           0.0119078
          15             1.82586             1.80058           0.0112501
          16              1.7601             1.79805           0.0108278
          17             1.78825             1.79747           0.0102062
          18             1.77704             1.79634          0.00970208
          19             1.77993             1.79547          0.00922979
          20             1.82331             1.79686          0.00887267
          21             1.85412             1.79959          0.00885915
          22             1.85458             1.80209          0.00880207
          23             1.82701             1.80317          0.00848578
          24             1.84197             1.80479          0.00828477
          25             1.88332             1.80793          0.00852813
          26              1.8478             1.80946          0.00833685
          27             1.80427             1.80927           0.0080303
          28             1.82381             1.80979          0.00776026
          29             1.79914             1.80942          0.00750135
          30             1.80462             1.80926          0.00725302
          31             1.78533             1.80849          0.00706001
          32             1.82507             1.80901          0.00685837
          33             1.85785             1.81049          0.00680834
          34             1.86558             1.81211          0.00679813
          35             1.84567             1.81307          0.00667119
          36             1.79641             1.81261           0.0065019
          37             1.75461             1.81104          0.00651235
          38              1.7409             1.80919          0.00659735
          39             1.76622             1.80809          0.00651955
          40             1.78735             1.80757          0.00637715
          41             1.79022             1.80715          0.00623564
          42             1.81245             1.80728          0.00608845
          43             1.76373             1.80626          0.00603048
          44              1.7545             1.80509          0.00600706
          45             1.75299             1.80393          0.00598409
          46             1.77224             1.80324          0.00589352
          47             1.76853              1.8025          0.00581421
          48              1.7966             1.80238          0.00569438
          49             1.85283             1.80341          0.00567047
          50             1.80151             1.80337          0.00555719
          51             1.76974             1.80271           0.0054872
          52             1.83531             1.80334          0.00541738
          53             1.82928             1.80383          0.00533723
          54             1.78762             1.80353          0.00524682
          55             1.77182             1.80295          0.00518301
          56             1.81077             1.80309          0.00509233
          57             1.77862             1.80266          0.00502105
          58             1.80551             1.80271          0.00493472
          59             1.78478             1.80241          0.00486043
          60             1.81915             1.80269          0.00478743
          61             1.85631             1.80356          0.00478897
          62             1.84138             1.80417          0.00475041
          63             1.80053             1.80412          0.00467536
          64             1.75311             1.80332          0.00466974
          65             1.74136             1.80237          0.00469419
          66              1.7736             1.80193          0.00464326
          67             1.79628             1.80185          0.00457473
          68             1.74079             1.80095          0.00459473
          69             1.74078             1.80008          0.00461015
          70             1.77124             1.79966          0.00456266
          71             1.82989             1.80009          0.00451821
          72             1.80982             1.80022          0.00445748
          73             1.80579              1.8003          0.00439707
          74             1.76547             1.79983          0.00436277
          75             1.77258             1.79947           0.0043197
          76             1.70991             1.79829          0.00442068
          77             1.70704              1.7971          0.00451932
          78             1.72827             1.79622          0.00454672
          79             1.78527             1.79608          0.00449128
          80             1.76881             1.79574          0.00444806
          81             1.77044             1.79543           0.0044041
          82             1.81323             1.79565          0.00435574
          83             1.77514              1.7954          0.00431026
          84             1.82562             1.79576          0.00427394
          85             1.79321             1.79573          0.00422376
          86             1.79086             1.79567          0.00417503
          87              1.7703             1.79538          0.00413721
          88              1.7976             1.79541          0.00409028
          89             1.79786             1.79543          0.00404441
          90             1.78757             1.79535          0.00400042
          91             1.80593             1.79546          0.00395815
          92             1.80607             1.79558           0.0039168
          93             1.81097             1.79574          0.00387818
          94             1.80908             1.79589          0.00383952
          95             1.83091             1.79625          0.00381676
          96             1.85646             1.79688          0.00382818
          97             1.81186             1.79704          0.00379183
          98             1.78367              1.7969          0.00375559
          99             1.76407             1.79657          0.00373226
         100             1.73552             1.79596          0.00374453
