#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1           -0.422375           -0.422375                   0
           2           -0.412623           -0.417499          0.00344783
           3           -0.423039           -0.419346          0.00274895
           4           -0.465839           -0.430969           0.0102749
           5           -0.518468           -0.448469           0.0176794
           6           -0.435868           -0.446369           0.0148571
           7           -0.423053           -0.443038           0.0131027
           8           -0.414738           -0.439501           0.0119328
           9            -0.40235           -0.435373           0.0112984
          10           -0.352207           -0.427056           0.0128704
          11           -0.371225           -0.421981           0.0126617
          12            -0.34744           -0.415769           0.0130416
          13            -0.35917           -0.411415           0.0127444
          14           -0.392156           -0.410039           0.0119081
          15           -0.437081           -0.411842           0.0112498
          16           -0.371257           -0.409306           0.0108289
          17           -0.399631           -0.408737           0.0102069
          18           -0.388243           -0.407598          0.00970311
          19           -0.391143           -0.406732          0.00923099
          20           -0.434609           -0.408126          0.00887405
          21           -0.465396           -0.410853          0.00886062
          22           -0.465929           -0.413356          0.00880442
          23           -0.438268           -0.414439          0.00848798
          24           -0.453171           -0.416053          0.00828632
          25           -0.494657           -0.419197          0.00853054
          26           -0.459194           -0.420736          0.00833999
          27            -0.41561           -0.420546          0.00803327
          28           -0.435277           -0.421072          0.00776357
          29           -0.410421           -0.420705          0.00750455
          30           -0.415877           -0.420544          0.00725612
          31           -0.396477           -0.419767          0.00706346
          32            -0.43632           -0.420285          0.00686164
          33            -0.46936           -0.421772          0.00681296
          34           -0.477019           -0.423397           0.0068036
          35           -0.456913           -0.424354          0.00667626
          36           -0.407845           -0.423896          0.00650654
          37           -0.365775           -0.422325          0.00651754
          38           -0.352146           -0.420478          0.00660251
          39           -0.377427           -0.419374          0.00652484
          40           -0.398616           -0.418855          0.00638232
          41           -0.401421            -0.41843           0.0062408
          42           -0.423716           -0.418556          0.00609348
          43           -0.374956           -0.417542          0.00603554
          44           -0.365673           -0.416363          0.00601239
          45           -0.364252           -0.415205          0.00598927
          46           -0.383354           -0.414513          0.00589896
          47            -0.37971           -0.413772          0.00581974
          48           -0.407947           -0.413651          0.00569976
          49           -0.464234           -0.414683          0.00567615
          50           -0.412704           -0.414644          0.00556276
          51           -0.380992           -0.413984          0.00549268
          52           -0.446553            -0.41461          0.00542265
          53           -0.440748           -0.415103          0.00534271
          54           -0.398987           -0.414805           0.0052521
          55           -0.383045           -0.414227          0.00518826
          56           -0.422048           -0.414367          0.00509749
          57            -0.38977           -0.413935          0.00502629
          58           -0.416733           -0.413984          0.00493986
          59           -0.396024           -0.413679          0.00486551
          60           -0.430351           -0.413957          0.00479234
          61           -0.467667           -0.414838          0.00479398
          62           -0.452621           -0.415447          0.00475523
          63           -0.411708           -0.415388          0.00468012
          64           -0.364273           -0.414589          0.00467465
          65           -0.352666           -0.413636           0.0046988
          66           -0.384799           -0.413199          0.00464788
          67           -0.407536           -0.413115          0.00457928
          68           -0.352054           -0.412217          0.00459913
          69           -0.352057           -0.411345          0.00461438
          70           -0.382513           -0.410933          0.00456681
          71           -0.441181           -0.411359          0.00452231
          72            -0.42107           -0.411494          0.00446151
          73           -0.417013            -0.41157          0.00440104
          74           -0.376719           -0.411099          0.00436669
          75           -0.383786           -0.410735          0.00432363
          76            -0.32103           -0.409554          0.00442491
          77           -0.318299           -0.408369          0.00452337
          78            -0.33946           -0.407486          0.00455084
          79           -0.396391           -0.407345           0.0044954
          80           -0.379958           -0.407003          0.00445222
          81           -0.381773           -0.406691          0.00440814
          82           -0.424764           -0.406912          0.00435989
          83           -0.386433           -0.406665          0.00431433
          84           -0.436897           -0.407025          0.00427796
          85           -0.404463           -0.406995          0.00422773
          86           -0.401923           -0.406936          0.00417899
          87           -0.381529           -0.406644          0.00414114
          88           -0.408819           -0.406669          0.00409416
          89           -0.409103           -0.406696          0.00404825
          90           -0.398731           -0.406607          0.00400423
          91           -0.417144           -0.406723          0.00396191
          92           -0.417392           -0.406839          0.00392054
          93            -0.42236           -0.407006          0.00388193
          94           -0.420324           -0.407148          0.00384322
          95           -0.442247           -0.407517          0.00382048
          96           -0.467771           -0.408145           0.0038319
          97           -0.423149             -0.4083          0.00379551
          98           -0.394916           -0.408163          0.00375924
          99           -0.375266           -0.407831          0.00373592
         100           -0.346736            -0.40722          0.00374819
