#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1           0.0478637           0.0478637                   0
           2           0.0481978           0.0480308         0.000118113
           3           0.0476786           0.0479134         0.000124047
           4           0.0489525           0.0481732         0.000243458
           5           0.0499371            0.048526         0.000370811
           6           0.0481854           0.0484692         0.000313324
           7           0.0516889           0.0489291         0.000503451
           8           0.0492128           0.0489646         0.000441766
           9           0.0490626           0.0489755         0.000392815
          10           0.0486037           0.0489383         0.000355288
          11           0.0468747           0.0487507         0.000369213
          12           0.0486519           0.0487425         0.000338537
          13           0.0486002           0.0487315         0.000312672
          14           0.0485609           0.0487193         0.000290576
          15           0.0485513           0.0487081          0.00027142
          16           0.0464912           0.0485696         0.000287658
          17           0.0489636           0.0485928         0.000271669
          18           0.0482227           0.0485722         0.000257353
          19           0.0495154           0.0486218         0.000248551
          20           0.0493562           0.0486586          0.00023882
          21           0.0495095           0.0486991          0.00023086
          22            0.050842           0.0487965         0.000240038
          23           0.0496984           0.0488357         0.000232783
          24           0.0490333           0.0488439         0.000223229
          25           0.0510675           0.0489329         0.000231342
          26           0.0490817           0.0489386         0.000222515
          27           0.0497228           0.0489676         0.000216161
          28           0.0491655           0.0489747         0.000208556
          29           0.0481796           0.0489473         0.000203159
          30           0.0502674           0.0489913         0.000201096
          31           0.0495181           0.0490083         0.000195326
          32           0.0496192           0.0490274         0.000190152
          33           0.0502445           0.0490643         0.000187933
          34           0.0492276           0.0490691         0.000182467
          35           0.0503032           0.0491043         0.000180628
          36           0.0493063           0.0491099         0.000175698
          37           0.0487826           0.0491011         0.000171172
          38           0.0476135           0.0490619         0.000171085
          39           0.0482058             0.04904         0.000168101
          40           0.0464964           0.0489764         0.000175514
          41           0.0491205           0.0489799         0.000171268
          42           0.0497352           0.0489979         0.000168132
          43           0.0499264           0.0490195         0.000165603
          44           0.0478832           0.0489937          0.00016384
          45           0.0486764           0.0489866         0.000160351
          46            0.048424           0.0489744         0.000157331
          47           0.0486738            0.048968         0.000154113
          48             0.04845           0.0489572          0.00015128
          49            0.051671           0.0490126         0.000158006
          50           0.0495885           0.0490241         0.000155265
          51           0.0488247           0.0490202          0.00015227
          52           0.0490645            0.049021         0.000149344
          53           0.0494289           0.0490287         0.000146724
          54           0.0493354           0.0490344         0.000144117
          55            0.049538           0.0490436         0.000141787
          56           0.0487221           0.0490378         0.000139372
          57           0.0488899           0.0490352         0.000136951
          58           0.0490975           0.0490363         0.000134594
          59           0.0473435           0.0490076         0.000135336
          60           0.0497972           0.0490208         0.000133719
          61           0.0488413           0.0490178         0.000131559
          62           0.0500409           0.0490343         0.000130468
          63           0.0504733           0.0490572         0.000130381
          64           0.0485264           0.0490489         0.000128607
          65           0.0499729           0.0490631         0.000127412
          66           0.0484323           0.0490535         0.000125839
          67           0.0500786           0.0490688         0.000124888
          68           0.0483511           0.0490583         0.000123497
          69           0.0481285           0.0490448          0.00012244
          70           0.0486273           0.0490388         0.000120836
          71           0.0499715            0.049052         0.000119846
          72           0.0492477           0.0490547         0.000118212
          73           0.0482973           0.0490443         0.000117047
          74           0.0500389           0.0490578         0.000116235
          75           0.0493951           0.0490623         0.000114772
          76            0.046869           0.0490334         0.000116833
          77           0.0473873            0.049012         0.000117255
          78           0.0488422           0.0490098         0.000115772
          79           0.0505116           0.0490289         0.000115857
          80           0.0490062           0.0490286         0.000114409
          81           0.0498924           0.0490392         0.000113493
          82           0.0487835           0.0490361         0.000112151
          83           0.0486544           0.0490315         0.000110894
          84           0.0484611           0.0490247         0.000109782
          85           0.0471719           0.0490029         0.000110633
          86            0.049127           0.0490044         0.000109356
          87           0.0469046           0.0489802         0.000110731
          88           0.0485835           0.0489757         0.000109564
          89           0.0510119           0.0489986         0.000110696
          90              0.0516           0.0490275         0.000113177
          91           0.0467132           0.0490021         0.000114755
          92           0.0500381           0.0490133         0.000114059
          93           0.0493719           0.0490172         0.000112897
          94           0.0508503           0.0490367         0.000113368
          95           0.0512123           0.0490596         0.000114464
          96           0.0504734           0.0490743         0.000114216
          97           0.0495283            0.049079         0.000113134
          98           0.0515259            0.049104         0.000114702
          99           0.0501278           0.0491143         0.000114008
         100           0.0480081           0.0491033         0.000113404
