#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1             1.20741             1.20741                   0
           2             1.20089             1.20415          0.00230581
           3             1.20785             1.20538          0.00183848
           4              1.2364             1.21314          0.00685499
           5             1.27141             1.22479           0.0117781
           6             1.21649             1.22341          0.00989607
           7             1.20792             1.22119          0.00872621
           8             1.20232             1.21883          0.00794778
           9             1.19399             1.21607          0.00752889
          10             1.16058             1.21052          0.00858074
          11             1.17329             1.20714          0.00844192
          12             1.15748               1.203          0.00869388
          13             1.16526              1.2001          0.00849598
          14             1.18725             1.19918          0.00793856
          15             1.21724             1.20038           0.0075001
          16              1.1734              1.1987          0.00721851
          17             1.19217             1.19831           0.0068041
          18             1.18469             1.19756          0.00646805
          19             1.18662             1.19698           0.0061532
          20             1.21554             1.19791          0.00591511
          21             1.23608             1.19973           0.0059061
          22             1.23639             1.20139          0.00586804
          23               1.218             1.20212          0.00565718
          24             1.22798             1.20319          0.00552318
          25             1.25555             1.20529          0.00568542
          26             1.23187             1.20631           0.0055579
          27             1.20285             1.20618          0.00535353
          28             1.21587             1.20653          0.00517351
          29             1.19943             1.20628           0.0050009
          30             1.20308             1.20618          0.00483534
          31             1.19022             1.20566          0.00470668
          32             1.21671             1.20601          0.00457225
          33             1.23856             1.20699          0.00453889
          34             1.24372             1.20807          0.00453209
          35             1.23045             1.20871          0.00444746
          36             1.19761              1.2084           0.0043346
          37             1.16974             1.20736          0.00434157
          38              1.1606             1.20613          0.00439823
          39             1.17748             1.20539          0.00434637
          40             1.19157             1.20505          0.00425143
          41             1.19348             1.20477          0.00415709
          42              1.2083             1.20485          0.00405897
          43             1.17582             1.20418          0.00402032
          44             1.16967             1.20339          0.00400471
          45             1.16866             1.20262          0.00398939
          46             1.18149             1.20216          0.00392901
          47             1.17902             1.20167          0.00387614
          48             1.19773             1.20159          0.00379626
          49             1.23522             1.20227          0.00378032
          50             1.20101             1.20225          0.00370479
          51             1.17983             1.20181          0.00365813
          52             1.22354             1.20223          0.00361159
          53             1.21952             1.20255          0.00355815
          54             1.19175             1.20235          0.00349788
          55             1.18121             1.20197          0.00345534
          56             1.20718             1.20206          0.00339489
          57             1.18575             1.20177          0.00334737
          58             1.20367             1.20181          0.00328981
          59             1.18985              1.2016          0.00324029
          60             1.21277             1.20179          0.00319162
          61             1.23754             1.20238          0.00319265
          62             1.22759             1.20278          0.00316694
          63             1.20035             1.20274           0.0031169
          64             1.16874             1.20221          0.00311316
          65              1.1609             1.20158          0.00312946
          66              1.1824             1.20129          0.00309551
          67             1.19752             1.20123          0.00304982
          68             1.16052             1.20063          0.00306315
          69             1.16052             1.20005          0.00307343
          70             1.18082             1.19978          0.00304177
          71             1.21993             1.20006          0.00301214
          72             1.20655             1.20015          0.00297165
          73             1.20386              1.2002          0.00293138
          74             1.17698             1.19989          0.00290851
          75             1.18172             1.19964           0.0028798
          76             1.13994             1.19886          0.00294712
          77             1.13803             1.19807          0.00301288
          78             1.15218             1.19748          0.00303115
          79             1.19018             1.19739          0.00299419
          80             1.17921             1.19716          0.00296537
          81             1.18029             1.19695          0.00293607
          82             1.20882              1.1971          0.00290383
          83             1.18343             1.19693          0.00287351
          84             1.21708             1.19717          0.00284929
          85             1.19548             1.19715          0.00281584
          86             1.19391             1.19712          0.00278335
          87              1.1802             1.19692          0.00275814
          88              1.1984             1.19694          0.00272685
          89             1.19857             1.19696          0.00269627
          90             1.19171              1.1969          0.00266694
          91             1.20395             1.19698          0.00263876
          92             1.20405             1.19705           0.0026112
          93             1.20731             1.19716          0.00258545
          94             1.20605             1.19726          0.00255968
          95             1.22061              1.1975          0.00254451
          96             1.23764             1.19792          0.00255212
          97             1.20791             1.19802          0.00252788
          98             1.18912             1.19793          0.00250372
          99             1.17605             1.19771          0.00248818
         100             1.15701              1.1973          0.00249636
