#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1               2.958               2.958                   0
           2             2.95789             2.95795         3.76394e-05
           3             2.95757             2.95782         0.000104374
           4             2.95704             2.95763         0.000186029
           5              2.9563             2.95736         0.000280427
           6             2.95534             2.95703         0.000386219
           7             2.95417             2.95662         0.000502519
           8             2.95277             2.95614         0.000628728
           9             2.95116             2.95558         0.000764439
          10             2.94931             2.95496         0.000909386
          11             2.94724             2.95425          0.00106341
          12             2.94493             2.95348          0.00122643
          13             2.94237             2.95262          0.00139844
          14             2.93956             2.95169          0.00157941
          15              2.9365             2.95068           0.0017694
          16             2.93316             2.94958          0.00196858
          17             2.92955              2.9484          0.00217708
          18             2.92565             2.94714          0.00239504
          19             2.92146             2.94579          0.00262271
          20             2.91696             2.94435          0.00286044
          21             2.91213             2.94281          0.00310852
          22             2.90696             2.94118          0.00336732
          23             2.90145             2.93946          0.00363721
          24             2.89556             2.93763          0.00391856
          25              2.8893             2.93569          0.00421177
          26             2.88263             2.93365          0.00451724
          27             2.87555              2.9315          0.00483543
          28             2.86803             2.92923           0.0051668
          29             2.86006             2.92685          0.00551181
          30             2.85162             2.92434          0.00587092
          31             2.84268             2.92171          0.00624458
          32             2.83324             2.91894          0.00663329
          33             2.82325             2.91604          0.00703756
          34             2.81272               2.913          0.00745791
          35              2.8016             2.90982          0.00789489
          36             2.78988             2.90649          0.00834903
          37             2.77754               2.903          0.00882083
          38             2.76456             2.89936          0.00931075
          39             2.75092             2.89555          0.00981923
          40              2.7366             2.89158           0.0103467
          41             2.72158             2.88743           0.0108935
          42             2.70585             2.88311             0.01146
          43             2.68938             2.87861           0.0120466
          44             2.67218             2.87391           0.0126534
          45             2.65422             2.86903           0.0132807
          46              2.6355             2.86396           0.0139286
          47             2.61601             2.85868           0.0145971
          48             2.59575              2.8532           0.0152862
          49             2.57474             2.84752           0.0159958
          50             2.55297             2.84163           0.0167255
          51             2.53046             2.83553            0.017475
          52             2.50723             2.82921           0.0182438
          53              2.4833             2.82269           0.0190313
          54             2.45869             2.81595           0.0198367
          55             2.43345             2.80899           0.0206592
          56             2.40761             2.80182           0.0214977
          57             2.38122             2.79444           0.0223511
          58             2.35432             2.78686           0.0232182
          59             2.32697             2.77906           0.0240975
          60             2.29923             2.77106           0.0249877
          61             2.27115             2.76287           0.0258871
          62              2.2428             2.75448           0.0267942
          63             2.21423             2.74591           0.0277072
          64             2.18553             2.73715           0.0286244
          65             2.15674             2.72822           0.0295439
          66             2.12795             2.71913           0.0304641
          67             2.09921             2.70987            0.031383
          68             2.07059             2.70047           0.0322989
          69             2.04215             2.69093           0.0332101
          70             2.01395             2.68126           0.0341147
          71             1.98605             2.67147           0.0350113
          72             1.95851             2.66157            0.035898
          73             1.93139             2.65156           0.0367734
          74             1.90473             2.64147           0.0376359
          75             1.87858              2.6313           0.0384841
          76             1.85301             2.62106           0.0393166
          77             1.82806             2.61076           0.0401322
          78             1.80379             2.60041           0.0409295
          79             1.78022             2.59003           0.0417074
          80             1.75743             2.57962           0.0424647
          81             1.73545              2.5692           0.0432005
          82             1.71432             2.55878           0.0439136
          83              1.6941             2.54836           0.0446031
          84             1.67482             2.53796           0.0452682
          85             1.65653             2.52759            0.045908
          86             1.63926             2.51726           0.0465217
          87             1.62306             2.50698           0.0471087
          88             1.60795             2.49677           0.0476683
          89             1.59396             2.48662              0.0482
          90             1.58112             2.47656           0.0487031
          91             1.56945             2.46659           0.0491775
          92             1.55897             2.45673           0.0496226
          93             1.54967             2.44697           0.0500384
          94             1.54156             2.43734           0.0504246
          95             1.53462             2.42784           0.0507813
          96             1.52884             2.41848           0.0511085
          97             1.52419             2.40926           0.0514064
          98             1.52063             2.40019           0.0516754
          99             1.51811             2.39128           0.0519159
         100             1.51659             2.38253           0.0521283
         101             1.51599             2.37395           0.0523135
         102             1.51626             2.36554           0.0524721
         103             1.51731             2.35731           0.0526049
         104             1.51907             2.34925           0.0527129
         105             1.52145             2.34136           0.0527972
         106             1.52439             2.33366           0.0528587
         107             1.52778             2.32613           0.0528985
         108             1.53156             2.31877           0.0529178
         109             1.53564             2.31158           0.0529178
         110             1.53995             2.30457           0.0528997
         111             1.54441             2.29772           0.0528645
         112             1.54896             2.29104           0.0528135
         113             1.55355             2.28451           0.0527479
         114             1.55811             2.27814           0.0526686
         115             1.56261             2.27191           0.0525769
         116               1.567             2.26584           0.0524736
         117             1.57125              2.2599           0.0523599
         118             1.57534              2.2541           0.0522366
         119             1.57924             2.24843           0.0521045
         120             1.58295             2.24288           0.0519646
         121             1.58645             2.23746           0.0518176
         122             1.58974             2.23215           0.0516641
         123             1.59282             2.22695           0.0515049
         124             1.59569             2.22186           0.0513405
         125             1.59836             2.21687           0.0511715
         126             1.60084             2.21198           0.0509984
         127             1.60315             2.20719           0.0508217
         128             1.60529             2.20249           0.0506417
         129             1.60728             2.19787           0.0504589
         130             1.60914             2.19334           0.0502736
         131             1.61088              2.1889            0.050086
         132             1.61252             2.18453           0.0498966
         133             1.61407             2.18024           0.0497054
         134             1.61554             2.17603           0.0495128
         135             1.61696             2.17189           0.0493189
         136             1.61833             2.16782           0.0491239
         137             1.61966             2.16382           0.0489281
         138             1.62095             2.15988           0.0487314
         139             1.62222             2.15601           0.0485341
         140             1.62346             2.15221           0.0483362
         141             1.62468             2.14847            0.048138
         142             1.62588             2.14479           0.0479395
         143             1.62705             2.14117           0.0477408
         144              1.6282             2.13761           0.0475419
         145             1.62932              2.1341           0.0473431
         146              1.6304             2.13065           0.0471444
         147             1.63146             2.12725           0.0469458
         148             1.63247             2.12391           0.0467475
         149             1.63344             2.12062           0.0465495
         150             1.63436             2.11738           0.0463519
         151             1.63524             2.11418           0.0461548
         152             1.63607             2.11104           0.0459582
         153             1.63685             2.10794           0.0457622
         154             1.63758             2.10489           0.0455669
         155             1.63827             2.10187           0.0453722
         156             1.63893             2.09891           0.0451783
         157             1.63957             2.09598           0.0449852
         158             1.64019              2.0931           0.0447929
         159             1.64081             2.09025           0.0446014
         160             1.64144             2.08745           0.0444108
         161              1.6421             2.08468            0.044221
         162             1.64279             2.08195            0.044032
         163             1.64352             2.07926            0.043844
         164             1.64432             2.07661           0.0436568
         165             1.64518               2.074           0.0434704
         166             1.64611             2.07142           0.0432849
         167             1.64712             2.06888           0.0431002
         168             1.64821             2.06637           0.0429163
         169             1.64936             2.06391           0.0427333
         170             1.65058             2.06148            0.042551
         171             1.65184             2.05908           0.0423696
         172             1.65314             2.05672           0.0421889
         173             1.65446             2.05439           0.0420091
         174             1.65577              2.0521           0.0418301
         175             1.65704             2.04985           0.0416519
         176             1.65827             2.04762           0.0414746
         177             1.65942             2.04543           0.0412983
         178             1.66046             2.04327           0.0411228
         179             1.66137             2.04113           0.0409484
         180             1.66213             2.03903            0.040775
         181             1.66272             2.03695           0.0406027
         182             1.66311             2.03489           0.0404315
         183             1.66331             2.03286           0.0402616
         184             1.66329             2.03085           0.0400928
         185             1.66306             2.02887           0.0399254
         186              1.6626              2.0269           0.0397592
         187             1.66192             2.02494           0.0395945
         188             1.66103             2.02301           0.0394312
         189             1.65993             2.02109           0.0392693
         190             1.65864             2.01918           0.0391089
         191             1.65717             2.01729           0.0389501
         192             1.65554              2.0154           0.0387928
         193             1.65377             2.01353            0.038637
         194             1.65188             2.01166           0.0384828
         195             1.64989             2.00981           0.0383301
         196             1.64784             2.00796            0.038179
         197             1.64573             2.00612           0.0380295
         198             1.64359             2.00429           0.0378814
         199             1.64145             2.00247           0.0377349
         200             1.63932             2.00065           0.0375899
         201             1.63722             1.99884           0.0374464
         202             1.63519             1.99704           0.0373042
         203             1.63322             1.99525           0.0371635
         204             1.63135             1.99347           0.0370241
         205             1.62958             1.99169            0.036886
         206             1.62793             1.98993           0.0367492
         207             1.62642             1.98817           0.0366136
         208             1.62505             1.98643           0.0364792
         209             1.62384             1.98469           0.0363459
         210             1.62279             1.98297           0.0362136
         211             1.62192             1.98126           0.0360824
         212             1.62124             1.97956           0.0359522
         213             1.62075             1.97787           0.0358228
         214             1.62047              1.9762           0.0356943
         215             1.62041             1.97455           0.0355666
         216             1.62057             1.97291           0.0354397
         217             1.62097             1.97129           0.0353135
         218             1.62163             1.96968           0.0351879
         219             1.62255              1.9681           0.0350629
         220             1.62374             1.96653           0.0349385
         221             1.62522             1.96499           0.0348145
         222               1.627             1.96347           0.0346909
         223             1.62908             1.96197           0.0345678
         224             1.63147             1.96049           0.0344449
         225             1.63417             1.95904           0.0343224
         226             1.63719             1.95762              0.0342
         227             1.64053             1.95622           0.0340779
         228             1.64416             1.95485           0.0339559
         229              1.6481             1.95351            0.033834
         230             1.65231              1.9522           0.0337122
         231             1.65678             1.95092           0.0335906
         232             1.66148             1.94968           0.0334689
         233             1.66639             1.94846           0.0333474
         234             1.67147             1.94728           0.0332259
         235              1.6767             1.94612           0.0331044
         236             1.68203             1.94501            0.032983
         237             1.68743             1.94392           0.0328618
         238             1.69285             1.94286           0.0327406
         239             1.69825             1.94184           0.0326196
         240             1.70361             1.94085           0.0324988
         241             1.70888             1.93989           0.0323782
         242             1.71403             1.93895           0.0322579
         243             1.71904             1.93805           0.0321378
         244             1.72386             1.93717           0.0320181
         245             1.72848             1.93632           0.0318987
         246             1.73288             1.93549           0.0317798
         247             1.73703             1.93469           0.0316613
         248             1.74093             1.93391           0.0315432
         249             1.74456             1.93315           0.0314257
         250             1.74792              1.9324           0.0313088
         251             1.75101             1.93168           0.0311924
         252             1.75382             1.93098           0.0310766
         253             1.75637             1.93029           0.0309614
         254             1.75864             1.92961           0.0308469
         255             1.76067             1.92895            0.030733
         256             1.76244              1.9283           0.0306199
         257             1.76398             1.92766           0.0305074
         258             1.76529             1.92703           0.0303956
         259             1.76638             1.92641           0.0302846
         260             1.76728              1.9258           0.0301743
         261             1.76799             1.92519           0.0300647
         262             1.76854             1.92459           0.0299559
         263             1.76892               1.924           0.0298479
         264             1.76915             1.92342           0.0297406
         265             1.76925             1.92283           0.0296341
         266             1.76923             1.92226           0.0295283
         267              1.7691             1.92168           0.0294232
         268             1.76887             1.92111            0.029319
         269             1.76855             1.92055           0.0292155
         270             1.76815             1.91998           0.0291127
         271             1.76768             1.91942           0.0290107
         272             1.76714             1.91886           0.0289095
         273             1.76654              1.9183            0.028809
         274             1.76589             1.91774           0.0287092
         275              1.7652             1.91719           0.0286101
         276             1.76445             1.91664           0.0285118
         277             1.76367             1.91608           0.0284142
         278             1.76285             1.91553           0.0283174
         279             1.76199             1.91498           0.0282212
