#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1            -5.31496            -5.31496                   0
           2            -5.31254            -5.31375         0.000855495
           3            -5.30858            -5.31203          0.00151654
           4             -5.3031            -5.30979          0.00224291
           5            -5.29608            -5.30705           0.0030401
           6            -5.28751            -5.30379          0.00390566
           7             -5.2774            -5.30002          0.00483632
           8            -5.26574            -5.29574          0.00582914
           9            -5.25251            -5.29094          0.00688163
          10             -5.2377            -5.28561          0.00799179
          11            -5.22129            -5.27976          0.00915798
          12            -5.20327            -5.27339           0.0103789
          13            -5.18314            -5.26645           0.0116738
          14            -5.16184            -5.25897           0.0130135
          15            -5.13861            -5.25095            0.014409
          16            -5.11321            -5.24234           0.0158731
          17            -5.08608            -5.23315           0.0173986
          18            -5.05742            -5.22339           0.0189743
          19            -5.02722            -5.21306            0.020594
          20            -4.99446            -5.20213           0.0222768
          21            -4.96056            -5.19063           0.0240031
          22            -4.92403            -5.17851           0.0257902
          23             -4.8858            -5.16578            0.027631
          24            -4.84511            -5.15242           0.0295342
          25            -4.80262            -5.13843           0.0314934
          26            -4.75806             -5.1238           0.0335083
          27            -4.71113            -5.10852           0.0355826
          28            -4.66203            -5.09257           0.0377159
          29            -4.61096            -5.07596           0.0399045
          30            -4.55713            -5.05867           0.0421557
          31            -4.50123            -5.04069            0.044466
          32            -4.44271              -5.022           0.0468386
          33            -4.38177             -5.0026           0.0492737
          34            -4.31907             -4.9825           0.0517634
          35            -4.25385            -4.96168           0.0543098
          36            -4.18653            -4.94015           0.0569096
          37            -4.11565            -4.91786           0.0595747
          38            -4.04234            -4.89482           0.0623032
          39            -3.96634            -4.87101           0.0650955
          40            -3.88665            -4.84641           0.0679608
          41            -3.80516            -4.82101           0.0708898
          42            -3.72066            -4.79481           0.0738847
          43            -3.63384            -4.76781           0.0769415
          44            -3.54424               -4.74           0.0800606
          45            -3.45208            -4.71138           0.0832401
          46            -3.35739            -4.68195           0.0864783
          47            -3.26068            -4.65171           0.0897699
          48            -3.16104            -4.62065           0.0931167
          49            -3.05851            -4.58877           0.0965196
          50            -2.95317            -4.55606            0.099979
          51            -2.84536            -4.52252            0.103493
          52            -2.73517            -4.48814            0.107058
          53            -2.62249            -4.45294            0.110674
          54            -2.50842            -4.41693            0.114333
          55            -2.39143            -4.38011            0.118036
          56            -2.27434             -4.3425            0.121771
          57            -2.15541            -4.30413            0.125534
          58            -2.03387            -4.26499            0.129328
          59            -1.91137             -4.2251            0.133147
          60            -1.78887             -4.1845            0.136979
          61            -1.66488            -4.14319            0.140823
          62            -1.54014            -4.10121            0.144675
          63            -1.41535            -4.05857            0.148528
          64            -1.29147            -4.01534             0.15237
          65            -1.16682            -3.97151            0.156201
          66             -1.0433            -3.92715            0.160011
          67           -0.919223            -3.88225              0.1638
          68           -0.796491            -3.83687            0.167559
          69           -0.675322            -3.79105            0.171281
          70           -0.555209            -3.74483            0.174961
          71           -0.436118            -3.69823            0.178595
          72           -0.319689             -3.6513            0.182175
          73           -0.204914            -3.60409            0.185696
          74          -0.0910204            -3.55662            0.189157
          75            0.020365            -3.50892            0.192554
          76            0.127857            -3.46107            0.195876
          77            0.232964             -3.4131            0.199121
          78            0.335514            -3.36504            0.202284
          79            0.435824            -3.31693            0.205366
          80             0.53204            -3.26881            0.208358
          81            0.625452            -3.22074             0.21126
          82            0.715425            -3.17273            0.214068
          83            0.801811            -3.12485            0.216778
          84            0.884712            -3.07712             0.21939
          85            0.964477            -3.02957            0.221901
          86             1.03906            -2.98226            0.224308
          87             1.10931            -2.93523            0.226606
          88             1.17611            -2.88851            0.228796
          89             1.23818            -2.84214            0.230876
          90             1.29616            -2.79616            0.232845
          91             1.34932            -2.75061              0.2347
          92             1.39858            -2.70551            0.236442
          93             1.44277             -2.6609             0.23807
          94             1.48361            -2.61681            0.239586
          95             1.52021            -2.57326            0.240989
          96             1.55265            -2.53028            0.242281
          97             1.58107             -2.4879            0.243462
          98             1.60611            -2.44612            0.244536
          99             1.62721            -2.40498            0.245503
         100             1.64458            -2.36448            0.246365
         101             1.65822            -2.32465            0.247124
         102             1.66907             -2.2855            0.247784
         103             1.67667            -2.24703            0.248346
         104             1.68298            -2.20924            0.248816
         105             1.68633            -2.17214            0.249197
         106             1.68868            -2.13572            0.249494
         107             1.68837            -2.09998            0.249709
         108             1.68637            -2.06492            0.249846
         109              1.6827            -2.03054            0.249908
         110             1.67951            -1.99681            0.249902
         111             1.67412            -1.96374            0.249829
         112             1.66891            -1.93131            0.249695
         113             1.66332             -1.8995            0.249504
         114             1.65776            -1.86829            0.249259
         115             1.65212            -1.83768            0.248964
         116             1.64675            -1.80764            0.248623
         117             1.64079            -1.77817            0.248239
         118             1.63577            -1.74924            0.247815
         119             1.63053            -1.72083            0.247355
         120             1.62536            -1.69295            0.246861
         121             1.62077            -1.66556            0.246335
         122             1.61701            -1.63866            0.245781
         123             1.61337            -1.61222              0.2452
         124             1.61032            -1.58623            0.244596
         125             1.60663            -1.56069             0.24397
         126             1.60324            -1.53558            0.243322
         127             1.60061            -1.51088            0.242656
         128              1.5987            -1.48659            0.241973
         129             1.59651            -1.46269            0.241275
         130             1.59545            -1.43916            0.240563
         131              1.5938            -1.41601            0.239838
         132             1.59176            -1.39323            0.239101
         133             1.59002             -1.3708            0.238353
         134              1.5888            -1.34871            0.237596
         135             1.58782            -1.32696            0.236829
         136             1.58659            -1.30553            0.236055
         137             1.58532            -1.28443            0.235273
         138             1.58426            -1.26364            0.234485
         139             1.58242            -1.24317             0.23369
         140             1.58127            -1.22299             0.23289
         141             1.57862            -1.20313            0.232084
         142             1.57714            -1.18355            0.231274
         143              1.5754            -1.16425            0.230461
         144             1.57267            -1.14525            0.229643
         145             1.57139            -1.12651            0.228822
         146             1.56988            -1.10804            0.227999
         147             1.56792            -1.08984            0.227173
         148             1.56648            -1.07189            0.226346
         149             1.56532            -1.05419            0.225518
         150             1.56375            -1.03674            0.224689
         151             1.56223            -1.01953            0.223859
         152             1.56077            -1.00255            0.223029
         153             1.55864           -0.985811            0.222199
         154             1.55703           -0.969299            0.221368
         155             1.55568           -0.953009            0.220539
         156             1.55504           -0.936932             0.21971
         157             1.55341           -0.921069            0.218883
         158             1.55244           -0.905414            0.218057
         159             1.55064           -0.889967            0.217232
         160             1.54896           -0.874724            0.216408
         161             1.54734            -0.85968            0.215586
         162             1.54385           -0.844844            0.214765
         163             1.54084           -0.830208            0.213946
         164             1.53832           -0.815765            0.213128
         165             1.53577           -0.801514            0.212312
         166             1.53224           -0.787455            0.211498
         167             1.52797            -0.77359            0.210686
         168             1.52418           -0.759913            0.209875
         169             1.52019           -0.746421            0.209067
         170             1.51603           -0.733113             0.20826
         171             1.51272           -0.719979            0.207456
         172             1.50887           -0.707021            0.206654
         173             1.50456           -0.694237            0.205855
         174             1.50107            -0.68162            0.205058
         175             1.49702           -0.669171            0.204264
         176             1.49393            -0.65688            0.203472
         177             1.49021            -0.64475            0.202684
         178              1.4869           -0.632774            0.201899
         179             1.48501           -0.620943            0.201117
         180             1.48366           -0.609251             0.20034
         181             1.48313           -0.597691            0.199566
         182             1.48227           -0.586262            0.198796
         183             1.48206            -0.57496            0.198031
         184             1.48301           -0.563776             0.19727
         185             1.48488           -0.552702            0.196515
         186             1.48743           -0.541733            0.195764
         187             1.49064           -0.530865            0.195019
         188             1.49449           -0.520092            0.194279
         189             1.49821           -0.509413            0.193544
         190             1.50296           -0.498822            0.192815
         191             1.50845           -0.488312            0.192092
         192              1.5139           -0.477884            0.191374
         193             1.51997           -0.467532            0.190662
         194             1.52706           -0.457251            0.189956
         195             1.53415           -0.447039            0.189257
         196             1.54116           -0.436895            0.188563
         197             1.54802           -0.426819            0.187874
         198              1.5542           -0.416814            0.187192
         199             1.56081           -0.406876            0.186515
         200             1.56731           -0.397005            0.185843
         201             1.57317           -0.387203            0.185177
         202             1.57904            -0.37747            0.184516
         203             1.58488           -0.367803             0.18386
         204             1.59086           -0.358202            0.183209
         205             1.59623           -0.348668            0.182563
         206             1.60117           -0.339202            0.181922
         207             1.60542           -0.329808            0.181286
         208             1.60916           -0.320486            0.180654
         209             1.61309           -0.311235            0.180026
         210             1.61549            -0.30206            0.179403
         211             1.61848           -0.292958            0.178783
         212              1.6201           -0.283934            0.178167
         213             1.62033           -0.274994            0.177555
         214             1.62032           -0.266137            0.176946
         215             1.61884            -0.25737             0.17634
         216             1.61777           -0.248688            0.175737
         217             1.61491             -0.2401            0.175137
         218             1.61238           -0.231603             0.17454
