#     BLOCK:         BIN_CENTER:        ACTUAL_GOFR:           GOFR_AVE:              ERROR:
         100           0.0128248                   0                   0                   0
         100           0.0384745                   0                   0                   0
         100           0.0641241                   0                   0                   0
         100           0.0897737                   0                   0                   0
         100            0.115423                   0                   0                   0
         100            0.141073                   0                   0                   0
         100            0.166723                   0                   0                   0
         100            0.192372                   0                   0                   0
         100            0.218022                   0                   0                   0
         100            0.243672                   0                   0                   0
         100            0.269321                   0                   0                   0
         100            0.294971                   0                   0                   0
         100             0.32062                   0                   0                   0
         100             0.34627                   0                   0                   0
         100             0.37192                   0                   0                   0
         100            0.397569                   0                   0                   0
         100            0.423219                   0                   0                   0
         100            0.448869                   0                   0                   0
         100            0.474518                   0                   0                   0
         100            0.500168                   0                   0                   0
         100            0.525818                   0                   0                   0
         100            0.551467                   0                   0                   0
         100            0.577117                   0                   0                   0
         100            0.602767                   0                   0                   0
         100            0.628416                   0                   0                   0
         100            0.654066                   0                   0                   0
         100            0.679715                   0                   0                   0
         100            0.705365                   0                   0                   0
         100            0.731015                   0                   0                   0
         100            0.756664                   0                   0                   0
         100            0.782314                   0                   0                   0
         100            0.807964                   0                   0                   0
         100            0.833613                   0                   0                   0
         100            0.859263                   0         2.56122e-05           8.433e-06
         100            0.884913         0.000397389          0.00124505         7.66894e-05
         100            0.910562            0.024771           0.0240515         0.000327121
         100            0.936212            0.155669             0.16654         0.000964927
         100            0.961861            0.597132            0.570903          0.00154927
         100            0.987511             1.22393             1.21058           0.0025322
         100             1.01316             1.87297             1.87704          0.00366758
         100             1.03881             2.33197             2.35031          0.00430118
         100             1.06446             2.46354             2.56421          0.00384574
         100             1.09011             2.50665             2.55162           0.0038582
         100             1.11576             2.39265             2.40847          0.00344631
         100             1.14141             2.17193             2.19491          0.00303814
         100             1.16706              2.0334             1.96446          0.00336181
         100             1.19271             1.81361             1.74727          0.00343833
         100             1.21836             1.57891             1.54813          0.00360058
         100             1.24401             1.44044             1.37437          0.00301542
         100             1.26966             1.25252             1.23369          0.00237249
         100             1.29531             1.11935             1.11763          0.00233601
         100             1.32096             1.03001             1.01744          0.00248284
         100             1.34661             0.91106             0.93635          0.00234655
         100             1.37226            0.835714            0.867697          0.00224473
         100             1.39791            0.779406            0.809291          0.00218688
         100             1.42355            0.746955            0.767604          0.00210864
         100              1.4492            0.713898            0.736227          0.00192836
         100             1.47485            0.705032            0.711455          0.00170325
         100              1.5005            0.680518            0.693552          0.00173526
         100             1.52615            0.681362            0.683084          0.00158964
         100              1.5518            0.682485            0.677684           0.0017306
         100             1.57745            0.677816            0.676025          0.00164889
         100              1.6031            0.684263            0.680275          0.00152041
         100             1.62875            0.682725            0.688667          0.00149203
         100              1.6544             0.70796            0.707231          0.00155675
         100             1.68005            0.734104            0.731091          0.00157843
         100              1.7057            0.770898            0.756874           0.0018857
         100             1.73135            0.796461            0.785746          0.00175697
         100               1.757            0.827418             0.82077          0.00153786
         100             1.78265            0.850777             0.85841          0.00169846
         100              1.8083            0.890511            0.897153          0.00171908
         100             1.83395            0.925107            0.938134          0.00161159
         100              1.8596            0.986834            0.979245          0.00163996
         100             1.88525             1.01237             1.02002          0.00155429
         100              1.9109             1.05182             1.06054          0.00153883
         100             1.93655             1.10911             1.09566          0.00172134
         100              1.9622             1.16111             1.12894          0.00192918
         100             1.98785             1.16415               1.161          0.00160443
         100              2.0135             1.18756             1.18583          0.00164367
         100             2.03915             1.21657             1.20164           0.0016876
         100              2.0648             1.21213             1.21133          0.00154861
         100             2.09045               1.228             1.21314          0.00158893
         100              2.1161             1.20761             1.20733          0.00164567
         100             2.14174             1.19386               1.191          0.00159647
         100             2.16739             1.16515             1.17137          0.00161646
         100             2.19304             1.13623             1.14923          0.00171369
         100             2.21869             1.10791             1.11885          0.00153167
         100             2.24434             1.08192             1.09133          0.00166951
         100             2.26999             1.05803             1.06155          0.00154101
         100             2.29564             1.05047             1.03299          0.00161344
         100             2.32129             1.01576             1.00576          0.00133438
         100             2.34694            0.995672            0.980543          0.00134534
         100             2.37259            0.953376             0.95905          0.00122379
         100             2.39824            0.934869            0.940499           0.0012777
         100             2.42389            0.918534            0.925787          0.00117222
         100             2.44954            0.900009            0.911363          0.00119651
         100             2.47519            0.886454            0.902831          0.00127028
         100             2.50084            0.879904             0.89908          0.00133933
         100             2.52649            0.878285            0.896127          0.00133702
         100             2.55214            0.897094            0.895837          0.00129461


