#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             1.63723             1.63723                   0
           2             1.65378             1.64551          0.00585076
           3             1.64465             1.64522          0.00390758
           4              1.6244             1.64002          0.00537594
           5             1.62468             1.63695          0.00510089
           6             1.63068              1.6359          0.00435663
           7             1.62803             1.63478           0.0038767
           8             1.63348             1.63462          0.00339554
           9             1.63843             1.63504          0.00304462
          10             1.65604             1.63714          0.00338804
          11             1.62772             1.63629          0.00318635
          12             1.63714             1.63636          0.00292162
          13             1.63612             1.63634          0.00269693
          14             1.62909             1.63582          0.00255346
          15             1.63859             1.63601          0.00238989
          16             1.63083             1.63568          0.00226227
          17             1.63596              1.6357          0.00212925
          18             1.61599              1.6346          0.00227514
          19             1.62515             1.63411          0.00220914
          20             1.65258             1.63503          0.00228369
          21             1.63817             1.63518          0.00217983
          22             1.63435             1.63514          0.00208108
          23             1.61695             1.63435          0.00213564
          24             1.62699             1.63404          0.00206856
          25             1.62173             1.63355          0.00204364
          26             1.61196             1.63272          0.00212702
          27             1.65455             1.63353          0.00219649
          28             1.65375             1.63425          0.00223361
          29             1.64885             1.63476           0.0022126
          30             1.61754             1.63418          0.00221201
          31              1.6482             1.63463          0.00218638
          32             1.62945             1.63447          0.00212406
          33             1.65193               1.635          0.00212455
          34             1.65121             1.63548          0.00211488
          35             1.64448             1.63573          0.00207004
          36             1.63308             1.63566          0.00201386
          37             1.63536             1.63565          0.00195944
          38             1.64329             1.63585          0.00191816
          39             1.64227             1.63602          0.00187602
          40             1.64472             1.63624          0.00184169
          41              1.6281             1.63604          0.00180743
          42             1.64605             1.63628          0.00178004
          43             1.63763             1.63631          0.00173892
          44             1.64289             1.63646          0.00170581
          45             1.63977             1.63653           0.0016695
          46             1.63382             1.63647          0.00163425
          47             1.62943             1.63632          0.00160633
          48             1.63733             1.63634          0.00157301
          49             1.64345             1.63649          0.00154759
          50             1.63285             1.63641          0.00151834
          51             1.63257             1.63634          0.00149044
          52             1.62839             1.63619           0.0014696
          53             1.62313             1.63594          0.00146239
          54             1.64511             1.63611          0.00144514
          55             1.64672              1.6363          0.00143169
          56             1.63412             1.63626          0.00140666
          57             1.64836             1.63648           0.0013979
          58             1.64802             1.63668          0.00138791
          59             1.63934             1.63672          0.00136512
          60             1.63779             1.63674          0.00134248
          61              1.6349             1.63671          0.00132081
          62             1.64183             1.63679           0.0013021
          63             1.63285             1.63673          0.00128293
          64             1.62743             1.63658          0.00127108
          65             1.65097              1.6368          0.00127064
          66             1.63301             1.63675          0.00125269
          67             1.63195             1.63668          0.00123603
          68             1.64152             1.63675          0.00121991
          69             1.66381             1.63714          0.00126372
          70             1.64021             1.63718          0.00124643
          71             1.61951             1.63693          0.00125349
          72             1.62842             1.63682          0.00124166
          73             1.62129              1.6366          0.00124272
          74             1.63212             1.63654          0.00122741
          75             1.61004             1.63619          0.00126086
          76             1.62675             1.63606          0.00125038
          77             1.63334             1.63603          0.00123464
          78             1.64406             1.63613           0.0012231
          79             1.62733             1.63602          0.00121268
          80             1.64047             1.63608           0.0011988
          81             1.63335             1.63604          0.00118447
          82             1.64491             1.63615          0.00117495
          83             1.62031             1.63596          0.00117619
          84             1.65686             1.63621           0.0011882
          85             1.63216             1.63616          0.00117518
          86             1.62603             1.63604          0.00116741
          87             1.64001             1.63609          0.00115488
          88             1.65778             1.63634          0.00116776
          89             1.62712             1.63623          0.00115921
          90             1.63781             1.63625          0.00114647
          91             1.64032             1.63629          0.00113474
          92             1.62709             1.63619          0.00112681
          93             1.64548             1.63629          0.00111911
          94              1.6407             1.63634          0.00110818
          95             1.61288             1.63609          0.00112369
          96             1.63742             1.63611          0.00111207
          97             1.65695             1.63632          0.00112117
          98             1.64758             1.63644           0.0011156
          99             1.63195             1.63639          0.00110525
         100             1.63467             1.63638          0.00109433
