#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1            -5.45712            -5.45712                   0
           2            -5.47312            -5.46512          0.00565724
           3             -5.4637            -5.46465          0.00379126
           4            -5.44243            -5.45909          0.00558729
           5            -5.44373            -5.45602          0.00524694
           6              -5.449            -5.45485          0.00450108
           7            -5.44755            -5.45381          0.00397709
           8            -5.45156            -5.45353          0.00348987
           9             -5.4578              -5.454          0.00313431
          10            -5.47497             -5.4561          0.00345199
          11            -5.44563            -5.45515          0.00326665
          12            -5.45634            -5.45525          0.00299595
          13            -5.45478            -5.45521          0.00276571
          14            -5.44746            -5.45466          0.00262303
          15            -5.45607            -5.45475          0.00244986
          16            -5.44904            -5.45439          0.00232259
          17            -5.45439            -5.45439          0.00218597
          18            -5.43458            -5.45329          0.00232517
          19            -5.44451            -5.45283          0.00224827
          20            -5.47107            -5.45374          0.00231343
          21            -5.45644            -5.45387          0.00220683
          22            -5.45244            -5.45381          0.00210748
          23            -5.43585            -5.45303          0.00215559
          24            -5.44486            -5.45269          0.00209243
          25            -5.43989            -5.45217          0.00207035
          26            -5.43008            -5.45132          0.00215802
          27            -5.47411            -5.45217          0.00223704
          28            -5.47317            -5.45292           0.0022794
          29            -5.46752            -5.45342          0.00225569
          30            -5.43512            -5.45281          0.00226146
          31            -5.46717            -5.45328          0.00223544
          32            -5.44726            -5.45309          0.00217348
          33            -5.47047            -5.45361          0.00217052
          34            -5.47034            -5.45411          0.00216169
          35            -5.46303            -5.45436          0.00211492
          36             -5.4513            -5.45428          0.00205788
          37            -5.45467            -5.45429          0.00200229
          38            -5.46291            -5.45451          0.00196241
          39            -5.46065            -5.45467          0.00191838
          40            -5.46283            -5.45487          0.00188123
          41            -5.44774             -5.4547          0.00184338
          42            -5.46463            -5.45494          0.00181459
          43            -5.45707            -5.45499          0.00177307
          44            -5.46224            -5.45515          0.00174041
          45            -5.45914            -5.45524          0.00170399
          46            -5.45147            -5.45516          0.00166891
          47            -5.44815            -5.45501          0.00164006
          48            -5.45699            -5.45505          0.00160641
          49            -5.46191            -5.45519          0.00157972
          50            -5.45207            -5.45513          0.00154936
          51            -5.45084            -5.45504          0.00152126
          52            -5.44789            -5.45491          0.00149821
          53            -5.44154            -5.45465          0.00149102
          54            -5.46462            -5.45484          0.00147479
          55            -5.46545            -5.45503          0.00146054
          56            -5.45265            -5.45499          0.00143508
          57            -5.46761            -5.45521          0.00142687
          58            -5.46687            -5.45541          0.00141635
          59            -5.45939            -5.45548          0.00139395
          60            -5.45611            -5.45549          0.00137076
          61            -5.45357            -5.45546          0.00134865
          62            -5.46103            -5.45555          0.00132988
          63            -5.45154            -5.45548           0.0013103
          64            -5.44708            -5.45535          0.00129639
          65             -5.4701            -5.45558          0.00129614
          66            -5.45046             -5.4555          0.00127881
          67            -5.44996            -5.45542           0.0012624
          68            -5.46096             -5.4555          0.00124646
          69             -5.4837            -5.45591          0.00129366
          70            -5.45958            -5.45596          0.00127624
          71            -5.43855            -5.45572          0.00128162
          72            -5.44734             -5.4556          0.00126908
          73            -5.43971            -5.45538          0.00127022
          74            -5.45129            -5.45533          0.00125426
          75            -5.42756            -5.45496          0.00129101
          76            -5.44424            -5.45482           0.0012817
          77             -5.4525            -5.45479          0.00126541
          78            -5.46365             -5.4549          0.00125428
          79            -5.44538            -5.45478          0.00124418
          80            -5.45908            -5.45483          0.00122979
          81            -5.45282            -5.45481          0.00121485
          82            -5.46286            -5.45491            0.001204
          83            -5.43961            -5.45472          0.00120352
          84            -5.47688            -5.45499          0.00121776
          85            -5.45059            -5.45493          0.00120453
          86            -5.44473            -5.45482          0.00119636
          87            -5.45935            -5.45487          0.00118374
          88            -5.47748            -5.45512          0.00119785
          89            -5.44665            -5.45503          0.00118818
          90            -5.45623            -5.45504          0.00117505
          91            -5.45864            -5.45508           0.0011628
          92            -5.44636            -5.45499          0.00115403
          93            -5.46449            -5.45509          0.00114614
          94            -5.45933            -5.45513          0.00113483
          95            -5.43068            -5.45488          0.00115172
          96            -5.45651            -5.45489          0.00113985
          97            -5.47698            -5.45512          0.00115061
          98            -5.46601            -5.45523          0.00114422
          99            -5.45043            -5.45518          0.00113369
         100            -5.45342            -5.45517          0.00112249
