#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1             1.37047             1.37047                   0
           2             1.35278             1.36162          0.00625468
           3              1.4153             1.37952           0.0151925
           4             1.49569             1.40856           0.0276124
           5             1.46833             1.42051           0.0245414
           6             1.46572             1.42805           0.0215769
           7             1.43166             1.42856           0.0185007
           8             1.44714             1.43089           0.0163332
           9             1.42384              1.4301           0.0145371
          10             1.31547             1.41864            0.017013
          11             1.48319             1.42451           0.0164474
          12             1.43708             1.42556           0.0151101
          13             1.42051             1.42517           0.0139527
          14             1.45796             1.42751           0.0131513
          15             1.40373             1.42592           0.0123697
          16             1.48983             1.42992           0.0122246
          17             1.43696             1.43033           0.0115125
          18             1.49528             1.43394           0.0114243
          19             1.49829             1.43733            0.011314
          20             1.37718             1.43432           0.0111408
          21             1.43763             1.43448           0.0106114
          22             1.39209             1.43255           0.0103026
          23             1.48554             1.43486           0.0101089
          24             1.52159             1.43847           0.0103135
          25              1.4949             1.44073           0.0101449
          26             1.57916             1.44605            0.011064
          27             1.32946             1.44173           0.0114661
          28             1.36018             1.43882           0.0114205
          29             1.41168             1.43788           0.0110649
          30              1.5354             1.44113           0.0111633
          31             1.33883             1.43783           0.0112805
          32             1.49525             1.43963           0.0110698
          33             1.43249             1.43941           0.0107365
          34             1.32096             1.43593           0.0109713
          35             1.40219             1.43496           0.0107001
          36             1.49901             1.43674           0.0105497
          37             1.45443             1.43722           0.0102754
          38              1.3764             1.43562           0.0101289
          39             1.40624             1.43487          0.00989718
          40             1.47694             1.43592          0.00970548
          41             1.44704             1.43619          0.00947256
          42              1.4372             1.43621          0.00924705
          43             1.52163              1.4382          0.00924287
          44             1.38489             1.43699          0.00911189
          45             1.45585             1.43741          0.00891904
          46             1.43626             1.43738          0.00872518
          47             1.49246             1.43856          0.00861786
          48              1.4733             1.43928          0.00846867
          49             1.41626             1.43881          0.00830886
          50             1.45165             1.43907          0.00814665
          51             1.40925             1.43848          0.00800787
          52             1.47664             1.43922          0.00788743
          53             1.54055             1.44113          0.00796696
          54             1.46087             1.44149          0.00782781
          55              1.4482             1.44161          0.00768643
          56             1.43879             1.44156          0.00754934
          57              1.4179             1.44115           0.0074283
          58             1.44405              1.4412          0.00730039
          59             1.35052             1.43966          0.00733664
          60             1.45898             1.43998          0.00722143
          61             1.45918              1.4403           0.0071099
          62             1.45006             1.44046          0.00699697
          63             1.43897             1.44043          0.00688594
          64             1.43759             1.44039          0.00677849
          65             1.35527             1.43908          0.00679952
          66             1.52845             1.44043             0.00683
          67             1.49213              1.4412          0.00677151
          68             1.39617             1.44054          0.00670424
          69             1.28512             1.43829          0.00697524
          70             1.37686             1.43741          0.00693058
          71             1.45912             1.43772           0.0068397
          72              1.4393             1.43774          0.00674474
          73             1.50732             1.43869          0.00671937
          74             1.48629             1.43934          0.00665928
          75             1.51821             1.44039          0.00665301
          76             1.51423             1.44136          0.00663605
          77             1.42163              1.4411          0.00655481
          78             1.34967             1.43993          0.00657476
          79             1.51438             1.44087          0.00655872
          80             1.42551             1.44068          0.00647955
          81             1.46855             1.44103          0.00640868
          82             1.46528             1.44132          0.00633735
          83             1.52803             1.44237          0.00634653
          84             1.34355             1.44119          0.00637907
          85             1.39758             1.44068          0.00632462
          86             1.46313             1.44094          0.00625646
          87             1.46101             1.44117          0.00618881
          88              1.3122              1.4397           0.0062896
          89             1.43381             1.43964          0.00621928
          90             1.44189             1.43966          0.00615023
          91             1.41603              1.4394          0.00608812
          92             1.41915             1.43918          0.00602593
          93             1.37298             1.43847          0.00600302
          94             1.48135             1.43893          0.00595647
          95             1.60068             1.44063           0.0061323
          96             1.42154             1.44043          0.00607164
          97             1.36287             1.43963          0.00606147
          98             1.36454             1.43886          0.00604785
          99             1.39776             1.43845          0.00600099
         100             1.41775             1.43824          0.00594455
