#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1             1.09149             1.09149                   0
           2             1.10252             1.09701           0.0039005
           3             1.09643             1.09681          0.00260505
           4             1.08294             1.09334          0.00358396
           5             1.08312              1.0913          0.00340059
           6             1.08712              1.0906          0.00290442
           7             1.08535             1.08985          0.00258447
           8             1.08898             1.08974          0.00226369
           9             1.09229             1.09003          0.00202975
          10             1.10403             1.09143          0.00225869
          11             1.08515             1.09086          0.00212423
          12             1.09143              1.0909          0.00194775
          13             1.09075             1.09089          0.00179796
          14             1.08606             1.09055          0.00170231
          15             1.09239             1.09067          0.00159326
          16             1.08722             1.09046          0.00150818
          17             1.09064             1.09047           0.0014195
          18             1.07733             1.08974          0.00151676
          19             1.08343              1.0894          0.00147276
          20             1.10172             1.09002          0.00152246
          21             1.09211             1.09012          0.00145322
          22             1.08957             1.09009          0.00138738
          23             1.07797             1.08957          0.00142376
          24             1.08466             1.08936          0.00137904
          25             1.08115             1.08903          0.00136242
          26             1.07464             1.08848          0.00141802
          27             1.10303             1.08902          0.00146433
          28              1.1025              1.0895          0.00148908
          29             1.09923             1.08984          0.00147506
          30             1.07836             1.08945          0.00147467
          31              1.0988             1.08976          0.00145759
          32              1.0863             1.08965          0.00141604
          33             1.10129                1.09          0.00141637
          34             1.10081             1.09032          0.00140992
          35             1.09632             1.09049          0.00138003
          36             1.08872             1.09044          0.00134257
          37             1.09024             1.09044           0.0013063
          38             1.09553             1.09057          0.00127877
          39             1.09485             1.09068          0.00125068
          40             1.09648             1.09082          0.00122779
          41              1.0854             1.09069          0.00120495
          42             1.09736             1.09085          0.00118669
          43             1.09175             1.09087          0.00115928
          44             1.09526             1.09097          0.00113721
          45             1.09318             1.09102            0.001113
          46             1.08921             1.09098           0.0010895
          47             1.08628             1.09088          0.00107089
          48             1.09155              1.0909          0.00104867
          49             1.09564             1.09099          0.00103172
          50             1.08857             1.09094          0.00101223
          51             1.08838             1.09089         0.000993626
          52             1.08559             1.09079         0.000979737
          53             1.08208             1.09063         0.000974929
          54             1.09674             1.09074         0.000963429
          55             1.09782             1.09087         0.000954463
          56             1.08941             1.09084         0.000937772
          57             1.09891             1.09098         0.000931936
          58             1.09868             1.09112         0.000925274
          59             1.09289             1.09115          0.00091008
          60             1.09186             1.09116         0.000894989
          61             1.08994             1.09114         0.000880542
          62             1.09456             1.09119         0.000868063
          63             1.08857             1.09115         0.000855284
          64             1.08496             1.09106         0.000847384
          65             1.10065              1.0912         0.000847093
          66             1.08867             1.09116         0.000835126
          67             1.08797             1.09112         0.000824023
          68             1.09435             1.09116         0.000813274
          69             1.10921             1.09143         0.000842482
          70             1.09348             1.09146         0.000830956
          71             1.07967             1.09129         0.000835663
          72             1.08561             1.09121         0.000827771
          73             1.08086             1.09107         0.000828483
          74             1.08808             1.09103         0.000818272
          75             1.07336             1.09079         0.000840576
          76              1.0845             1.09071         0.000833586
          77             1.08889             1.09069         0.000823095
          78             1.09604             1.09075         0.000815401
          79             1.08489             1.09068         0.000808454
          80             1.09365             1.09072         0.000799199
          81              1.0889              1.0907         0.000789647
          82             1.09661             1.09077         0.000783302
          83             1.08021             1.09064         0.000784127
          84             1.10457             1.09081         0.000792134
          85              1.0881             1.09077         0.000783453
          86             1.08402              1.0907         0.000778271
          87             1.09334             1.09073         0.000769919
          88             1.10519             1.09089         0.000778505
          89             1.08475             1.09082         0.000772809
          90             1.09187             1.09083          0.00076431
          91             1.09355             1.09086         0.000756492
          92             1.08473              1.0908         0.000751203
          93             1.09699             1.09086         0.000746071
          94              1.0938             1.09089         0.000738787
          95             1.07525             1.09073         0.000749127
          96             1.09161             1.09074          0.00074138
          97             1.10463             1.09088         0.000747446
          98             1.09839             1.09096         0.000743732
          99             1.08797             1.09093         0.000736833
         100             1.08978             1.09092         0.000729554
