#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1            -6.36464            -6.36464                   0
           2            -6.36432            -6.36448         0.000112797
           3            -6.36379            -6.36425         0.000202484
           4            -6.36305            -6.36395         0.000301772
           5            -6.36209            -6.36358         0.000411275
           6            -6.36091            -6.36313         0.000530691
           7            -6.35952            -6.36262         0.000659666
           8            -6.35791            -6.36203         0.000797924
           9            -6.35606            -6.36137         0.000945271
          10            -6.35399            -6.36063           0.0011016
          11            -6.35168            -6.35981          0.00126686
          12            -6.34912            -6.35892          0.00144109
          13            -6.34601            -6.35793          0.00163716
          14            -6.34294            -6.35686          0.00183709
          15            -6.33946             -6.3557          0.00204839
          16             -6.3354            -6.35443          0.00227975
          17            -6.33105            -6.35305          0.00252673
          18            -6.32655            -6.35158          0.00278241
          19             -6.3219            -6.35002          0.00304311
          20            -6.31647            -6.34834          0.00332133
          21            -6.31115            -6.34657          0.00360451
          22            -6.30503            -6.34468          0.00390399
          23             -6.2987            -6.34268          0.00421527
          24            -6.29168            -6.34056          0.00454392
          25            -6.28441            -6.33831           0.0048858
          26            -6.27672            -6.33594          0.00524075
          27            -6.26845            -6.33344          0.00561119
          28            -6.25973            -6.33081          0.00599671
          29            -6.25068            -6.32805           0.0063949
          30            -6.24084            -6.32514          0.00681042
          31            -6.23064            -6.32209          0.00724088
          32            -6.21976             -6.3189          0.00768844
          33            -6.20832            -6.31554          0.00815303
          34            -6.19675            -6.31205           0.0086295
          35            -6.18458            -6.30841          0.00911918
          36            -6.17209            -6.30462          0.00961999
          37            -6.15836            -6.30067           0.0101397
          38            -6.14411            -6.29655           0.0106771
          39            -6.12919            -6.29226           0.0112327
          40            -6.11297            -6.28778           0.0118123
          41            -6.09663            -6.28311           0.0124102
          42            -6.07941            -6.27826            0.013028
          43            -6.06176            -6.27323           0.0136634
          44            -6.04334              -6.268           0.0143169
          45            -6.02432            -6.26259           0.0149879
          46            -6.00468            -6.25698           0.0156757
          47            -5.98473            -6.25119           0.0163775
          48            -5.96387             -6.2452           0.0170952
          49             -5.9421            -6.23902           0.0178304
          50            -5.91944            -6.23263           0.0185841
          51            -5.89605            -6.22603           0.0193561
          52            -5.87197            -6.21922           0.0201458
          53            -5.84706             -6.2122           0.0209537
          54            -5.82197            -6.20497           0.0217761
          55            -5.79568            -6.19753            0.022616
          56            -5.76989            -6.18989            0.023466
          57            -5.74344            -6.18206           0.0243264
          58            -5.71579            -6.17402           0.0252004
          59            -5.68789            -6.16578           0.0260855
          60            -5.66026            -6.15735           0.0269771
          61             -5.6319            -6.14874           0.0278762
          62            -5.60319            -6.13994           0.0287818
          63            -5.57448            -6.13097           0.0296915
          64             -5.5463            -6.12183           0.0306007
          65             -5.5175            -6.11253           0.0315107
          66            -5.48921            -6.10309           0.0324177
          67            -5.46029            -6.09349           0.0333233
          68            -5.43184            -6.08376           0.0342244
          69            -5.40394            -6.07391           0.0351179
          70            -5.37619            -6.06394            0.036003
          71             -5.3485            -6.05387           0.0368791
          72            -5.32182             -6.0437           0.0377424
          73            -5.29546            -6.03345           0.0385921
          74            -5.26886            -6.02312           0.0394295
          75            -5.24299            -6.01272           0.0402524
          76            -5.21864            -6.00227           0.0410565
          77            -5.19481            -5.99178            0.041841
          78            -5.17155            -5.98127           0.0426056
          79             -5.1486            -5.97073           0.0433504
          80            -5.12707            -5.96018           0.0440726
          81             -5.1061            -5.94964            0.044772
          82            -5.08602             -5.9391           0.0454479
          83            -5.06689             -5.9286           0.0460992
          84             -5.0486            -5.91812           0.0467256
          85            -5.03087            -5.90768           0.0473275
          86            -5.01497             -5.8973            0.047902
          87            -5.00031            -5.88699           0.0484483
          88            -4.98633            -5.87676           0.0489668
          89            -4.97379            -5.86661           0.0494565
          90            -4.96227            -5.85656           0.0499174
          91            -4.95224            -5.84662           0.0503483
          92            -4.94309             -5.8368           0.0507499
          93            -4.93558            -5.82711            0.051121
          94            -4.92865            -5.81755           0.0514629
          95            -4.92287            -5.80814           0.0517758
          96            -4.91822            -5.79887           0.0520597
          97            -4.91466            -5.78975            0.052315
          98            -4.91184            -5.78079           0.0525425
          99            -4.91017              -5.772           0.0527426
         100            -4.90958            -5.76337           0.0529156
         101            -4.91015            -5.75493           0.0530617
         102            -4.91136            -5.74666           0.0531821
         103            -4.91358            -5.73857           0.0532772
         104            -4.91567            -5.73066           0.0533493
         105            -4.91876            -5.72292           0.0533986
         106            -4.92171            -5.71536           0.0534271
         107            -4.92564            -5.70798           0.0534352
         108            -4.93003            -5.70078           0.0534237
         109            -4.93494            -5.69375           0.0533936
         110            -4.93911            -5.68689           0.0533471
         111            -4.94427             -5.6802           0.0532844
         112              -4.949            -5.67368           0.0532071
         113            -4.95372             -5.6673           0.0531163
         114            -4.95822            -5.66108           0.0530133
         115            -4.96262            -5.65501           0.0528991
         116            -4.96672            -5.64908           0.0527748
         117            -4.97111            -5.64328           0.0526409
         118            -4.97486            -5.63762           0.0524987
         119            -4.97872            -5.63208           0.0523487
         120            -4.98253            -5.62667           0.0521916
         121            -4.98596            -5.62137           0.0520281
         122            -4.98889            -5.61619           0.0518593
         123            -4.99176            -5.61111           0.0516856
         124            -4.99428            -5.60614           0.0515076
         125            -4.99721            -5.60127           0.0513254
         126            -4.99997            -5.59649           0.0511394
         127            -5.00226            -5.59182           0.0509503
         128             -5.0041            -5.58722           0.0507588
         129            -5.00611            -5.58272           0.0505648
