#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1            -4.63054            -4.63054                   0
           2            -4.62812            -4.62933         0.000855495
           3            -4.62417            -4.62761          0.00151654
           4            -4.61868            -4.62538          0.00224291
           5            -4.61166            -4.62263           0.0030401
           6             -4.6031            -4.61938          0.00390566
           7            -4.59299            -4.61561          0.00483632
           8            -4.58132            -4.61132          0.00582914
           9            -4.56809            -4.60652          0.00688163
          10            -4.55328            -4.60119          0.00799179
          11            -4.53687            -4.59535          0.00915798
          12            -4.51885            -4.58897           0.0103789
          13            -4.49872            -4.58203           0.0116738
          14            -4.47742            -4.57456           0.0130135
          15            -4.45419            -4.56653            0.014409
          16            -4.42879            -4.55792           0.0158731
          17            -4.40166            -4.54873           0.0173986
          18            -4.37301            -4.53897           0.0189743
          19             -4.3428            -4.52864            0.020594
          20            -4.31004            -4.51771           0.0222768
          21            -4.27614            -4.50621           0.0240031
          22            -4.23961            -4.49409           0.0257902
          23            -4.20138            -4.48137            0.027631
          24            -4.16069              -4.468           0.0295342
          25             -4.1182            -4.45401           0.0314934
          26            -4.07364            -4.43938           0.0335083
          27            -4.02671             -4.4241           0.0355826
          28            -3.97761            -4.40815           0.0377159
          29            -3.92654            -4.39155           0.0399045
          30            -3.87272            -4.37425           0.0421557
          31            -3.81681            -4.35627            0.044466
          32             -3.7583            -4.33758           0.0468386
          33            -3.69735            -4.31818           0.0492737
          34            -3.63466            -4.29808           0.0517634
          35            -3.56943            -4.27726           0.0543098
          36            -3.50212            -4.25573           0.0569096
          37            -3.43123            -4.23344           0.0595747
          38            -3.35792             -4.2104           0.0623032
          39            -3.28192             -4.1866           0.0650955
          40            -3.20223            -4.16199           0.0679608
          41            -3.12074            -4.13659           0.0708898
          42            -3.03624            -4.11039           0.0738847
          43            -2.94943            -4.08339           0.0769415
          44            -2.85982            -4.05559           0.0800606
          45            -2.76766            -4.02696           0.0832401
          46            -2.67298            -3.99753           0.0864783
          47            -2.57626            -3.96729           0.0897699
          48            -2.47662            -3.93623           0.0931167
          49            -2.37409            -3.90435           0.0965196
          50            -2.26876            -3.87164            0.099979
          51            -2.16094             -3.8381            0.103493
          52            -2.05075            -3.80373            0.107058
          53            -1.93807            -3.76853            0.110674
          54            -1.82401            -3.73252            0.114333
          55            -1.70701            -3.69569            0.118036
          56            -1.58992            -3.65809            0.121771
          57            -1.47099            -3.61972            0.125534
          58            -1.34945            -3.58057            0.129328
          59            -1.22696            -3.54068            0.133147
          60            -1.10445            -3.50008            0.136979
          61           -0.980466            -3.45877            0.140823
          62           -0.855722            -3.41679            0.144675
          63           -0.730932            -3.37416            0.148528
          64           -0.607055            -3.33092             0.15237
          65           -0.482401             -3.2871            0.156201
          66           -0.358883            -3.24273            0.160011
          67           -0.234806            -3.19783              0.1638
          68           -0.112073            -3.15246            0.167559
          69          0.00909497            -3.10664            0.171281
          70            0.129208            -3.06041            0.174961
          71            0.248299            -3.01381            0.178595
          72            0.364728            -2.96688            0.182175
          73            0.479503            -2.91967            0.185696
          74            0.593397             -2.8722            0.189157
          75            0.704782            -2.82451            0.192554
          76            0.812274            -2.77665            0.195876
          77            0.917381            -2.72868            0.199121
          78             1.01993            -2.68062            0.202284
          79             1.12024            -2.63251            0.205366
          80             1.21646             -2.5844            0.208358
          81             1.30987            -2.53632             0.21126
          82             1.39984            -2.48832            0.214068
          83             1.48623            -2.44043            0.216778
          84             1.56913             -2.3927             0.21939
          85             1.64889            -2.34515            0.221901
          86             1.72348            -2.29784            0.224308
          87             1.79373            -2.25081            0.226606
          88             1.86053            -2.20409            0.228796
          89             1.92259            -2.15772            0.230876
          90             1.98058            -2.11174            0.232845
          91             2.03373            -2.06619              0.2347
          92               2.083            -2.02109            0.236442
          93             2.12719            -1.97648             0.23807
          94             2.16803            -1.93239            0.239586
          95             2.20462            -1.88884            0.240989
          96             2.23707            -1.84587            0.242281
          97             2.26549            -1.80348            0.243462
          98             2.29052            -1.76171            0.244536
          99             2.31163            -1.72056            0.245503
         100               2.329            -1.68007            0.246365
         101             2.34263            -1.64024            0.247124
         102             2.35349            -1.60108            0.247784
         103             2.36109            -1.56261            0.248346
         104              2.3674            -1.52483            0.248816
         105             2.37075            -1.48773            0.249197
         106              2.3731             -1.4513            0.249494
         107             2.37279            -1.41556            0.249709
         108             2.37079             -1.3805            0.249846
         109             2.36712            -1.34612            0.249908
         110             2.36392             -1.3124            0.249902
         111             2.35854            -1.27932            0.249829
         112             2.35333            -1.24689            0.249695
         113             2.34774            -1.21508            0.249504
         114             2.34217            -1.18387            0.249259
         115             2.33653            -1.15326            0.248964
         116             2.33117            -1.12322            0.248623
         117             2.32521            -1.09375            0.248239
         118             2.32019            -1.06482            0.247815
         119             2.31495            -1.03642            0.247355
         120             2.30978            -1.00853            0.246861
         121             2.30519           -0.981146            0.246335
         122             2.30143            -0.95424            0.245781
         123             2.29779             -0.9278              0.2452
         124             2.29474           -0.901812            0.244596
         125             2.29105           -0.876269             0.24397
         126             2.28766           -0.851159            0.243322
         127             2.28502           -0.826464            0.242656
         128             2.28311           -0.802171            0.241973
         129             2.28093           -0.778271            0.241275
         130             2.27987           -0.754747            0.240563
         131             2.27822           -0.731594            0.239838
         132             2.27618           -0.708808            0.239101
         133             2.27444           -0.686378            0.238353
         134             2.27321           -0.664291            0.237596
         135             2.27224           -0.642539            0.236829
         136               2.271           -0.621116            0.236055
         137             2.26974           -0.600015            0.235273
         138             2.26868           -0.579227            0.234485
         139             2.26684           -0.558752             0.23369
         140             2.26568           -0.538577             0.23289
         141             2.26304           -0.518708            0.232084
         142             2.26156           -0.499129            0.231274
         143             2.25981           -0.479835            0.230461
         144             2.25709           -0.460829            0.229643
         145             2.25581           -0.442093            0.228822
         146              2.2543           -0.423625            0.227999
         147             2.25234           -0.405421            0.227173
         148             2.25089           -0.387473            0.226346
         149             2.24974           -0.369774            0.225518
         150             2.24816           -0.352321            0.224689
         151             2.24664           -0.335109            0.223859
         152             2.24519           -0.318133            0.223029
         153             2.24306           -0.301394            0.222199
         154             2.24145           -0.284882            0.221368
         155             2.24009           -0.268591            0.220539
         156             2.23946           -0.252514             0.21971
         157             2.23783           -0.236652            0.218883
         158             2.23686           -0.220997            0.218057
         159             2.23506            -0.20555            0.217232
         160             2.23337           -0.190307            0.216408
         161             2.23176           -0.175263            0.215586
         162             2.22826           -0.160426            0.214765
         163             2.22526            -0.14579            0.213946
         164             2.22273           -0.131348            0.213128
         165             2.22019           -0.117096            0.212312
         166             2.21666           -0.103037            0.211498
         167             2.21239          -0.0891727            0.210686
         168              2.2086          -0.0754954            0.209875
         169             2.20461          -0.0620037            0.209067
         170             2.20045          -0.0486951             0.20826
         171             2.19714          -0.0355616            0.207456
         172             2.19329          -0.0226032            0.206654
         173             2.18898         -0.00981945            0.205855
         174             2.18548          0.00279725            0.205058
         175             2.18143           0.0152466            0.204264
         176             2.17835            0.027537            0.203472
         177             2.17463           0.0396674            0.202684
         178             2.17131            0.051643            0.201899
         179             2.16943           0.0634742            0.201117
         180             2.16808           0.0751664             0.20034
         181             2.16755           0.0867265            0.199566
         182             2.16669           0.0981549            0.198796
         183             2.16648            0.109457            0.198031
         184             2.16743            0.120642             0.19727
         185              2.1693            0.131716            0.196515
         186             2.17185            0.142684            0.195764
         187             2.17506            0.153552            0.195019
         188             2.17891            0.164326            0.194279
         189             2.18263            0.175004            0.193544
         190             2.18738            0.185596            0.192815
         191             2.19287            0.196105            0.192092
         192             2.19832            0.206533            0.191374
         193             2.20439            0.216885            0.190662
         194             2.21148            0.227166            0.189956
         195             2.21856            0.237379            0.189257
         196             2.22557            0.247522            0.188563
         197             2.23244            0.257598            0.187874
         198             2.23861            0.267603            0.187192
         199             2.24523            0.277541            0.186515
         200             2.25173            0.287412            0.185843
         201             2.25759            0.297214            0.185177
         202             2.26346            0.306948            0.184516
         203              2.2693            0.316615             0.18386
         204             2.27528            0.326216            0.183209
         205             2.28065             0.33575            0.182563
         206             2.28559            0.345215            0.181922
         207             2.28984            0.354609            0.181286
         208             2.29358            0.363931            0.180654
         209             2.29751            0.373183            0.180026
         210              2.2999            0.382358            0.179403
         211             2.30289             0.39146            0.178783
         212             2.30452            0.400484            0.178167
         213             2.30474            0.409424            0.177555
         214             2.30474             0.41828            0.176946
         215             2.30326            0.427048             0.17634
         216             2.30219            0.435729            0.175737
         217             2.29933            0.444317            0.175137
         218              2.2968            0.452815             0.17454
         219             2.29288            0.461217            0.173945
         220             2.28827            0.469521            0.173352
         221             2.28268            0.477726            0.172762
         222             2.27513            0.485822            0.172173
         223             2.26754            0.493812            0.171587
         224             2.25819            0.501689            0.171001
         225             2.24758            0.509448            0.170417
         226             2.23692            0.517092            0.169835
         227             2.22406            0.524612            0.169253
         228             2.21194            0.532012            0.168672
         229             2.19819            0.539288            0.168092
         230             2.18313            0.546435            0.167514
         231             2.16803            0.553455            0.166935
         232             2.15154            0.560343            0.166358
         233             2.13424            0.567098            0.165781
         234             2.11672            0.573721            0.165205
         235             2.09837            0.580208            0.164629
         236             2.08003            0.586564            0.164054
         237             2.06256            0.592791             0.16348
         238             2.04438            0.598891            0.162907
         239             2.02681            0.604865            0.162335
         240             2.00949            0.610718            0.161764
         241             1.99204            0.616449            0.161194
         242             1.97478            0.622062            0.160626
         243             1.95758            0.627558            0.160059
         244             1.94172            0.632944            0.159493
         245             1.92677            0.638225             0.15893
         246             1.91183            0.643402            0.158368
         247             1.89863            0.648484            0.157808
         248             1.88575            0.653473            0.157251
         249             1.87442            0.658377            0.156696
         250             1.86369            0.663198            0.156143
         251             1.85355             0.66794            0.155593
         252             1.84401            0.672607            0.155046
         253             1.83576            0.677205            0.154501
         254             1.82855            0.681738            0.153959
         255             1.82139            0.686207             0.15342
         256             1.81498            0.690616            0.152884
         257             1.80927            0.694969            0.152351
         258             1.80447            0.699269            0.151822
         259             1.79958            0.703518            0.151295
         260             1.79649            0.707721            0.150771
         261             1.79346            0.711881            0.150251
         262             1.79119            0.716001            0.149734
         263             1.78939            0.720082             0.14922
         264             1.78826            0.724128             0.14871
         265             1.78705            0.728139            0.148203
         266             1.78668            0.732119            0.147699
         267             1.78617            0.736066            0.147199
         268             1.78571            0.739983            0.146701
         269             1.78528            0.743869            0.146208
         270             1.78583            0.747728            0.145717
         271             1.78587            0.751559             0.14523
         272             1.78708            0.755366            0.144746
         273               1.788            0.759148            0.144265
         274             1.78886            0.762906            0.143787
         275             1.79036            0.766643            0.143313
         276              1.7925            0.770359            0.142842
         277             1.79454            0.774057            0.142374
         278             1.79746            0.777738            0.141909
         279              1.7986            0.781397            0.141448
         280             1.80013            0.785036             0.14099
         281             1.80181            0.788654            0.140534
         282             1.80367            0.792253            0.140082
         283             1.80618            0.795836            0.139633
         284             1.80961            0.799406            0.139187
         285             1.81323            0.802963            0.138744
         286              1.8161            0.806505            0.138304
         287             1.81993            0.810037            0.137867
         288             1.82353            0.813556            0.137433
         289             1.82765            0.817065            0.137003
         290             1.83181            0.820564            0.136575
         291             1.83652            0.824055             0.13615
         292             1.84083            0.827537            0.135728
         293             1.84597            0.831013             0.13531
         294             1.85098            0.834482            0.134894
         295             1.85757             0.83795            0.134481
         296             1.86406            0.841417            0.134072
         297             1.87094            0.844883            0.133665
         298              1.8775            0.848348            0.133261
         299             1.88519            0.851816            0.132861
         300             1.89351            0.855288            0.132463
         301             1.90246            0.858767            0.132069
         302             1.91132            0.862253            0.131677
         303              1.9203            0.865745            0.131289
         304             1.93012            0.869246            0.130904
         305             1.94026            0.872757            0.130522
         306             1.94951            0.876276            0.130143
         307             1.95929            0.879804            0.129767
         308             1.97004            0.883344            0.129394
         309             1.98077            0.886895            0.129024
         310             1.99267            0.890462            0.128657
         311             2.00401            0.894043            0.128293
         312             2.01501            0.897636            0.127932
         313             2.02661            0.901242            0.127574
         314             2.03806            0.904863            0.127219
         315             2.04983            0.908498            0.126867
         316             2.06118            0.912145            0.126518
         317              2.0733            0.915808            0.126172
         318             2.08475            0.919484            0.125829
         319             2.09671            0.923175            0.125488
         320             2.10822            0.926878            0.125151
         321             2.12001            0.930595            0.124816
         322             2.13185            0.934325            0.124484
         323             2.14397            0.938071            0.124155
         324             2.15688            0.941832            0.123829
         325             2.16815            0.945606            0.123505
         326             2.18094            0.949395            0.123185
         327              2.1921            0.953195            0.122867
         328             2.20477            0.957011            0.122551
         329             2.21653            0.960839            0.122239
         330             2.22906            0.964682            0.121929
         331             2.24018            0.968536            0.121621
         332             2.25275            0.972404            0.121316
         333             2.26505            0.976286            0.121014
         334             2.27754            0.980182            0.120714
         335             2.28993            0.984092            0.120417
         336             2.30216            0.988014            0.120123
         337             2.31443             0.99195            0.119831
         338             2.32643            0.995898            0.119541
         339             2.33834            0.999858            0.119254
         340             2.34985             1.00383             0.11897
         341             2.36065             1.00781            0.118687
         342             2.37067             1.01179            0.118407
         343             2.37937             1.01578            0.118129
         344             2.38715             1.01977            0.117853
         345             2.39467             1.02375            0.117579
         346             2.40188             1.02773            0.117306
         347             2.40846             1.03171            0.117036
         348             2.41342             1.03568            0.116767
         349             2.41838             1.03965            0.116499
         350             2.42187              1.0436            0.116233
         351              2.4241             1.04753            0.115969
         352             2.42529             1.05144            0.115705
         353             2.42567             1.05534            0.115443
         354             2.42474              1.0592            0.115182
         355             2.42227             1.06304            0.114921
         356             2.41924             1.06685            0.114661
         357             2.41492             1.07063            0.114402
         358             2.41007             1.07437            0.114144
         359             2.40377             1.07807            0.113886
         360             2.39677             1.08174            0.113629
         361             2.38887             1.08536            0.113372
         362             2.38108             1.08894            0.113115
         363             2.37082             1.09247            0.112858
         364             2.36102             1.09595            0.112602
         365              2.3508             1.09939            0.112346
         366             2.33924             1.10278             0.11209
         367             2.32689             1.10611            0.111834
         368             2.31432              1.1094            0.111579
         369             2.30087             1.11263            0.111323
         370             2.28853              1.1158            0.111068
         371              2.2752             1.11893            0.110812
         372             2.26168               1.122            0.110557
         373             2.24803             1.12502            0.110302
         374             2.23383             1.12799            0.110047
         375             2.22059              1.1309            0.109792
         376             2.20643             1.13376            0.109537
         377             2.19311             1.13657            0.109282
         378             2.17994             1.13933            0.109028
         379             2.16722             1.14204            0.108774
         380             2.15353              1.1447            0.108521
         381             2.14037             1.14732            0.108267
         382             2.12705             1.14988            0.108014
         383             2.11553              1.1524            0.107761
         384             2.10367             1.15488            0.107509
         385             2.09247             1.15732            0.107258
         386             2.08123             1.15971            0.107006
         387             2.07141             1.16206            0.106756
         388             2.06089             1.16438            0.106506
         389             2.05208             1.16666            0.106257
         390             2.04335             1.16891            0.106008
         391             2.03518             1.17113             0.10576
         392             2.02689             1.17331            0.105513
         393             2.01947             1.17546            0.105266
         394             2.01295             1.17759             0.10502
         395              2.0064             1.17969            0.104776
         396             2.00106             1.18176            0.104531
         397             1.99622             1.18381            0.104288
         398             1.99314             1.18585            0.104046
         399             1.99014             1.18786            0.103805
         400             1.98942             1.18987            0.103565
         401             1.98835             1.19186            0.103326
         402             1.98767             1.19384            0.103087
         403             1.98836             1.19581            0.102851
         404             1.99064             1.19778            0.102615
         405             1.99284             1.19974             0.10238
         406             1.99564              1.2017            0.102147
         407             1.99926             1.20366            0.101915
         408             2.00414             1.20562            0.101684
         409             2.00973             1.20759            0.101454
         410             2.01597             1.20956            0.101226
         411             2.02252             1.21154            0.100999
         412             2.02979             1.21352            0.100773
         413             2.03765             1.21552            0.100549
         414             2.04528             1.21752            0.100326
         415             2.05375             1.21954            0.100105
         416             2.06197             1.22156           0.0998844
         417             2.06886             1.22359           0.0996655
         418             2.07672             1.22563            0.099448
         419             2.08301             1.22768           0.0992317
         420             2.08884             1.22973           0.0990166
         421              2.0951             1.23179           0.0988027
         422             2.10074             1.23385             0.09859
         423             2.10501             1.23591           0.0983785
         424             2.10956             1.23797            0.098168
         425              2.1132             1.24003           0.0979586
         426             2.11617             1.24208           0.0977503
         427             2.11854             1.24413           0.0975429
         428             2.12035             1.24618           0.0973365
         429             2.12168             1.24822            0.097131
         430             2.12263             1.25026           0.0969264
         431             2.12305             1.25228           0.0967226
         432             2.12306              1.2543           0.0965197
         433             2.12346              1.2563           0.0963177
         434             2.12366              1.2583           0.0961165
         435              2.1247             1.26029           0.0959162
         436             2.12498             1.26228           0.0957167
         437              2.1258             1.26425           0.0955181
         438             2.12769             1.26623           0.0953203
         439              2.1295             1.26819           0.0951235
         440             2.13127             1.27015           0.0949275
         441             2.13399             1.27211           0.0947325
         442             2.13789             1.27407           0.0945384
         443             2.14106             1.27603           0.0943452
         444             2.14517             1.27799            0.094153
         445             2.14947             1.27994           0.0939618
         446             2.15465              1.2819           0.0937716
         447             2.16018             1.28387           0.0935824
         448             2.16675             1.28584           0.0933943
         449             2.17285             1.28782           0.0932072
         450             2.17916              1.2898           0.0930211
         451             2.18562             1.29178            0.092836
         452             2.19291             1.29378            0.092652
         453             2.19952             1.29578           0.0924691
