#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1               1.972               1.972                   0
           2             1.97193             1.97196          2.5093e-05
           3             1.97172             1.97188         6.95824e-05
           4             1.97136             1.97175         0.000124019
           5             1.97087             1.97157         0.000186951
           6             1.97023             1.97135         0.000257479
           7             1.96944             1.97108         0.000335013
           8             1.96852             1.97076         0.000419152
           9             1.96744             1.97039         0.000509626
          10             1.96621             1.96997         0.000606257
          11             1.96483              1.9695         0.000708938
          12             1.96328             1.96899         0.000817619
          13             1.96158             1.96842         0.000932296
          14             1.95971             1.96779          0.00105294
          15             1.95766             1.96712           0.0011796
          16             1.95544             1.96639          0.00131239
          17             1.95303              1.9656          0.00145138
          18             1.95044             1.96476          0.00159669
          19             1.94764             1.96386          0.00174848
          20             1.94464              1.9629          0.00190696
          21             1.94142             1.96188          0.00207235
          22             1.93798             1.96079          0.00224488
          23              1.9343             1.95964          0.00242481
          24             1.93038             1.95842          0.00261237
          25              1.9262             1.95713          0.00280784
          26             1.92175             1.95577          0.00301149
          27             1.91703             1.95433          0.00322362
          28             1.91202             1.95282          0.00344453
          29             1.90671             1.95123          0.00367454
          30             1.90108             1.94956          0.00391394
          31             1.89512              1.9478          0.00416305
          32             1.88882             1.94596          0.00442219
          33             1.88217             1.94403           0.0046917
          34             1.87514               1.942          0.00497194
          35             1.86773             1.93988          0.00526326
          36             1.85992             1.93766          0.00556602
          37             1.85169             1.93534          0.00588056
          38             1.84304             1.93291          0.00620717
          39             1.83395             1.93037          0.00654615
          40              1.8244             1.92772          0.00689779
          41             1.81439             1.92496          0.00726232
          42              1.8039             1.92207             0.00764
          43             1.79292             1.91907          0.00803104
          44             1.78145             1.91594          0.00843559
          45             1.76948             1.91269          0.00885379
          46               1.757              1.9093          0.00928572
          47             1.74401             1.90579           0.0097314
          48              1.7305             1.90213           0.0101908
          49             1.71649             1.89835           0.0106639
          50             1.70198             1.89442           0.0111503
          51             1.68697             1.89035             0.01165
          52             1.67149             1.88614           0.0121626
          53             1.65553             1.88179           0.0126875
          54             1.63913              1.8773           0.0132245
          55              1.6223             1.87266           0.0137728
          56             1.60507             1.86788           0.0143318
          57             1.58748             1.86296           0.0149007
          58             1.56955              1.8579           0.0154788
          59             1.55132             1.85271            0.016065
          60             1.53282             1.84738           0.0166585
          61              1.5141             1.84191           0.0172581
          62              1.4952             1.83632           0.0178628
          63             1.47616              1.8306           0.0184715
          64             1.45702             1.82477           0.0190829
          65             1.43783             1.81881           0.0196959
          66             1.41863             1.81275           0.0203094
          67             1.39948             1.80658            0.020922
          68              1.3804             1.80031           0.0215326
          69             1.36144             1.79395             0.02214
          70             1.34264             1.78751           0.0227432
          71             1.32404             1.78098           0.0233408
          72             1.30568             1.77438            0.023932
          73             1.28759             1.76771           0.0245156
          74             1.26982             1.76098           0.0250906
          75             1.25239              1.7542           0.0256561
          76             1.23534             1.74737           0.0262111
          77             1.21871             1.74051           0.0267548
          78             1.20252             1.73361           0.0272863
          79             1.18682             1.72669           0.0278049
          80             1.17162             1.71975           0.0283098
          81             1.15696              1.7128           0.0288003
          82             1.14288             1.70585           0.0292757
          83              1.1294             1.69891           0.0297354
          84             1.11655             1.69197           0.0301788
          85             1.10435             1.68506           0.0306053
          86             1.09284             1.67817           0.0310145
          87             1.08204             1.67132           0.0314058
          88             1.07196             1.66451           0.0317789
          89             1.06264             1.65775           0.0321333
          90             1.05408             1.65104           0.0324688
          91              1.0463              1.6444            0.032785
          92             1.03931             1.63782           0.0330818
          93             1.03311             1.63132           0.0333589
          94              1.0277             1.62489           0.0336164
          95             1.02308             1.61856           0.0338542
          96             1.01923             1.61232           0.0340723
          97             1.01612             1.60617           0.0342709
          98             1.01375             1.60013           0.0344503
          99             1.01207             1.59419           0.0346106
         100             1.01106             1.58835           0.0347522
         101             1.01066             1.58263           0.0348757
         102             1.01084             1.57703           0.0349814
         103             1.01154             1.57154           0.0350699
         104             1.01271             1.56617            0.035142
         105              1.0143             1.56091           0.0351981
         106             1.01626             1.55577           0.0352391
         107             1.01852             1.55075           0.0352657
         108             1.02104             1.54585           0.0352785
         109             1.02376             1.54106           0.0352785
         110             1.02663             1.53638           0.0352664
         111             1.02961             1.53181            0.035243
         112             1.03264             1.52736            0.035209
         113              1.0357             1.52301           0.0351652
         114             1.03874             1.51876           0.0351124
         115             1.04174             1.51461           0.0350512
         116             1.04467             1.51056           0.0349824
         117              1.0475              1.5066           0.0349066
         118             1.05023             1.50273           0.0348244
         119             1.05283             1.49895           0.0347364
         120              1.0553             1.49526           0.0346431
         121             1.05763             1.49164            0.034545
         122             1.05983              1.4881           0.0344427
         123             1.06188             1.48463           0.0343366
         124             1.06379             1.48124            0.034227
         125             1.06557             1.47791           0.0341143
         126             1.06723             1.47466           0.0339989
         127             1.06876             1.47146           0.0338811
         128             1.07019             1.46832           0.0337611
         129             1.07152             1.46525           0.0336393
         130             1.07276             1.46223           0.0335157
         131             1.07392             1.45927           0.0333907
         132             1.07501             1.45635           0.0332644
         133             1.07604             1.45349           0.0331369
         134             1.07703             1.45069           0.0330085
         135             1.07797             1.44792           0.0328793
         136             1.07889             1.44521           0.0327493
         137             1.07977             1.44254           0.0326187
         138             1.08063             1.43992           0.0324876
         139             1.08148             1.43734            0.032356
         140             1.08231             1.43481           0.0322242
         141             1.08312             1.43231            0.032092
         142             1.08392             1.42986           0.0319596
         143              1.0847             1.42744           0.0318272
         144             1.08547             1.42507           0.0316946
         145             1.08621             1.42273           0.0315621
         146             1.08694             1.42043           0.0314296
         147             1.08764             1.41817           0.0312972
         148             1.08831             1.41594            0.031165
         149             1.08896             1.41375            0.031033
         150             1.08957             1.41158           0.0309013
         151             1.09016             1.40946           0.0307699
         152             1.09071             1.40736           0.0306388
         153             1.09123             1.40529           0.0305081
         154             1.09172             1.40326           0.0303779
         155             1.09218             1.40125           0.0302482
         156             1.09262             1.39927           0.0301189
         157             1.09305             1.39732           0.0299901
         158             1.09346              1.3954           0.0298619
         159             1.09388              1.3935           0.0297343
         160              1.0943             1.39163           0.0296072
         161             1.09473             1.38979           0.0294806
         162             1.09519             1.38797           0.0293547
         163             1.09568             1.38618           0.0292293
         164             1.09621             1.38441           0.0291045
         165             1.09679             1.38266           0.0289803
         166             1.09741             1.38095           0.0288566
         167             1.09808             1.37925           0.0287335
         168             1.09881             1.37758           0.0286109
         169             1.09957             1.37594           0.0284889
         170             1.10038             1.37432           0.0283673
         171             1.10123             1.37272           0.0282464
         172             1.10209             1.37115           0.0281259
         173             1.10297              1.3696            0.028006
         174             1.10384             1.36807           0.0278867
         175              1.1047             1.36656           0.0277679
         176             1.10551             1.36508           0.0276498
         177             1.10628             1.36362           0.0275322
         178             1.10697             1.36218           0.0274152
         179             1.10758             1.36075           0.0272989
         180             1.10809             1.35935           0.0271833
         181             1.10848             1.35796           0.0270685
         182             1.10874              1.3566           0.0269544
         183             1.10887             1.35524            0.026841
         184             1.10886              1.3539           0.0267285
         185              1.1087             1.35258           0.0266169
         186              1.1084             1.35126           0.0265062
         187             1.10795             1.34996           0.0263963
         188             1.10735             1.34867           0.0262874
         189             1.10662             1.34739           0.0261795
         190             1.10576             1.34612           0.0260726
         191             1.10478             1.34486           0.0259667
         192              1.1037              1.3436           0.0258618
         193             1.10252             1.34235            0.025758
         194             1.10125             1.34111           0.0256552
         195             1.09993             1.33987           0.0255534
         196             1.09856             1.33864           0.0254527
         197             1.09715             1.33742            0.025353
         198             1.09573             1.33619           0.0252543
         199              1.0943             1.33498           0.0251566
         200             1.09288             1.33377             0.02506
         201             1.09148             1.33256           0.0249643
         202             1.09012             1.33136           0.0248695
         203             1.08882             1.33017           0.0247757
         204             1.08756             1.32898           0.0246827
         205             1.08639              1.3278           0.0245907
         206             1.08529             1.32662           0.0244995
         207             1.08428             1.32545           0.0244091
         208             1.08337             1.32428           0.0243195
         209             1.08256             1.32313           0.0242306
         210             1.08186             1.32198           0.0241424
         211             1.08128             1.32084           0.0240549
         212             1.08083             1.31971           0.0239681
         213              1.0805             1.31858           0.0238819
         214             1.08031             1.31747           0.0237962
         215             1.08027             1.31637           0.0237111
         216             1.08038             1.31527           0.0236265
         217             1.08065             1.31419           0.0235423
         218             1.08108             1.31312           0.0234586
         219              1.0817             1.31207           0.0233753
         220             1.08249             1.31102           0.0232923
         221             1.08348             1.30999           0.0232097
         222             1.08467             1.30898           0.0231273
         223             1.08605             1.30798           0.0230452
         224             1.08765             1.30699           0.0229633
         225             1.08945             1.30603           0.0228816
         226             1.09146             1.30508              0.0228
         227             1.09368             1.30415           0.0227186
         228             1.09611             1.30323           0.0226373
         229             1.09873             1.30234            0.022556
         230             1.10154             1.30147           0.0224748
         231             1.10452             1.30062           0.0223937
         232             1.10765             1.29978           0.0223126
         233             1.11093             1.29897           0.0222316
         234             1.11432             1.29818           0.0221506
         235              1.1178             1.29742           0.0220696
         236             1.12136             1.29667           0.0219887
         237             1.12495             1.29595           0.0219079
         238             1.12857             1.29524           0.0218271
         239             1.13217             1.29456           0.0217464
         240             1.13574              1.2939           0.0216659
         241             1.13925             1.29326           0.0215855
         242             1.14269             1.29263           0.0215052
         243             1.14603             1.29203           0.0214252
