#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1            -6.79299            -6.79299                   0
           2            -6.79267            -6.79283         0.000112797
           3            -6.79214             -6.7926         0.000202484
           4            -6.79139             -6.7923         0.000301772
           5            -6.79043            -6.79192         0.000411275
           6            -6.78926            -6.79148         0.000530691
           7            -6.78787            -6.79096         0.000659666
           8            -6.78625            -6.79037         0.000797924
           9            -6.78441            -6.78971         0.000945271
          10            -6.78233            -6.78897           0.0011016
          11            -6.78002            -6.78816          0.00126686
          12            -6.77747            -6.78727          0.00144109
          13            -6.77436            -6.78628          0.00163716
          14            -6.77129            -6.78521          0.00183709
          15             -6.7678            -6.78405          0.00204839
          16            -6.76374            -6.78278          0.00227975
          17            -6.75939             -6.7814          0.00252673
          18             -6.7549            -6.77993          0.00278241
          19            -6.75025            -6.77837          0.00304311
          20            -6.74481            -6.77669          0.00332133
          21             -6.7395            -6.77492          0.00360451
          22            -6.73338            -6.77303          0.00390399
          23            -6.72704            -6.77103          0.00421527
          24            -6.72002            -6.76891          0.00454392
          25            -6.71276            -6.76666           0.0048858
          26            -6.70507            -6.76429          0.00524075
          27             -6.6968            -6.76179          0.00561119
          28            -6.68807            -6.75916          0.00599671
          29            -6.67903            -6.75639           0.0063949
          30            -6.66919            -6.75349          0.00681042
          31            -6.65899            -6.75044          0.00724088
          32             -6.6481            -6.74724          0.00768844
          33            -6.63666            -6.74389          0.00815303
          34            -6.62509             -6.7404           0.0086295
          35            -6.61292            -6.73675          0.00911918
          36            -6.60043            -6.73297          0.00961999
          37             -6.5867            -6.72901           0.0101397
          38            -6.57246             -6.7249           0.0106771
          39            -6.55754             -6.7206           0.0112327
          40            -6.54131            -6.71612           0.0118123
          41            -6.52498            -6.71146           0.0124102
          42            -6.50776            -6.70661            0.013028
          43             -6.4901            -6.70157           0.0136634
          44            -6.47169            -6.69635           0.0143169
          45            -6.45267            -6.69093           0.0149879
          46            -6.43303            -6.68533           0.0156757
          47            -6.41308            -6.67954           0.0163775
          48            -6.39221            -6.67355           0.0170952
          49            -6.37044            -6.66736           0.0178304
          50            -6.34778            -6.66097           0.0185841
          51             -6.3244            -6.65437           0.0193561
          52            -6.30032            -6.64756           0.0201458
          53            -6.27541            -6.64054           0.0209537
          54            -6.25032            -6.63332           0.0217761
          55            -6.22402            -6.62587            0.022616
          56            -6.19823            -6.61824            0.023466
          57            -6.17179            -6.61041           0.0243264
          58            -6.14413            -6.60237           0.0252004
          59            -6.11623            -6.59413           0.0260855
          60            -6.08861             -6.5857           0.0269771
          61            -6.06025            -6.57709           0.0278762
          62            -6.03153            -6.56829           0.0287818
          63            -6.00282            -6.55931           0.0296915
          64            -5.97464            -6.55018           0.0306007
          65            -5.94585            -6.54088           0.0315107
          66            -5.91756            -6.53144           0.0324177
          67            -5.88863            -6.52184           0.0333233
          68            -5.86019            -6.51211           0.0342244
          69            -5.83229            -6.50226           0.0351179
          70            -5.80454            -6.49229            0.036003
          71            -5.77684            -6.48221           0.0368791
          72            -5.75017            -6.47205           0.0377424
