#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             2.31855             2.31855                   0
           2             2.31769             2.31812         0.000305477
           3              2.3151             2.31711         0.000846784
           4             2.31079             2.31553          0.00150804
           5             2.30478             2.31338          0.00227023
           6             2.29707             2.31066          0.00312019
           7             2.28769             2.30738          0.00404756
           8             2.27665             2.30354          0.00504508
           9             2.26396             2.29914          0.00610759
          10             2.24963             2.29419          0.00723033
          11             2.23368             2.28869          0.00840908
          12             2.21613             2.28264          0.00964033
          13             2.19698             2.27605           0.0109212
          14             2.17623             2.26892           0.0122494
          15             2.15392             2.26126           0.0136225
          16             2.13005             2.25306           0.0150381
          17             2.10465             2.24433           0.0164937
          18             2.07774             2.23507           0.0179875
          19             2.04934              2.2253           0.0195172
          20             2.01948             2.21501           0.0210805
          21              1.9882             2.20421           0.0226752
          22             1.95555              2.1929           0.0242987
          23             1.92156             2.18111           0.0259487
          24             1.88629             2.16882           0.0276224
          25             1.84981             2.15606           0.0293171
          26             1.81217             2.14284             0.03103
          27             1.77345             2.12915           0.0327581
          28             1.73373             2.11503           0.0344982
          29              1.6931             2.10048            0.036247
          30             1.65165             2.08552           0.0380012
          31             1.60949             2.07017           0.0397571
          32             1.56671             2.05443           0.0415111
          33             1.52345             2.03834           0.0432593
          34             1.47983             2.02192           0.0449979
          35             1.43598             2.00517           0.0467228
          36             1.39204             1.98814           0.0484297
          37             1.34816             1.97085           0.0501145
          38             1.30448             1.95331           0.0517729
          39             1.26117             1.93556           0.0534006
          40             1.21836             1.91763           0.0549934
          41             1.17622             1.89955           0.0565472
          42              1.1349             1.88134           0.0580577
          43             1.09456             1.86305            0.059521
          44             1.05533             1.84469           0.0609333
          45             1.01737              1.8263           0.0622911
          46            0.980816             1.80792           0.0635908
          47            0.945778             1.78958           0.0648296
          48            0.912376             1.77131           0.0660045
          49             0.88071             1.75313           0.0671133
          50            0.850873             1.73509           0.0681538
          51            0.822941              1.7172           0.0691244
          52            0.796979              1.6995           0.0700237
          53            0.773035             1.68202           0.0708508
          54            0.751144             1.66478           0.0716052
          55            0.731323             1.64781           0.0722867
          56            0.713578             1.63113           0.0728955
          57            0.697901             1.61476           0.0734323
          58            0.684273             1.59871           0.0738979
          59            0.672661             1.58302           0.0742935
          60             0.66302             1.56769           0.0746208
          61            0.655293             1.55273           0.0748816
          62            0.649418             1.53816           0.0750778
          63            0.645321             1.52399           0.0752118
          64            0.642922             1.51022            0.075286
          65            0.642134             1.49686            0.075303
          66            0.642861             1.48393           0.0752655
          67            0.645008              1.4714           0.0751764
          68            0.648477              1.4593           0.0750387
          69            0.653163             1.44762           0.0748551
          70            0.658962             1.43635           0.0746288
          71            0.665771              1.4255           0.0743627
          72            0.673487             1.41505           0.0740598
          73            0.682004             1.40501           0.0737229
          74            0.691219             1.39537            0.073355
          75            0.701034             1.38611           0.0729587
          76            0.711352             1.37723           0.0725369
          77             0.72208             1.36872           0.0720922
          78            0.733128             1.36057            0.071627
          79             0.74441             1.35277           0.0711437
          80            0.755848             1.34531           0.0706446
          81            0.767362             1.33818           0.0701319
          82            0.778885             1.33136           0.0696075
          83            0.790352             1.32484           0.0690733
          84            0.801703             1.31861           0.0685312
          85            0.812881             1.31266           0.0679827
          86            0.823838             1.30698           0.0674294
          87            0.834531             1.30155           0.0668727
          88            0.844919             1.29636           0.0663138
          89            0.854971              1.2914           0.0657539
          90            0.864658             1.28666            0.065194
          91            0.873958             1.28212           0.0646352
          92            0.882851             1.27778           0.0640781
          93            0.891326             1.27363           0.0635237
          94            0.899374             1.26964           0.0629726
          95            0.906992             1.26583           0.0624253
          96            0.914177             1.26216           0.0618824
          97             0.92093             1.25865           0.0613444
          98             0.92726             1.25527           0.0608115
          99            0.933174             1.25201           0.0602842
         100            0.938686             1.24888           0.0597628
         101            0.943811             1.24586           0.0592473
         102            0.948565             1.24294           0.0587381
         103            0.952965             1.24013           0.0582353
         104            0.957031             1.23741           0.0577389
         105            0.960785             1.23477           0.0572491
         106            0.964251             1.23222           0.0567659
         107            0.967453             1.22974           0.0562892
         108            0.970415             1.22734           0.0558192
         109            0.973161             1.22501           0.0553558
         110            0.975714             1.22275            0.054899
         111            0.978102             1.22054           0.0544486
         112            0.980347              1.2184           0.0540047
         113            0.982471             1.21631           0.0535671
         114            0.984495             1.21428           0.0531358
         115            0.986443             1.21229           0.0527107
         116            0.988333             1.21036           0.0522916
         117            0.990184             1.20848           0.0518785
         118            0.992016             1.20665           0.0514713
         119            0.993846             1.20486           0.0510698
         120            0.995687             1.20312            0.050674
         121            0.997557             1.20142           0.0502837
         122            0.999471             1.19976           0.0498987
         123             1.00144             1.19815           0.0495191
