#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1             -8.7125             -8.7125                   0
           2            -8.70991            -8.71121         0.000915169
           3            -8.70561            -8.70934          0.00164144
           4            -8.69959             -8.7069          0.00244287
           5            -8.69124            -8.70377          0.00341624
           6            -8.67959            -8.69974          0.00465178
           7            -8.66661            -8.69501          0.00592468
           8            -8.65165            -8.68959          0.00725101
           9            -8.63311            -8.68331          0.00874884
          10            -8.61263            -8.67624           0.0103422
          11            -8.58957            -8.66836           0.0120348
          12            -8.56621            -8.65985           0.0137159
          13            -8.54256            -8.65083           0.0153442
          14            -8.51506            -8.64113           0.0170393
          15            -8.48634            -8.63081           0.0187699
          16            -8.45706            -8.61995            0.020499
          17            -8.42917            -8.60873           0.0221531
          18            -8.39818            -8.59703           0.0238112
          19            -8.36605            -8.58488            0.025473
          20            -8.33251            -8.57226           0.0271454
          21            -8.29888            -8.55924           0.0288056
          22             -8.2623            -8.54574           0.0304949
          23            -8.22574            -8.53183           0.0321869
          24            -8.18731            -8.51747           0.0338961
          25            -8.14837            -8.50271           0.0356108
          26            -8.10867            -8.48755            0.037327
          27            -8.06636            -8.47195           0.0390685
          28             -8.0241            -8.45596           0.0408162
          29            -7.98071            -8.43957           0.0425718
          30            -7.93789            -8.42285           0.0443156
          31            -7.89511            -8.40582             0.04604
          32            -7.85119            -8.38849           0.0477524
          33            -7.80691            -8.37087           0.0494506
          34            -7.76241            -8.35297            0.051132
          35            -7.71684             -8.3348           0.0528026
          36            -7.67166            -8.31638           0.0544542
          37            -7.62733            -8.29775           0.0560766
          38              -7.584            -8.27897           0.0576609
          39            -7.54053            -8.26004           0.0592096
          40            -7.49806            -8.24099           0.0607164
          41            -7.45641            -8.22185            0.062178
          42            -7.41573            -8.20266            0.063591
          43             -7.3765            -8.18345           0.0649497
          44            -7.33886            -8.16425           0.0662494
          45            -7.30164            -8.14508           0.0674934
          46            -7.26563            -8.12596           0.0686806
          47            -7.23222            -8.10695           0.0698022
          48            -7.20022            -8.08806           0.0708579
          49            -7.17006            -8.06932           0.0718459
          50            -7.14115            -8.05076           0.0727676
          51            -7.11486            -8.03241           0.0736184
          52            -7.09092             -8.0143           0.0743958
          53             -7.0687            -7.99646            0.075101
          54            -7.04823             -7.9789           0.0757353
          55            -7.03081            -7.96166           0.0762948
          56            -7.01513            -7.94476           0.0767819
          57            -7.00183            -7.92822           0.0771963
          58            -6.99022            -7.91205           0.0775408
          59            -6.98026            -7.89625           0.0778183
          60            -6.97189            -7.88085           0.0780314
          61            -6.96635            -7.86585           0.0781791
          62            -6.96193            -7.85128           0.0782658
          63            -6.95954            -7.83712           0.0782929
          64            -6.95875             -7.8234           0.0782633
          65            -6.95981            -7.81011           0.0781788
          66            -6.96132            -7.79725           0.0780449
          67            -6.96544            -7.78483           0.0778613
          68            -6.97013            -7.77285           0.0776326
          69            -6.97561             -7.7613           0.0773625
          70            -6.98243            -7.75017           0.0770533
          71             -6.9895            -7.73946           0.0767093
          72            -6.99803            -7.72916           0.0763319
          73            -7.00757            -7.71928           0.0759236
          74            -7.01674            -7.70978           0.0754888
          75            -7.02642            -7.70067           0.0750302
          76            -7.03748            -7.69195           0.0745487
          77            -7.04853            -7.68359           0.0740473
          78            -7.06111            -7.67561           0.0735268
          79            -7.07256            -7.66798           0.0729913
          80            -7.08407            -7.66068           0.0724429
          81             -7.0943            -7.65368           0.0718852
          82            -7.10545              -7.647           0.0713188
          83            -7.11616             -7.6406           0.0707457
          84            -7.12701            -7.63449           0.0701672
          85             -7.1383            -7.62865           0.0695841
          86            -7.14931            -7.62308           0.0689978
          87            -7.15938            -7.61775           0.0684103
          88            -7.16943            -7.61265           0.0678223
          89             -7.1788            -7.60778           0.0672353
          90             -7.1881            -7.60312           0.0666497
          91            -7.19699            -7.59865           0.0660665
          92            -7.20547            -7.59438           0.0654865
          93            -7.21417            -7.59029           0.0649098
          94            -7.22211            -7.58637           0.0643374
          95            -7.22929            -7.58261           0.0637698
          96            -7.23572              -7.579           0.0632079
          97            -7.24173            -7.57552           0.0626518
          98            -7.24764            -7.57218           0.0621018
          99            -7.25315            -7.56896            0.061558
         100            -7.25795            -7.56585            0.061021
         101            -7.26238            -7.56284           0.0604907
         102            -7.26613            -7.55993           0.0599676
         103            -7.27052            -7.55712           0.0594512
         104             -7.2746            -7.55441           0.0589416
         105            -7.27838            -7.55178           0.0584388
         106            -7.28191            -7.54923           0.0579429
         107            -7.28552            -7.54677           0.0574538
         108            -7.28858            -7.54438           0.0569715
         109            -7.29114            -7.54205           0.0564962
         110            -7.29352            -7.53979           0.0560278
         111            -7.29576            -7.53759           0.0555661
         112            -7.29756            -7.53545           0.0551113
         113            -7.29991            -7.53337            0.054663
         114            -7.30218            -7.53134           0.0542211
         115            -7.30375            -7.52936           0.0537857
         116            -7.30624            -7.52744           0.0533564
         117            -7.30775            -7.52556           0.0529334
         118             -7.3099            -7.52373           0.0525164
         119            -7.31174            -7.52195           0.0521053
         120            -7.31491            -7.52022           0.0516996
         121            -7.31682            -7.51854           0.0512997
         122            -7.31944            -7.51691           0.0509051
         123            -7.32148            -7.51532           0.0505161
         124            -7.32392            -7.51378           0.0501323
         125            -7.32646            -7.51228           0.0497536
         126            -7.32812            -7.51082           0.0493802
         127            -7.33118             -7.5094           0.0490116
