#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1             2.07634             2.07634                   0
           2             2.09076             2.08355          0.00509857
           3              2.1139             2.09367           0.0089317
           4             2.14571             2.10668            0.013108
           5             2.18753             2.12285           0.0178657
           6             2.24143             2.14261           0.0233911
           7             2.30308             2.16553           0.0291959
           8             2.37384             2.19157           0.0352964
           9             2.45715             2.22108           0.0419327
          10              2.5494             2.25391           0.0489324
          11              2.6519             2.29009           0.0562927
          12             2.75962             2.32922            0.063766
          13             2.87248             2.37101           0.0712504
          14              2.9981              2.4158           0.0789957
          15             3.13069             2.46346           0.0869251
          16             3.26869             2.51379             0.09495
          17             3.40774             2.56637            0.102901
          18              3.5575             2.62144            0.110943
          19             3.71356             2.67892            0.119066
          20             3.87637             2.73879             0.12728
          21             4.04288             2.80089            0.135524
          22             4.21916             2.86536            0.143882
          23             4.39855             2.93202            0.152287
          24             4.58497             3.00089            0.160764
          25             4.77523             3.07186            0.169276
          26             4.96966             3.14486            0.177808
          27             5.17205             3.21994            0.186401
          28             5.37632             3.29695            0.195006
          29             5.58481             3.37584            0.203615
          30             5.79346             3.45643            0.212177
          31             6.00315             3.53858            0.220665
          32             6.21612             3.62225            0.229084
          33             6.43034             3.70735            0.237421
          34             6.64518             3.79376            0.245659
          35             6.86208             3.88142            0.253801
          36             7.07756              3.9702            0.261819
          37              7.2902             4.05993            0.269681
          38              7.4993             4.15044            0.277356
          39             7.70697             4.24164            0.284842
          40             7.91039             4.33335            0.292115
          41             8.10957             4.42546            0.299158
          42             8.30381              4.5178            0.305955
          43             8.49174             4.61022            0.312486
          44             8.67273             4.70255            0.318733
          45             8.84901             4.79469            0.324696
          46             9.01863             4.88651            0.330366
          47             9.17825             4.97783             0.33572
          48             9.33024              5.0685            0.340751
          49             9.47351              5.1584            0.345452
          50             9.60913             5.24742            0.349823
          51               9.734             5.33539            0.353853
          52             9.84863             5.42218            0.357534
          53             9.95428             5.50769            0.360869
          54             10.0509             5.59183            0.363861
          55             10.1356             5.67444            0.366504
          56             10.2113             5.75545            0.368805
          57             10.2766             5.83477            0.370766
          58             10.3332             5.91233            0.372398
          59             10.3813             5.98808             0.37371
          60              10.421             6.06196            0.374713
          61             10.4499             6.13389            0.375411
          62             10.4718             6.20386             0.37582
          63              10.485             6.27181            0.375948
          64             10.4907             6.33773            0.375808
          65             10.4884             6.40159            0.375413
          66             10.4815             6.46341            0.374779
          67             10.4654             6.52314            0.373915
          68              10.445             6.58081            0.372838
          69               10.42             6.63645            0.371563
          70             10.3893             6.69007            0.370103
          71             10.3557             6.74169            0.368474
          72             10.3168             6.79135            0.366686
          73             10.2737             6.83905            0.364753
          74             10.2298             6.88487             0.36269
          75             10.1833             6.92885            0.360511
          76             10.1326             6.97101            0.358224
          77              10.081              7.0114            0.355841
          78             10.0252             7.05003             0.35337
          79             9.97135             7.08701            0.350827
          80             9.91695             7.12239             0.34822
          81             9.86515             7.15625            0.345564
          82             9.81132             7.18863            0.342863
          83             9.75857             7.21959            0.340128
          84             9.70574             7.24919            0.337364
          85             9.65238             7.27746            0.334577
          86              9.6001             7.30447            0.331775
          87              9.5505             7.33028            0.328965
          88             9.50163             7.35496             0.32615
          89             9.45505             7.37856            0.323338
          90             9.40946             7.40112            0.320532
          91             9.36566             7.42271            0.317736
          92             9.32372             7.44337            0.314953
          93             9.28229             7.46315            0.312187
          94             9.24351             7.48209             0.30944
          95             9.20742             7.50025            0.306715
          96             9.17401             7.51768            0.304015
          97             9.14255             7.53443            0.301342
          98             9.11231             7.55053            0.298697
          99             9.08395             7.56602            0.296081
         100             9.05812             7.58094            0.293496
         101             9.03404             7.59533            0.290943
         102             9.01236             7.60922            0.288422
         103             8.99015             7.62263            0.285933
         104             8.96944             7.63558            0.283477
         105             8.95014              7.6481            0.281053
         106             8.93213             7.66021            0.278663
         107             8.91461             7.67194            0.276305
         108             8.89888              7.6833             0.27398
         109             8.88483             7.69432            0.271688
         110             8.87165             7.70502            0.269429
         111             8.85922             7.71542            0.267202
         112             8.84815             7.72554            0.265008
         113             8.83622             7.73537            0.262845
         114             8.82473             7.74492            0.260713
         115             8.81501             7.75423            0.258612
         116             8.80344             7.76327             0.25654
         117             8.79415             7.77208            0.254499
         118             8.78354             7.78065            0.252487
         119             8.77365               7.789            0.250503
         120             8.76087              7.7971            0.248546
         121             8.75078             7.80498            0.246617
         122             8.73906             7.81264            0.244714
         123             8.72849             7.82008            0.242838
         124             8.71689             7.82731            0.240987
         125              8.7049             7.83433            0.239162
         126             8.69459             7.84116            0.237361
         127             8.68098             7.84777            0.235584
         128             8.66684             7.85417             0.23383
         129             8.65213             7.86036              0.2321
         130             8.63964             7.86635            0.230392
         131             8.62509             7.87215            0.228706
         132             8.60845             7.87772            0.227041
         133             8.59182             7.88309            0.225398
         134             8.57518             7.88826            0.223775
         135             8.55922             7.89323            0.222172
         136              8.5397             7.89798            0.220589
         137             8.52227             7.90254            0.219026
         138             8.50197             7.90688            0.217482
         139             8.47953               7.911            0.215957
         140             8.45778             7.91491            0.214449
         141             8.43744             7.91861            0.212961
         142             8.41574             7.92211             0.21149
         143             8.39268              7.9254            0.210036
         144             8.36761             7.92848              0.2086
         145             8.34055             7.93132            0.207181
         146             8.31438             7.93394            0.205778
         147             8.29126             7.93637            0.204393
         148             8.26631              7.9386            0.203024
         149              8.2417             7.94064            0.201672
         150             8.21607             7.94247            0.200336
         151             8.19019             7.94411            0.199016
