#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1              1.5457              1.5457                   0
           2             1.54512             1.54541         0.000203651
           3              1.5434             1.54474         0.000564523
           4             1.54053             1.54369          0.00100536
           5             1.53652             1.54225          0.00151349
           6             1.53138             1.54044          0.00208013
           7             1.52513             1.53825          0.00269838
           8             1.51777             1.53569          0.00336338
           9             1.50931             1.53276          0.00407173
          10             1.49975             1.52946          0.00482022
          11             1.48912             1.52579          0.00560605
          12             1.47742             1.52176          0.00642689
          13             1.46465             1.51737          0.00728081
          14             1.45082             1.51262          0.00816628
          15             1.43595             1.50751           0.0090817
          16             1.42004             1.50204           0.0100254
          17              1.4031             1.49622           0.0109958
          18             1.38516             1.49005           0.0119916
          19             1.36623             1.48353           0.0130114
          20             1.34632             1.47667           0.0140537
          21             1.32547             1.46947           0.0151168
          22              1.3037             1.46194           0.0161992
          23             1.28104             1.45407           0.0172991
          24             1.25753             1.44588           0.0184149
          25             1.23321             1.43737           0.0195448
          26             1.20812             1.42856           0.0206867
          27              1.1823             1.41944           0.0218387
          28             1.15582             1.41002           0.0229988
          29             1.12873             1.40032           0.0241647
          30              1.1011             1.39035           0.0253341
          31             1.07299             1.38011           0.0265047
          32             1.04448             1.36962            0.027674
          33             1.01563              1.3589           0.0288396
          34            0.986554             1.34794           0.0299986
          35             0.95732             1.33678           0.0311485
          36            0.928028             1.32543           0.0322865
          37            0.898774              1.3139           0.0334097
          38            0.869657             1.30221           0.0345153
          39            0.840778             1.29038           0.0356004
          40             0.81224             1.27842           0.0366623
          41            0.784146             1.26637           0.0376981
          42            0.756601             1.25423           0.0387051
          43            0.729704             1.24203           0.0396807
          44            0.703554             1.22979           0.0406222
          45             0.67825             1.21754           0.0415274
          46            0.653877             1.20528           0.0423939
          47            0.630519             1.19305           0.0432197
          48             0.60825             1.18087            0.044003
          49             0.58714             1.16875           0.0447422
          50            0.567249             1.15672           0.0454359
          51            0.548628              1.1448           0.0460829
          52            0.531319               1.133           0.0466825
          53            0.515357             1.12135           0.0472339
          54            0.500763             1.10986           0.0477368
          55            0.487549             1.09854           0.0481911
          56            0.475719             1.08742            0.048597
          57            0.465267              1.0765           0.0489548
          58            0.456182             1.06581           0.0492652
          59            0.448441             1.05535            0.049529
          60            0.442013             1.04512           0.0497472
          61            0.436862             1.03515           0.0499211
          62            0.432945             1.02544           0.0500519
          63            0.430214             1.01599           0.0501412
          64            0.428615             1.00681           0.0501907
          65            0.428089             0.99791            0.050202
          66            0.428574            0.989283            0.050177
          67            0.430006            0.980936           0.0501176
          68            0.432318            0.972868           0.0500258
          69            0.435442            0.965079           0.0499034
          70            0.439308            0.957568           0.0497525
          71            0.443848            0.950333           0.0495751
          72            0.448991             0.94337           0.0493732
          73            0.454669            0.936675           0.0491486
          74            0.460813            0.930245           0.0489033
          75            0.467356            0.924073           0.0486392
          76            0.474235            0.918154            0.048358
          77            0.481387            0.912482           0.0480615
          78            0.488752            0.907049           0.0477513
          79            0.496274            0.901849           0.0474291
          80            0.503899            0.896875           0.0470964
          81            0.511575            0.892118           0.0467546
          82            0.519257            0.887571            0.046405
          83            0.526902            0.883226           0.0460489
          84            0.534468            0.879074           0.0456875
          85            0.541921            0.875107           0.0453218
          86            0.549226            0.871318            0.044953
          87            0.556354            0.867698           0.0445818
          88            0.563279            0.864239           0.0442092
          89            0.569981            0.860932           0.0438359
          90            0.576439            0.857771           0.0434627
          91            0.582639            0.854748           0.0430901
          92            0.588568            0.851855           0.0427188
          93            0.594217            0.849084           0.0423491
          94            0.599583             0.84643           0.0419817
          95            0.604661            0.843885           0.0416169
          96            0.609451            0.841443           0.0412549
          97            0.613954            0.839098           0.0408962
          98            0.618173            0.836843            0.040541
          99            0.622116            0.834674           0.0401895
         100            0.625791            0.832586           0.0398418
         101            0.629207            0.830572           0.0394982
         102            0.632376            0.828629           0.0391588
         103             0.63531            0.826752           0.0388235
         104            0.638021            0.824937           0.0384926
         105            0.640524            0.823181           0.0381661
         106            0.642834             0.82148           0.0378439
         107            0.644969             0.81983           0.0375262
         108            0.646944            0.818229           0.0372128
         109            0.648774            0.816674           0.0369039
         110            0.650476            0.815164           0.0365993
         111            0.652068            0.813694           0.0362991
         112            0.653565            0.812265           0.0360031
         113            0.654981            0.810873           0.0357114
         114             0.65633            0.809517           0.0354239
         115            0.657628            0.808196           0.0351404
         116            0.658889            0.806909           0.0348611
         117            0.660123            0.805655           0.0345857
         118            0.661344            0.804432           0.0343142
         119            0.662564            0.803239           0.0340465
         120            0.663791            0.802077           0.0337827
         121            0.665038            0.800945           0.0335224
         122            0.666314            0.799841           0.0332658
         123            0.667629            0.798766           0.0330127
         124            0.668989             0.79772           0.0327631
         125            0.670402            0.796701           0.0325168
         126            0.671876            0.795711           0.0322738
         127            0.673417            0.794748           0.0320341
         128             0.67503            0.793812           0.0317974
         129            0.676721            0.792905           0.0315639
         130            0.678494            0.792025           0.0313334
         131            0.680355            0.791172           0.0311058
         132            0.682308            0.790347           0.0308811
         133            0.684359             0.78955           0.0306592
         134             0.68651            0.788781             0.03044
         135            0.688759            0.788041           0.0302235
         136            0.691109            0.787328           0.0300097
         137             0.69356            0.786643           0.0297985
         138            0.696114            0.785987           0.0295897
         139            0.698769             0.78536           0.0293835
         140            0.701525            0.784761           0.0291797
         141            0.704379            0.784191           0.0289784
         142            0.707327             0.78365           0.0287793
         143            0.710365            0.783137           0.0285827
         144            0.713486            0.782654           0.0283883
         145            0.716688            0.782199           0.0281961
         146            0.719965            0.781772           0.0280062
         147            0.723311            0.781375           0.0278185
         148            0.726717            0.781005            0.027633
         149            0.730176            0.780664           0.0274497
         150            0.733681            0.780351           0.0272684
         151            0.737221            0.780065           0.0270894
         152            0.740789            0.779807           0.0269124
         153            0.744377            0.779575           0.0267375
         154            0.747974             0.77937           0.0265646
         155            0.751574            0.779191           0.0263939
         156            0.755166            0.779037           0.0262251
         157            0.758741            0.778908           0.0260584
         158            0.762291            0.778802           0.0258937
         159            0.765807            0.778721            0.025731
         160            0.769281            0.778662           0.0255702
         161            0.772706            0.778625           0.0254114
         162            0.776073            0.778609           0.0252546
         163            0.779373            0.778614           0.0250996
         164            0.782601            0.778638           0.0249466
         165            0.785747            0.778681           0.0247954
         166            0.788802            0.778742           0.0246461
         167            0.791761             0.77882           0.0244987
         168            0.794614            0.778914            0.024353
         169            0.797358            0.779023           0.0242092
         170            0.799987            0.779146           0.0240671
         171            0.802494            0.779283           0.0239267
         172            0.804874            0.779432           0.0237881
         173            0.807123            0.779592           0.0236511
         174            0.809235            0.779762           0.0235158
         175             0.81121            0.779942           0.0233821
         176            0.813045             0.78013             0.02325
         177            0.814735            0.780325           0.0231195
         178            0.816278            0.780527           0.0229905
         179            0.817674            0.780735            0.022863
         180             0.81892            0.780947           0.0227369
         181            0.820019            0.781163           0.0226124
         182            0.820969            0.781382           0.0224892
         183            0.821772            0.781602           0.0223674
         184            0.822429            0.781824           0.0222469
         185            0.822942            0.782047           0.0221278
         186            0.823316            0.782268           0.0220099
         187            0.823551            0.782489           0.0218933
         188            0.823651            0.782708           0.0217779
         189            0.823623            0.782925           0.0216638
         190            0.823468            0.783138           0.0215508
         191             0.82319            0.783348            0.021439
         192            0.822792            0.783553           0.0213283
         193            0.822275            0.783754           0.0212188
         194            0.821648            0.783949           0.0211103
         195            0.820913            0.784139           0.0210029
         196             0.82007            0.784322           0.0208965
         197            0.819123            0.784499           0.0207912
         198            0.818076            0.784668           0.0206869
         199            0.816933             0.78483           0.0205836
         200            0.815699            0.784985           0.0204812
         201            0.814376            0.785131           0.0203799
         202            0.812968            0.785269           0.0202794
         203            0.811475            0.785398           0.0201799
         204            0.809902            0.785518           0.0200814
         205            0.808251            0.785629           0.0199837
         206            0.806528             0.78573            0.019887
         207            0.804737            0.785822           0.0197911
         208            0.802878            0.785904           0.0196961
         209            0.800955            0.785976            0.019602
         210            0.798971            0.786038           0.0195088
         211            0.796929             0.78609           0.0194164
         212             0.79483            0.786131           0.0193249
         213            0.792677            0.786162           0.0192342
         214            0.790474            0.786182           0.0191443
         215            0.788225            0.786191           0.0190552
         216            0.785938             0.78619            0.018967
         217            0.783613            0.786178           0.0188796
         218            0.781254            0.786156            0.018793
         219            0.778867            0.786122           0.0187072
         220            0.776457            0.786078           0.0186223
         221            0.774031            0.786024           0.0185381
         222            0.771593            0.785959           0.0184547
         223            0.769148            0.785883           0.0183721
         224            0.766702            0.785798           0.0182903
         225            0.764266            0.785702           0.0182092
         226            0.761844            0.785597            0.018129
         227            0.759444            0.785481           0.0180495
         228            0.757073            0.785357           0.0179707
         229            0.754737            0.785223           0.0178928
         230            0.752444            0.785081           0.0178155
         231            0.750204             0.78493            0.017739
         232            0.748023             0.78477           0.0176633
         233            0.745908            0.784604           0.0175883
         234            0.743863             0.78443            0.017514
         235            0.741901            0.784249           0.0174404
         236            0.740026            0.784061           0.0173675
         237            0.738243            0.783868           0.0172953
         238            0.736556            0.783669           0.0172238
         239            0.734973            0.783465           0.0171529
         240              0.7335            0.783257           0.0170827
         241             0.73214            0.783045           0.0170131
         242            0.730898             0.78283           0.0169442
         243            0.729779            0.782611           0.0168759
         244            0.728783            0.782391           0.0168081
         245            0.727912            0.782168            0.016741
         246             0.72717            0.781945           0.0166744
         247            0.726558             0.78172           0.0166084
         248            0.726079            0.781496            0.016543
         249            0.725735            0.781272           0.0164781
         250             0.72553            0.781049           0.0164137
         251            0.725464            0.780828           0.0163498
         252            0.725539            0.780608           0.0162864
         253            0.725753            0.780392           0.0162234
         254            0.726111            0.780178            0.016161
         255            0.726612            0.779968            0.016099
         256            0.727256            0.779762           0.0160374
         257            0.728049            0.779561           0.0159762
         258             0.72899            0.779365           0.0159155
         259            0.730079            0.779174           0.0158552
         260            0.731318             0.77899           0.0157953
         261            0.732702            0.778813           0.0157358
         262            0.734229            0.778643           0.0156766
         263            0.735897             0.77848           0.0156179
         264            0.737705            0.778326           0.0155595
         265             0.73965             0.77818           0.0155014
         266            0.741726            0.778043           0.0154438
         267            0.743929            0.777915           0.0153865
         268            0.746255            0.777797           0.0153295
         269            0.748693            0.777689           0.0152729
         270            0.751233            0.777591           0.0152166
         271            0.753867            0.777503           0.0151607
         272            0.756581            0.777426           0.0151052
         273            0.759366             0.77736             0.01505
         274            0.762211            0.777305           0.0149952
         275              0.7651             0.77726           0.0149407
         276            0.768018            0.777227           0.0148866
         277            0.770951            0.777204           0.0148329
         278            0.773883            0.777192           0.0147796
         279            0.776802            0.777191           0.0147266
         280            0.779694              0.7772            0.014674
         281            0.782543            0.777219           0.0146218
         282            0.785337            0.777248             0.01457
         283            0.788062            0.777286           0.0145185
         284            0.790705            0.777333           0.0144675
         285            0.793256            0.777389           0.0144168
         286            0.795706            0.777453           0.0143666
         287            0.798048            0.777525           0.0143167
         288            0.800275            0.777604           0.0142672
         289            0.802382             0.77769           0.0142181
         290            0.804365            0.777782           0.0141694
         291            0.806223            0.777879            0.014121
         292            0.807952            0.777982            0.014073
         293            0.809556             0.77809           0.0140254
         294             0.81104            0.778202           0.0139781
         295            0.812403            0.778318           0.0139312
         296            0.813649            0.778437           0.0138847
         297            0.814783             0.77856           0.0138385
         298            0.815815            0.778685           0.0137926
         299             0.81675            0.778812           0.0137471
         300            0.817597            0.778941           0.0137018
         301            0.818365            0.779072           0.0136569
         302            0.819065            0.779205           0.0136124
         303            0.819702            0.779338           0.0135681
         304             0.82029            0.779473           0.0135241
         305            0.820836            0.779609           0.0134805
         306            0.821346            0.779745           0.0134371
         307            0.821829            0.779882            0.013394
         308            0.822293             0.78002           0.0133513
         309            0.822746            0.780158           0.0133088
         310            0.823198            0.780297           0.0132666
         311            0.823651            0.780436           0.0132246
         312            0.824113            0.780576            0.013183
         313             0.82459            0.780717           0.0131416
         314            0.825088            0.780858           0.0131005
         315            0.825614               0.781           0.0130597
         316             0.82617            0.781143           0.0130192
         317             0.82676            0.781287           0.0129789
         318             0.82739            0.781432           0.0129389
         319            0.828063            0.781578           0.0128991
         320             0.82878            0.781726           0.0128597
         321            0.829542            0.781875           0.0128205
         322            0.830352            0.782025           0.0127816
         323             0.83121            0.782178           0.0127429
         324            0.832117            0.782332           0.0127045
         325            0.833074            0.782488           0.0126664
         326            0.834078            0.782646           0.0126285
         327            0.835126            0.782807           0.0125909
         328            0.836215             0.78297           0.0125536
         329            0.837341            0.783135           0.0125165
         330              0.8385            0.783303           0.0124797
         331             0.83969            0.783473           0.0124431
