#     BLOCK:         BIN_CENTER:        ACTUAL_GOFR:           GOFR_AVE:              ERROR:
         100           0.0115332                   0                   0                   0
         100           0.0345996                   0                   0                   0
         100           0.0576661                   0                   0                   0
         100           0.0807325                   0                   0                   0
         100            0.103799                   0                   0                   0
         100            0.126865                   0                   0                   0
         100            0.149932                   0                   0                   0
         100            0.172998                   0                   0                   0
         100            0.196065                   0                   0                   0
         100            0.219131                   0                   0                   0
         100            0.242198                   0                   0                   0
         100            0.265264                   0                   0                   0
         100             0.28833                   0                   0                   0
         100            0.311397                   0                   0                   0
         100            0.334463                   0                   0                   0
         100             0.35753                   0                   0                   0
         100            0.380596                   0                   0                   0
         100            0.403663                   0                   0                   0
         100            0.426729                   0                   0                   0
         100            0.449795                   0                   0                   0
         100            0.472862                   0                   0                   0
         100            0.495928                   0                   0                   0
         100            0.518995                   0                   0                   0
         100            0.542061                   0                   0                   0
         100            0.565128                   0                   0                   0
         100            0.588194                   0                   0                   0
         100             0.61126                   0                   0                   0
         100            0.634327                   0                   0                   0
         100            0.657393                   0                   0                   0
         100             0.68046                   0                   0                   0
         100            0.703526                   0                   0                   0
         100            0.726593                   0                   0                   0
         100            0.749659                   0                   0                   0
         100            0.772725                   0                   0                   0
         100            0.795792                   0                   0                   0
         100            0.818858                   0                   0                   0
         100            0.841925                   0                   0                   0
         100            0.864991                   0                   0                   0
         100            0.888058         0.000319109         0.000112179         1.74619e-05
         100            0.911124          0.00284501          0.00368266         0.000109203
         100             0.93419             0.04645           0.0508118         0.000396802
         100            0.957257            0.315712            0.310815         0.000993737
         100            0.980323              1.0663             1.04572          0.00158482
         100             1.00339              2.2623             2.28728          0.00291067
         100             1.02646             3.63676             3.63911           0.0036793
         100             1.04952              4.5601             4.58475          0.00354281
         100             1.07259             4.86411             4.83563          0.00423034
         100             1.09566               4.506             4.42723          0.00385978
         100             1.11872              3.5895             3.61654          0.00362297
         100             1.14179             2.65996             2.68633           0.0033306
         100             1.16485              1.8385             1.83319          0.00247763
         100             1.18792             1.13823             1.15297          0.00186662
         100             1.21099            0.661018             0.67234          0.00153062
         100             1.23405            0.364243            0.366545          0.00117871
         100             1.25712            0.193599             0.18726         0.000961404
         100             1.28019           0.0908385           0.0941659         0.000641802
         100             1.30325           0.0532292           0.0528313         0.000503365
         100             1.32632           0.0467828            0.044773         0.000514292
         100             1.34939           0.0594334           0.0639268           0.0007042
         100             1.37245            0.113034            0.111726         0.000933772
         100             1.39552            0.197056            0.191997          0.00104745
         100             1.41859            0.319523            0.309344          0.00116312
         100             1.44165            0.470414            0.459105          0.00115102
         100             1.46472             0.62065            0.629311          0.00116179
         100             1.48778            0.799409            0.790612          0.00143818
         100             1.51085             0.90085            0.905867          0.00207331
         100             1.53392            0.953163            0.952152          0.00211032
         100             1.55698            0.889553            0.915486          0.00214251
         100             1.58005            0.798541            0.800709          0.00155403
         100             1.60312            0.642364            0.640709          0.00111571
         100             1.62618            0.484495             0.47114          0.00103838
         100             1.64925            0.313458             0.32486         0.000929074
         100             1.67232            0.228918             0.22931           0.0011305
         100             1.69538            0.197588            0.203271          0.00110586
         100             1.71845            0.259562            0.269281          0.00126512
         100             1.74152            0.439805            0.452046          0.00142733
         100             1.76458            0.753729            0.769095          0.00149984
         100             1.78765             1.18972             1.21307          0.00153475
         100             1.81071             1.73649             1.72796          0.00171314
         100             1.83378             2.23139             2.21891           0.0018978
         100             1.85685             2.57237             2.56695          0.00240455
         100             1.87991             2.71161             2.67477          0.00307706
         100             1.90298             2.59868              2.5251          0.00279325
         100             1.92605             2.18198             2.16135          0.00231779
         100             1.94911             1.66988             1.68805          0.00169129
         100             1.97218             1.19841             1.21369          0.00124963
         100             1.99525            0.802142            0.820632          0.00146067
         100             2.01831            0.546151             0.56227          0.00148526
         100             2.04138            0.446753            0.453977          0.00141181
         100             2.06445            0.461691            0.477583          0.00132552
         100             2.08751             0.59768            0.597474          0.00113038
         100             2.11058            0.753801             0.75821         0.000887263
         100             2.13364            0.915426            0.906092          0.00106967
         100             2.15671            0.984985            0.992703          0.00126381
         100             2.17978            0.992388            0.994924          0.00144814
         100             2.20284             0.92166            0.915725          0.00126007
         100             2.22591            0.799542             0.79084         0.000937817
         100             2.24898            0.672822            0.666761          0.00111183
         100             2.27204             0.58188            0.586147          0.00154025
         100             2.29511            0.590847             0.59015          0.00180193


