#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             1.20304             1.20304                   0
           2             1.20518             1.20411         0.000755304
           3              1.2019             1.20337         0.000783112
           4             1.20385             1.20349         0.000596475
           5             1.20528             1.20385         0.000574058
           6             1.20286             1.20369         0.000501464
           7               1.204             1.20373         0.000431825
           8             1.20355             1.20371         0.000378413
           9             1.20119             1.20343           0.0004277
          10             1.20618              1.2037         0.000464964
          11             1.20359             1.20369         0.000422802
          12             1.20558             1.20385         0.000415726
          13             1.20534             1.20397         0.000399318
          14             1.20198             1.20382         0.000395084
          15             1.20279             1.20376         0.000374726
          16             1.20397             1.20377         0.000351545
          17             1.20389             1.20378          0.00033094
          18             1.20517             1.20385          0.00032147
          19             1.20168             1.20374         0.000324247
          20             1.20159             1.20363         0.000325346
          21             1.20444             1.20367         0.000312134
          22             1.20312             1.20364         0.000298953
          23             1.20403             1.20366         0.000286415
          24             1.20088             1.20355         0.000297019
          25               1.204             1.20356         0.000285691
          26             1.20503             1.20362         0.000280232
          27             1.20053             1.20351         0.000292252
          28             1.20615              1.2036         0.000296684
          29             1.20257             1.20356         0.000288565
          30             1.20172              1.2035         0.000285421
          31             1.20155             1.20344          0.00028307
          32             1.20374             1.20345         0.000274375
          33             1.20253             1.20342         0.000267472
          34             1.20439             1.20345         0.000261115
          35             1.20178              1.2034         0.000257987
          36               1.202             1.20336         0.000253751
          37             1.20324             1.20336         0.000246914
          38             1.20122              1.2033         0.000246732
          39             1.20422             1.20333         0.000241517
          40             1.20389             1.20334         0.000235888
          41             1.20723             1.20344          0.00024846
          42             1.20582             1.20349         0.000248934
          43             1.20664             1.20357         0.000253693
          44             1.20572             1.20362          0.00025259
          45             1.20307              1.2036         0.000247271
          46             1.20277             1.20358         0.000242556
          47             1.20256             1.20356         0.000238377
          48             1.20094             1.20351         0.000239614
          49             1.20407             1.20352         0.000235003
          50             1.20121             1.20347         0.000234817
          51              1.2041             1.20349          0.00023053
          52             1.20532             1.20352         0.000228771
          53             1.20142             1.20348         0.000227876
          54             1.20488             1.20351          0.00022512
          55             1.20572             1.20355         0.000224588
          56             1.20428             1.20356         0.000220958
          57             1.20272             1.20355         0.000217576
          58             1.20366             1.20355         0.000213833
          59              1.2077             1.20362          0.00022151
          60              1.2032             1.20361         0.000217926
          61             1.20149             1.20358         0.000217111
          62             1.20458             1.20359         0.000214213
          63             1.20453             1.20361         0.000211329
          64              1.2051             1.20363         0.000209303
          65             1.20267             1.20362         0.000206599
          66             1.20673             1.20366         0.000208795
          67             1.20311             1.20365          0.00020584
          68             1.20473             1.20367         0.000203419
          69             1.20417             1.20368         0.000200602
          70             1.20248             1.20366         0.000198459
          71             1.20407             1.20367         0.000195747
          72              1.2081             1.20373         0.000202465
          73             1.20307             1.20372         0.000199892
          74             1.19975             1.20367         0.000204261
          75             1.20436             1.20367         0.000201749
          76             1.20395             1.20368         0.000199127
          77             1.20158             1.20365         0.000198396
          78             1.20434             1.20366         0.000196052
          79             1.20184             1.20364          0.00019492
          80             1.20497             1.20365         0.000193196
          81             1.19925              1.2036         0.000198316
          82             1.20355              1.2036         0.000195898
          83               1.202             1.20358         0.000194479
          84             1.20463             1.20359         0.000192563
          85             1.20519             1.20361         0.000191217
          86             1.20298              1.2036         0.000189134
          87             1.20133             1.20358         0.000188757
          88             1.20333             1.20357         0.000186632
          89             1.20675             1.20361         0.000187922
          90              1.2035             1.20361         0.000185838
          91              1.2052             1.20363         0.000184618
          92             1.20508             1.20364         0.000183289
          93             1.20462             1.20365         0.000181622
          94             1.20416             1.20366         0.000179772
          95             1.20373             1.20366         0.000177881
          96              1.2041             1.20366         0.000176088
          97             1.20327             1.20366         0.000174319
          98             1.20365             1.20366          0.00017254
          99             1.20422             1.20367         0.000170891
         100             1.20447             1.20367          0.00016937
