#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1             -7.5206             -7.5206                   0
           2            -7.52247            -7.52154         0.000659451
           3            -7.51907            -7.52071         0.000801793
           4            -7.52137            -7.52088         0.000618129
           5            -7.52281            -7.52127          0.00060367
           6            -7.51974            -7.52101         0.000553892
           7            -7.52082            -7.52099         0.000475416
           8            -7.52017            -7.52088         0.000426779
           9            -7.51787            -7.52055          0.00049334
          10            -7.52323            -7.52082         0.000511647
          11            -7.52124            -7.52086         0.000466588
          12            -7.52257              -7.521         0.000449152
          13            -7.52274            -7.52113         0.000434027
          14            -7.51852            -7.52095         0.000441376
          15            -7.52013            -7.52089         0.000415324
          16            -7.52115            -7.52091         0.000389675
          17            -7.52121            -7.52092         0.000367149
          18            -7.52293            -7.52104         0.000363217
          19            -7.51845             -7.5209         0.000368695
          20            -7.51858            -7.52078         0.000368116
          21            -7.52126            -7.52081         0.000351299
          22            -7.52004            -7.52077         0.000337065
          23            -7.52139             -7.5208         0.000323491
          24            -7.51847             -7.5207         0.000324263
          25            -7.52133            -7.52073         0.000312253
          26            -7.52252             -7.5208         0.000307791
          27            -7.51751            -7.52067          0.00031958
          28            -7.52392            -7.52079         0.000328561
          29            -7.51985            -7.52076         0.000318824
          30            -7.51866            -7.52069         0.000315796
          31            -7.51938            -7.52065         0.000308405
          32            -7.52088            -7.52065         0.000298855
          33            -7.51955            -7.52062         0.000291647
          34            -7.52108            -7.52063         0.000283385
          35            -7.51886            -7.52058         0.000279765
          36            -7.51966            -7.52056         0.000273162
          37            -7.51957            -7.52053         0.000267087
          38            -7.51861            -7.52048         0.000264805
          39            -7.52155            -7.52051         0.000259428
          40             -7.5211            -7.52052          0.00025336
          41            -7.52492            -7.52063         0.000268956
          42            -7.52314            -7.52069         0.000269101
          43            -7.52428            -7.52077         0.000275514
          44            -7.52248            -7.52081         0.000271957
          45            -7.52013             -7.5208          0.00026634
          46            -7.51959            -7.52077         0.000261841
          47            -7.51979            -7.52075         0.000257102
          48            -7.51815            -7.52069         0.000257367
          49            -7.52163            -7.52071          0.00025282
          50            -7.51787            -7.52066         0.000254079
          51            -7.52161            -7.52068         0.000249781
          52            -7.52231            -7.52071         0.000246942
          53            -7.51841            -7.52066         0.000246039
          54            -7.52249             -7.5207         0.000243788
          55            -7.52293            -7.52074         0.000242715
          56            -7.52164            -7.52075         0.000238916
          57            -7.51975            -7.52074         0.000235367
          58            -7.52034            -7.52073         0.000231408
          59            -7.52513             -7.5208         0.000239184
          60            -7.51996            -7.52079         0.000235613
          61            -7.51784            -7.52074         0.000236648
          62            -7.52137            -7.52075         0.000233045
          63            -7.52178            -7.52077         0.000229921
          64            -7.52167            -7.52078         0.000226761
          65            -7.51946            -7.52076         0.000224182
          66            -7.52334             -7.5208         0.000224162
          67            -7.51972            -7.52079         0.000221393
          68            -7.52156             -7.5208         0.000218432
          69            -7.52124             -7.5208         0.000215361
          70            -7.51956            -7.52079         0.000213012
          71            -7.52083            -7.52079         0.000210012
          72            -7.52582            -7.52086         0.000218428
          73            -7.52061            -7.52085         0.000215462
          74            -7.51628            -7.52079         0.000221241
          75            -7.52147             -7.5208         0.000218474
          76            -7.52075             -7.5208           0.0002156
          77             -7.5182            -7.52077         0.000215431
          78            -7.52109            -7.52077          0.00021271
          79            -7.51859            -7.52074         0.000211803
          80            -7.52214            -7.52076         0.000209873
          81            -7.51654            -7.52071          0.00021366
          82            -7.52024             -7.5207         0.000211129
          83            -7.51884            -7.52068         0.000209778
          84            -7.52192            -7.52069         0.000207803
          85            -7.52169            -7.52071         0.000205685
          86               -7.52             -7.5207         0.000203458
          87            -7.51787            -7.52066         0.000203699
          88            -7.52025            -7.52066         0.000201438
          89            -7.52311            -7.52069         0.000201048
          90            -7.51991            -7.52068         0.000199002
          91            -7.52174            -7.52069         0.000197155
          92            -7.52165             -7.5207         0.000195285
          93            -7.52115            -7.52071         0.000193244
          94             -7.5208            -7.52071         0.000191191
          95            -7.52089            -7.52071         0.000189188
          96            -7.52117            -7.52071         0.000187278
          97            -7.51955             -7.5207         0.000185734
          98            -7.52048             -7.5207         0.000183853
          99             -7.5211             -7.5207         0.000182039
         100            -7.52106            -7.52071         0.000180253
