#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1             7.72954             7.72954                   0
           2             7.74845             7.73899          0.00668628
           3             7.74837             7.74212          0.00513636
           4             7.72124              7.7369          0.00593917
           5             7.72482             7.73448          0.00521932
           6              7.7373             7.73495          0.00437052
           7             7.73772             7.73535            0.003764
           8             7.75028             7.73721          0.00372778
           9             7.74734             7.73834          0.00347938
          10              7.7223             7.73674          0.00348156
          11             7.75108             7.73804          0.00340068
          12             7.71768             7.73634           0.0035151
          13             7.73976             7.73661          0.00325453
          14             7.75019             7.73758          0.00316329
          15             7.73878             7.73766          0.00295343
          16             7.72057             7.73659          0.00295553
          17              7.7437             7.73701          0.00281116
          18              7.7291             7.73657          0.00268912
          19             7.73277             7.73637            0.002555
          20             7.74397             7.73675          0.00245538
          21             7.72838             7.73635           0.0023706
          22             7.73801             7.73643          0.00226405
          23             7.72536             7.73594          0.00221612
          24             7.75013             7.73654          0.00220117
          25             7.73275             7.73638          0.00211831
          26             7.73283             7.73625          0.00204125
          27             7.74989             7.73675          0.00202718
          28             7.72007             7.73616           0.0020405
          29             7.74115             7.73633          0.00197738
          30             7.74325             7.73656          0.00192489
          31             7.74402              7.7368           0.0018778
          32             7.74159             7.73695          0.00182508
          33             7.74529              7.7372           0.0017872
          34             7.73137             7.73703          0.00174283
          35             7.73972             7.73711          0.00169473
          36             7.73594             7.73708          0.00164797
          37             7.73292             7.73696          0.00160725
          38             7.75368              7.7374          0.00162405
          39             7.73537             7.73735          0.00158324
          40             7.73596             7.73732          0.00154404
          41             7.71651             7.73681          0.00158756
          42             7.73532             7.73677          0.00155016
          43             7.72819             7.73657           0.0015269
          44             7.73476             7.73653          0.00149276
          45             7.72146              7.7362          0.00149669
          46             7.73466             7.73616          0.00146453
          47             7.72301             7.73588          0.00145986
          48             7.72995             7.73576          0.00143468
          49             7.71844             7.73541          0.00144828
          50             7.75553             7.73581           0.0014742
          51              7.7298             7.73569          0.00144999
          52             7.73677             7.73571          0.00142225
          53             7.75045             7.73599          0.00142235
          54               7.733             7.73594          0.00139709
          55              7.7282             7.73579          0.00137874
          56             7.73465             7.73577          0.00135428
          57             7.74244             7.73589          0.00133556
          58             7.73765             7.73592          0.00131287
          59             7.72491             7.73573          0.00130382
          60             7.73937              7.7358           0.0012835
          61              7.7477             7.73599           0.0012772
          62             7.73567             7.73599          0.00125661
          63             7.72442              7.7358             0.00125
          64             7.74163             7.73589          0.00123378
          65              7.7354             7.73589          0.00121482
          66             7.71293             7.73554          0.00124519
          67             7.75655             7.73585          0.00126548
          68             7.74421             7.73597          0.00125282
          69             7.73746               7.736          0.00123485
          70             7.74139             7.73607          0.00121961
          71             7.73971             7.73612          0.00120351
          72             7.72583             7.73598          0.00119525
          73             7.72995              7.7359          0.00118173
          74             7.75854              7.7362          0.00120473
          75             7.72895             7.73611          0.00119255
          76             7.73746             7.73613          0.00117699
          77              7.7435             7.73622           0.0011656
          78             7.74721             7.73636          0.00115913
          79             7.74397             7.73646          0.00114845
          80             7.72462             7.73631          0.00114359
          81             7.76886             7.73671          0.00119801
          82             7.72995             7.73663          0.00118623
          83             7.74569             7.73674          0.00117695
          84             7.71839             7.73652          0.00118304
          85             7.72259             7.73636          0.00118042
          86             7.74918             7.73651          0.00117607
          87             7.74228             7.73657          0.00116443
          88             7.72996              7.7365          0.00115361
          89             7.71806             7.73629           0.0011591
          90             7.73797             7.73631          0.00114637
          91             7.73345             7.73628           0.0011342
          92             7.71743             7.73607          0.00114023
          93             7.73602             7.73607          0.00112797
          94             7.73322             7.73604          0.00111637
          95             7.73437             7.73602          0.00110476
          96              7.7247             7.73591          0.00109953
          97             7.72842             7.73583           0.0010909
          98              7.7303             7.73577          0.00108123
          99             7.72196             7.73563          0.00107927
         100              7.7464             7.73574          0.00107384
