#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1            0.802027            0.802027                   0
           2            0.803451            0.802739         0.000503536
           3             0.80127            0.802249         0.000522074
           4             0.80257            0.802329          0.00039765
           5            0.803519            0.802567         0.000382706
           6            0.801908            0.802457         0.000334309
           7            0.802667            0.802487         0.000287883
           8            0.802369            0.802473         0.000252275
           9            0.800791            0.802286         0.000285133
          10            0.804119            0.802469         0.000309976
          11            0.802396            0.802462         0.000281868
          12            0.803719            0.802567         0.000277151
          13            0.803563            0.802644         0.000266212
          14            0.801323            0.802549         0.000263389
          15            0.801859            0.802503         0.000249817
          16            0.802646            0.802512         0.000234363
          17            0.802594            0.802517         0.000220627
          18            0.803446            0.802569         0.000214313
          19             0.80112            0.802493         0.000216165
          20             0.80106            0.802421         0.000216898
          21            0.802961            0.802447         0.000208089
          22            0.802079             0.80243         0.000199302
          23            0.802684            0.802441         0.000190944
          24            0.800586            0.802364         0.000198012
          25            0.802666            0.802376         0.000190461
          26            0.803355            0.802413         0.000186821
          27            0.800355            0.802337         0.000194835
          28              0.8041              0.8024         0.000197789
          29            0.801714            0.802376         0.000192377
          30            0.801147            0.802336         0.000190281
          31            0.801035            0.802294         0.000188714
          32            0.802491              0.8023         0.000182917
          33            0.801687            0.802281         0.000178315
          34            0.802926              0.8023         0.000174077
          35            0.801186            0.802268         0.000171991
          36            0.801332            0.802242         0.000169167
          37            0.802161             0.80224         0.000164609
          38            0.800816            0.802203         0.000164488
          39            0.802812            0.802218         0.000161011
          40            0.802593            0.802228         0.000157259
          41            0.804819            0.802291          0.00016564
          42            0.803879            0.802329         0.000165956
          43            0.804428            0.802377         0.000169128
          44            0.803811             0.80241         0.000168393
          45            0.802045            0.802402         0.000164847
          46            0.801847             0.80239         0.000161704
          47            0.801705            0.802375         0.000158918
          48            0.800624            0.802339         0.000159743
          49            0.802717            0.802346         0.000156669
          50            0.800804            0.802316         0.000156544
          51            0.802731            0.802324         0.000153687
          52            0.803545            0.802347         0.000152514
          53            0.800944            0.802321         0.000151917
          54            0.803252            0.802338          0.00015008
          55            0.803812            0.802365         0.000149725
          56            0.802853            0.802374         0.000147305
          57            0.801811            0.802364         0.000145051
          58            0.802437            0.802365         0.000142555
          59            0.805136            0.802412         0.000147673
          60            0.802135            0.802407         0.000145284
          61            0.800993            0.802384          0.00014474
          62            0.803054            0.802395         0.000142809
          63             0.80302            0.802405         0.000140886
          64            0.803397             0.80242         0.000139535
          65            0.801783            0.802411         0.000137733
          66            0.804488            0.802442         0.000139197
          67            0.802075            0.802437         0.000137227
          68            0.803153            0.802447         0.000135613
          69            0.802782            0.802452         0.000133735
          70            0.801656            0.802441         0.000132306
          71            0.802713            0.802444         0.000130498
          72            0.805397            0.802485         0.000134977
          73            0.802047            0.802479         0.000133261
          74            0.799833            0.802444         0.000136174
          75            0.802908             0.80245           0.0001345
          76            0.802631            0.802452         0.000132751
          77            0.801053            0.802434         0.000132264
          78            0.802897             0.80244         0.000130701
          79            0.801226            0.802425         0.000129947
          80            0.803314            0.802436         0.000128797
          81            0.799499            0.802399         0.000132211
          82            0.802367            0.802399         0.000130599
          83            0.801335            0.802386         0.000129653
          84            0.803084            0.802395         0.000128375
          85            0.803463            0.802407         0.000127478
          86            0.801987            0.802402          0.00012609
          87            0.800887            0.802385         0.000125838
          88            0.802223            0.802383         0.000124421
          89            0.804502            0.802407         0.000125282
          90            0.802337            0.802406         0.000123892
          91            0.803468            0.802418         0.000123079
          92            0.803389            0.802428         0.000122193
          93            0.803083            0.802435         0.000121082
          94            0.802776            0.802439         0.000119848
          95            0.802485            0.802439         0.000118587
          96            0.802735            0.802442         0.000117392
          97            0.802181             0.80244         0.000116212
          98             0.80243             0.80244         0.000115027
          99            0.802816            0.802443         0.000113927
         100            0.802977            0.802449         0.000112913
