#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
         250              -2.475                   0               8e-05         7.98398e-05
         250              -2.425                   0             0.00032         0.000158715
         250              -2.375                   0             0.00072          0.00032669
         250              -2.325                   0              0.0016         0.000579103
         250              -2.275                   0              0.0016         0.000590051
         250              -2.225                   0             0.00224         0.000795443
         250              -2.175                   0             0.00336         0.000692562
         250              -2.125                   0             0.00504         0.000950365
         250              -2.075                   0             0.00808          0.00131014
         250              -2.025                   0             0.01064          0.00142715
         250              -1.975                   0              0.0128          0.00171879
         250              -1.925                   0             0.01688          0.00187432
         250              -1.875                   0             0.02032          0.00192987
         250              -1.825                   0             0.02728          0.00230183
         250              -1.775                   0             0.03728          0.00281638
         250              -1.725                0.12             0.05448          0.00340349
         250              -1.675                0.08             0.05968          0.00392892
         250              -1.625                0.12             0.07344          0.00378722
         250              -1.575                0.16             0.09432          0.00441585
         250              -1.525                0.14               0.108          0.00466613
         250              -1.475                0.06             0.13568          0.00520205
         250              -1.425                0.06             0.14712          0.00520389
         250              -1.375                0.22             0.18288          0.00645913
         250              -1.325                 0.3             0.21304          0.00695067
         250              -1.275                 0.2             0.23136          0.00653426
         250              -1.225                0.36             0.26184           0.0077045
         250              -1.175                0.14              0.2916          0.00875366
         250              -1.125                0.42             0.29864          0.00887598
         250              -1.075                0.24             0.33128          0.00889817
         250              -1.025                0.36             0.33752          0.00846911
         250              -0.975                0.62             0.35792          0.00921748
         250              -0.925                0.28             0.38888           0.0100021
         250              -0.875                0.34             0.40576          0.00975451
         250              -0.825                0.32              0.4144           0.0106362
         250              -0.775                0.38             0.41456           0.0101381
         250              -0.725                0.46             0.39424           0.0102254
         250              -0.675                 0.5             0.41472           0.0111853
         250              -0.625                0.26             0.39336           0.0103746
         250              -0.575                0.42             0.39808          0.00984478
         250              -0.525                0.32               0.366          0.00934957
         250              -0.475                0.18             0.37456          0.00909453
         250              -0.425                0.46             0.33384          0.00854439
         250              -0.375                 0.5              0.3236          0.00831881
         250              -0.325                0.28              0.3136          0.00819459
         250              -0.275                0.34             0.29792          0.00811962
         250              -0.225                0.38             0.30552          0.00776287
         250              -0.175                0.32             0.28752          0.00799706
         250              -0.125                0.32             0.26784          0.00709956
         250              -0.075                0.26             0.26656          0.00679157
         250              -0.025                0.42                0.27          0.00702385
         250               0.025                0.36             0.27608          0.00807144
         250               0.075                0.18             0.27848          0.00757577
         250               0.125                0.22              0.2696          0.00752613
         250               0.175                0.38             0.29904          0.00778406
         250               0.225                0.46             0.31088          0.00768501
         250               0.275                0.56             0.29384          0.00813694
         250               0.325                0.28             0.31848          0.00829595
         250               0.375                 0.5             0.33912          0.00937487
         250               0.425                 0.6             0.36528          0.00892083
         250               0.475                 0.1             0.36584          0.00994503
         250               0.525                0.42              0.3924           0.0103144
         250               0.575                0.26             0.38808          0.00952376
         250               0.625                0.34             0.39824           0.0111122
         250               0.675                0.16             0.41072           0.0109924
         250               0.725                0.48              0.4104           0.0101478
         250               0.775                 0.3             0.40024          0.00991838
         250               0.825                0.32             0.40584           0.0103697
         250               0.875                 0.3             0.40776           0.0109624
         250               0.925                0.46              0.3828          0.00943732
         250               0.975                0.28               0.362          0.00876374
         250               1.025                0.26             0.36416           0.0093669
         250               1.075                0.36             0.33208          0.00827132
         250               1.125                0.24              0.3124          0.00839081
         250               1.175                 0.3              0.2824          0.00784669
         250               1.225                0.14             0.25016          0.00724629
         250               1.275                0.14             0.23208          0.00713652
         250               1.325                0.24             0.19288          0.00645938
         250               1.375                0.28             0.17264          0.00599421
         250               1.425                0.18             0.15776          0.00589121
         250               1.475                0.06             0.12296          0.00466581
         250               1.525                0.08              0.1128          0.00451954
         250               1.575                0.04             0.09296           0.0049774
         250               1.625                0.06              0.0748          0.00389469
         250               1.675                0.12             0.06224          0.00356055
         250               1.725                0.06             0.04496          0.00293135
         250               1.775                0.02             0.04048          0.00298889
         250               1.825                   0             0.02816            0.002371
         250               1.875                0.08             0.02352          0.00224037
         250               1.925                   0             0.01728          0.00182669
         250               1.975                   0             0.01368          0.00169712
         250               2.025                   0               0.012           0.0016895
         250               2.075                0.04             0.00736          0.00131488
         250               2.125                   0             0.00472          0.00102786
         250               2.175                   0             0.00424         0.000998444
         250               2.225                   0              0.0024         0.000785468
         250               2.275                   0             0.00184         0.000547775
         250               2.325                   0              0.0012         0.000453255
         250               2.375                   0             0.00096         0.000448457
         250               2.425                   0             0.00024          0.00017824
         250               2.475                   0             0.00064         0.000450735


