#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 0.1             0.68756             0.59332           -0.406813           0.0198824                   1            0.996621
            0.099802            0.818362            0.603052           -0.451985           0.0220634                0.88            0.139729
            0.099604            0.792031            0.603977           -0.447419           0.0218245                0.76           -0.460304
            0.099406            0.721602            0.604009           -0.438767           0.0214015                0.64           -0.732473
            0.099208            0.830904            0.600261           -0.437553            0.021363                 0.8           -0.519833
             0.09901            0.659044            0.597197           -0.436393           0.0213425                0.82          -0.0391073
            0.098812            0.556974            0.596768           -0.381099           0.0186492                0.82           -0.963576
            0.098614            0.826818            0.598661           -0.440218           0.0214919                0.94             1.09015
            0.098416            0.778328            0.592758           -0.443752            0.021662                0.68            0.470485
            0.098218            0.660479            0.593431           -0.440036           0.0214976                0.76            0.430178
             0.09802            0.870439            0.590094           -0.420869           0.0205555                0.94            0.731115
            0.097822            0.807356            0.595997           -0.442758           0.0216134                 0.9            -1.15812
            0.097624            0.674366             0.59473           -0.387269           0.0189329                0.34            0.594301
            0.097426            0.862795            0.591711           -0.425357           0.0207612                0.84            0.242453
            0.097228            0.563132            0.596704           -0.418861           0.0205157                 0.8           -0.763969
             0.09703             1.02302            0.596368           -0.213767            0.010789                0.82            0.626951
            0.096832             1.07544            0.592694           -0.240891           0.0120505                0.74            0.409814
            0.096634            0.634424            0.595617           -0.338903           0.0165929                0.98            0.600198
            0.096436            0.786211            0.599711           -0.439246           0.0214326                0.76           0.0641242
            0.096238             0.95264            0.598743           -0.431534           0.0210861                0.74           -0.787407
             0.09604            0.906816            0.597363           -0.399756           0.0195649                 0.5            0.585985
            0.095842            0.667151            0.595598           -0.396079           0.0194023                0.78             2.07345
            0.095644             0.71425            0.595158            -0.40447           0.0197332                0.98           0.0369265
            0.095446            0.622696            0.599486           -0.415812           0.0202988                0.78            0.331237
            0.095248            0.790084            0.600786           -0.441213           0.0215321                0.88           -0.434048
             0.09505            0.913835            0.599108           -0.444579           0.0216951                0.64           -0.982468
            0.094852            0.976029            0.601609           -0.320762           0.0158595                0.76             1.42214
            0.094654            0.924309            0.602065           -0.382829           0.0187913                0.72           -0.626543
            0.094456            0.686296            0.600909           -0.402128           0.0196606                 0.8             1.01289
            0.094258            0.824666            0.603073           -0.444848           0.0217098                 0.9            0.242878
             0.09406            0.765794            0.606798           -0.451637           0.0220347                0.66             1.28126
            0.093862             1.04933            0.607831           -0.442778           0.0216034                 0.2             1.70333
            0.093664            0.835284            0.605647           -0.429329           0.0209951                0.74            0.791727
            0.093466            0.773446            0.607298           -0.443856           0.0216531                0.88             1.65514
            0.093268            0.964219             0.60827           -0.439983           0.0214815                0.72           0.0495034
             0.09307            0.986464            0.610194           -0.341335           0.0167143                0.64           -0.965124
            0.092872             0.63499            0.610252           -0.333883           0.0163462                0.82            -1.03373
            0.092674            0.656218            0.610438           -0.377744           0.0184772                0.46           0.0030894
            0.092476            0.750817            0.609711           -0.427751           0.0208859                0.88            0.509375
            0.092278            0.952292            0.613825           -0.359821           0.0176996                0.72            -1.87113
             0.09208            0.932005            0.612221           -0.380123            0.018632                 0.9           -0.505849
            0.091882            0.845282             0.61206           -0.434383            0.021209                0.88             1.84688
            0.091684            0.637111            0.608751            -0.35131           0.0172155                 0.7            0.677331
            0.091486            0.936351            0.607324           -0.377401           0.0184801                0.78            -1.04704
            0.091288            0.655257            0.605142           -0.366238           0.0179325                 0.7           -0.133768
             0.09109            0.855306            0.601135           -0.425982           0.0207985                 0.9           -0.809246
            0.090892            0.722828            0.600699           -0.428205           0.0208938                 0.9            -0.63233
            0.090694            0.973183            0.603917            -0.41314           0.0201596                0.84           -0.726661
            0.090496            0.576734            0.604707           -0.337243              0.0166                 0.6           -0.383475
            0.090298            0.934017            0.604126           -0.374102           0.0183496                0.82              1.4556
              0.0901            0.856528            0.601575           -0.429168            0.020956                0.88              -0.681
            0.089902            0.682613            0.598971           -0.387786           0.0189461                 0.7           -0.313292
            0.089704              0.9879            0.606165           -0.307744           0.0151409                0.86            0.755135
            0.089506             1.00821            0.604562           -0.260806            0.012934                0.74             1.24763
            0.089308            0.985575            0.605298           -0.307397           0.0150952                0.86            0.220801
             0.08911            0.728679            0.602156           -0.426735           0.0208437                0.86              1.1359
            0.088912            0.697723               0.604           -0.412051           0.0201367                0.66            0.415804
            0.088714            0.875747            0.602905           -0.419278           0.0204775                0.54            -1.02717
            0.088516            0.646016             0.60454           -0.374752           0.0183224                0.66           -0.400269
            0.088318            0.635338            0.605958           -0.350689           0.0171823                0.74           -0.797274
             0.08812             0.80474            0.609024           -0.437766           0.0213745                 0.8           0.0224803
            0.087922            0.578889            0.607656           -0.299996            0.014827                0.74            -1.39723
            0.087724            0.718912            0.609605           -0.411058           0.0200611                0.88             1.22331
            0.087526            0.698234            0.614898           -0.412631           0.0201297                0.82             -1.3011
            0.087328            0.974777            0.613987           -0.330908            0.016317                0.78            0.959532
             0.08713            0.728779            0.607675           -0.438357           0.0213983                0.88             -0.5028
            0.086932            0.821197             0.61186           -0.454369           0.0221691                0.68            -1.60951
            0.086734            0.786841             0.61269           -0.449665           0.0219334                 0.9           -0.114779
            0.086536             0.86451            0.612196           -0.426227           0.0208241                 0.7              1.7264
            0.086338            0.660031            0.608129           -0.376973           0.0184357                0.84           -0.830244
             0.08614            0.673141            0.600126           -0.374474           0.0182875                0.96            0.237035
