#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
           1           -0.565141           -0.565141                   0
           2           -0.815991           -0.690566           0.0886887
           3          -0.0921394           -0.491091            0.173271
           4           -0.636712           -0.527496            0.133723
           5            -0.61956           -0.545909            0.108239
           6            -0.61956           -0.558184           0.0908924
           7            -0.61956           -0.566952           0.0783295
           8            -1.10489           -0.634195           0.0930262
           9           -0.523539             -0.6219           0.0834985
          10           -0.523539           -0.612064           0.0757258
          11           -0.523539           -0.604016            0.069268
          12           -0.523539            -0.59731           0.0638195
          13           -0.523539           -0.591635            0.059162
          14           -0.600396           -0.592261           0.0549395
          15            -0.82801           -0.607977           0.0534776
          16            -0.82801           -0.621729           0.0518734
          17            -1.05466           -0.647196           0.0547172
          18          -0.0173246           -0.612203           0.0618629
          19           -0.552196           -0.609045           0.0586875
          20           -0.552196           -0.606202           0.0558219
          21           -0.495669           -0.600939           0.0534113
          22           -0.516629           -0.597106           0.0511208
          23           -0.516629           -0.593607           0.0490178
          24           -0.516629             -0.5904           0.0470802
          25           -0.516629           -0.587449           0.0452894
          26           -0.323751           -0.577307           0.0446687
          27            -1.08019           -0.595932           0.0467363
          28          -0.0843514           -0.577661           0.0485071
          29            -1.03093           -0.593291           0.0492883
          30            -1.03093           -0.607879           0.0497574
          31            -1.00714           -0.620759           0.0497913
          32            -1.00714           -0.632833           0.0496778
          33            -1.00714           -0.644176           0.0494504
          34            -1.00714           -0.654852           0.0491348
          35            -1.00714           -0.664917           0.0487511
          36            -1.00714           -0.674423           0.0483148
          37           -0.243076           -0.662765           0.0483951
          38           -0.243076           -0.651721           0.0483654
          39           -0.740809           -0.654005           0.0471791
          40           -0.488145           -0.649859           0.0461815
          41           -0.488145           -0.645915           0.0452233
          42           -0.488145           -0.642158           0.0443023
          43             -1.0421           -0.651459           0.0442375
          44             -1.0421           -0.660337            0.044114
          45             -1.0421           -0.668821           0.0439419
          46             -1.0421           -0.676936           0.0437295
          47          0.00239669           -0.662482           0.0451246
          48            -0.25132           -0.653916           0.0449902
          49            -1.07974           -0.662606           0.0449035
          50          -0.0927141           -0.651208           0.0454289
          51          -0.0927141           -0.640257           0.0458391
          52            -1.05709           -0.648274           0.0456531
          53            -1.05709           -0.655987           0.0454387
          54           -0.850144           -0.659583           0.0447392
          55          -0.0870574           -0.649173           0.0451206
          56           -0.545362           -0.647319           0.0443529
          57           -0.545362           -0.645531           0.0436108
          58           -0.545362           -0.643804           0.0428931
          59           -0.545362           -0.642135           0.0421985
          60            -1.06479           -0.649179           0.0420791
          61            -1.06479           -0.655992           0.0419372
          62            -1.06479           -0.662586           0.0417759
          63            -1.06479            -0.66897           0.0415977
          64            -1.06479           -0.675155            0.041405
          65            -1.06479           -0.681149           0.0411996
          66          -0.0118937           -0.671009           0.0418046
          67          -0.0118937           -0.661171           0.0423223
          68          -0.0118937           -0.651623           0.0427635
          69          -0.0118937           -0.642352            0.043137
          70           -0.237752           -0.636572           0.0429063
          71           -0.190004           -0.630282           0.0427605
          72           -0.190004           -0.624167           0.0426016
          73            -1.05868           -0.630119           0.0424318
          74           -0.218554           -0.624557           0.0422213
          75           -0.218554           -0.619144            0.042004
          76           -0.218554           -0.613873           0.0417807
          77           -0.023444           -0.606205           0.0419358
          78           -0.023444           -0.598734           0.0420585
          79           -0.023444           -0.591452           0.0421518
          80         -0.00281164           -0.584094           0.0422622
          81         -0.00281164           -0.576917           0.0423454
          82           -0.594015           -0.577126           0.0418295
          83          -0.0402982           -0.570658           0.0418225
          84          -0.0402982           -0.564344           0.0417985
          85          -0.0402982           -0.558179            0.041759
          86           -0.853432           -0.561612           0.0414143
          87           -0.853432           -0.564967           0.0410739
          88           -0.852197           -0.568231           0.0407366
          89           -0.852197           -0.571421           0.0404037
          90            -1.00851           -0.576278           0.0402456
          91           -0.269582           -0.572907           0.0399442
          92            -0.23897           -0.569278           0.0396746
          93           -0.197473            -0.56528           0.0394489
          94           -0.241107           -0.561831           0.0391797
          95            -0.53308           -0.561528           0.0387684
          96           -0.906764           -0.565125            0.038531
          97           -0.906764           -0.568647           0.0382944
          98           -0.906764           -0.572097           0.0380588
          99           -0.906764           -0.575477           0.0378242
         100           -0.906764            -0.57879           0.0375907
         101           -0.895124           -0.581922           0.0373488
         102           -0.423876           -0.580373           0.0370148
         103           -0.423876           -0.578853           0.0366866
         104           -0.529658            -0.57838           0.0363369
         105           -0.529658           -0.577916           0.0359938
         106           -0.529658           -0.577461           0.0356571
         107           -0.368191           -0.575505           0.0353774
         108           0.0023854           -0.570154           0.0354522
         109           0.0023854           -0.564902           0.0355139
         110           0.0023854           -0.559745           0.0355636
         111           0.0023854            -0.55468           0.0356019
         112             -1.0684           -0.559267           0.0355783
         113             -0.8952            -0.56224           0.0353874
         114           -0.315553           -0.560076           0.0351431
         115          -0.0229353           -0.555405           0.0351465
         116          -0.0229353           -0.550815            0.035142
         117          -0.0229353           -0.546303           0.0351301
         118          -0.0229353           -0.541868           0.0351113
         119          -0.0229353           -0.537507            0.035086
         120          -0.0229353           -0.533219           0.0350546
         121          -0.0229353           -0.529002           0.0350177
         122           -0.223244           -0.526496           0.0348202
         123           -0.423093           -0.525655           0.0345473
         124           -0.423093           -0.524828           0.0342786
         125           -0.423093           -0.524014            0.034014
         126           -0.936889           -0.527291           0.0339015
         127           -0.933273           -0.530488            0.033785
         128           -0.933273           -0.533634           0.0336672
         129           -0.933273           -0.536732           0.0335485
         130          -0.0242657            -0.53279           0.0335212
         131          -0.0242657           -0.528908           0.0334893
         132          -0.0242657           -0.525085           0.0334531
         133           -0.211721           -0.522729           0.0332845
         134           -0.189998           -0.520246           0.0331286
         135           -0.189998             -0.5178           0.0329734
         136           -0.189998            -0.51539           0.0328189
         137        -0.000724183           -0.511633           0.0327937
         138           -0.420305           -0.510971           0.0325627
         139           -0.420305           -0.510319            0.032335
         140           -0.420305           -0.509676           0.0321104
         141           -0.420305           -0.509042           0.0318889
         142           -0.420305           -0.508417           0.0316705
         143            -1.07152           -0.512355           0.0316929
         144           -0.982371           -0.515619           0.0316404
         145           -0.227722           -0.513633           0.0314844
         146           -0.264101           -0.511924           0.0313151
         147           -0.100576           -0.509126           0.0312269
         148           -0.141522           -0.506642           0.0311145
         149          -0.0607282           -0.503649           0.0310493
         150            -1.00788           -0.507011           0.0310237
         151            -1.00788           -0.510328           0.0309951
         152            -1.06351           -0.513967           0.0310041
         153           -0.570572           -0.514337           0.0308037
         154          -0.0487187           -0.511314           0.0307517
         155           -0.018171           -0.508132           0.0307174
         156           -0.018171           -0.504991           0.0306806
         157            -1.10027           -0.508783           0.0307186
         158            -1.10027           -0.512527           0.0307515
         159            -1.10027           -0.516223           0.0307794
         160            -1.10027           -0.519873           0.0308027
         161            -1.10027           -0.523478           0.0308216
         162         -0.00492031           -0.520277           0.0307972
         163           -0.112831           -0.517778           0.0307095
         164           -0.112831           -0.515308           0.0306213
         165          -0.0365296           -0.512407           0.0305729
         166           -0.757079           -0.513881           0.0304243
         167           -0.954508           -0.516519           0.0303563
         168           -0.954508           -0.519126           0.0302873
         169           -0.954508           -0.521703           0.0302175
         170           -0.954508           -0.524248           0.0301468
         171           -0.518966           -0.524218           0.0299705
         172           -0.253932           -0.522646           0.0298374
         173           -0.253932           -0.521093           0.0297054
         174           -0.253932           -0.519557           0.0295743
         175           -0.544616           -0.519701           0.0294057
