#                 X:                  Y:                  Z:
                -0.3                   0                   0
            -1.19482                   0                   0
           -0.814098                   0                   0
            0.272555                   0                   0
             1.09945                   0                   0
             1.09945                   0                   0
             1.09945                   0                   0
            -1.43852                   0                   0
            -1.05459                   0                   0
            -1.05459                   0                   0
            -1.05459                   0                   0
            -1.05459                   0                   0
            -1.05459                   0                   0
            -1.09049                   0                   0
            -1.20106                   0                   0
            -1.20106                   0                   0
            -1.35054                   0                   0
           -0.731449                   0                   0
           -0.304967                   0                   0
           -0.304967                   0                   0
             1.04151                   0                   0
             1.05135                   0                   0
             1.05135                   0                   0
             1.05135                   0                   0
             1.05135                   0                   0
            -0.95756                   0                   0
         -0.00283463                   0                   0
             1.79919                   0                   0
             1.55278                   0                   0
             1.55278                   0                   0
            0.101163                   0                   0
            0.101163                   0                   0
            0.101163                   0                   0
            0.101163                   0                   0
            0.101163                   0                   0
            0.101163                   0                   0
           -0.434022                   0                   0
           -0.434022                   0                   0
           -0.231825                   0                   0
           -0.329719                   0                   0
           -0.329719                   0                   0
           -0.329719                   0                   0
          -0.0725515                   0                   0
          -0.0725515                   0                   0
          -0.0725515                   0                   0
          -0.0725515                   0                   0
            0.664744                   0                   0
             -0.9188                   0                   0
          0.00833856                   0                   0
           -0.522129                   0                   0
           -0.522129                   0                   0
            -1.35302                   0                   0
            -1.35302                   0                   0
            -1.21276                   0                   0
           -0.809837                   0                   0
              1.0648                   0                   0
              1.0648                   0                   0
              1.0648                   0                   0
              1.0648                   0                   0
          -0.0459772                   0                   0
          -0.0459772                   0                   0
          -0.0459772                   0                   0
          -0.0459772                   0                   0
          -0.0459772                   0                   0
          -0.0459772                   0                   0
            0.609249                   0                   0
            0.609249                   0                   0
            0.609249                   0                   0
            0.609249                   0                   0
           -0.911153                   0                   0
            0.882904                   0                   0
            0.882904                   0                   0
            -1.35466                   0                   0
            0.900068                   0                   0
            0.900068                   0                   0
            0.900068                   0                   0
            0.590236                   0                   0
            0.590236                   0                   0
            0.590236                   0                   0
           -0.631173                   0                   0
           -0.631173                   0                   0
             1.08751                   0                   0
           -0.569099                   0                   0
           -0.569099                   0                   0
           -0.569099                   0                   0
            -1.21452                   0                   0
            -1.21452                   0                   0
            0.184901                   0                   0
            0.184901                   0                   0
           -0.100183                   0                   0
            0.421377                   0                   0
           -0.911846                   0                   0
            0.457193                   0                   0
            0.434983                   0                   0
           -0.312317                   0                   0
             1.24423                   0                   0
             1.24423                   0                   0
             1.24423                   0                   0
             1.24423                   0                   0
             1.24423                   0                   0
            0.164954                   0                   0
             1.00733                   0                   0
             1.00733                   0                   0
            -1.05746                   0                   0
            -1.05746                   0                   0
            -1.05746                   0                   0
            0.980062                   0                   0
           -0.666369                   0                   0
           -0.666369                   0                   0
           -0.666369                   0                   0
           -0.666369                   0                   0
          -0.0402088                   0                   0
            0.164917                   0                   0
           -0.953319                   0                   0
           -0.740503                   0                   0
           -0.740503                   0                   0
           -0.740503                   0                   0
           -0.740503                   0                   0
           -0.740503                   0                   0
           -0.740503                   0                   0
           -0.740503                   0                   0
           -0.902807                   0                   0
           -0.355447                   0                   0
           -0.355447                   0                   0
           -0.355447                   0                   0
            0.143814                   0                   0
             -1.6041                   0                   0
             -1.6041                   0                   0
             -1.6041                   0                   0
           -0.742504                   0                   0
           -0.742504                   0                   0
           -0.742504                   0                   0
           -0.449732                   0                   0
            0.882901                   0                   0
            0.882901                   0                   0
            0.882901                   0                   0
           -0.691078                   0                   0
             1.00561                   0                   0
             1.00561                   0                   0
             1.00561                   0                   0
             1.00561                   0                   0
             1.00561                   0                   0
           0.0345005                   0                   0
             1.29176                   0                   0
            0.441602                   0                   0
             0.42395                   0                   0
            0.516339                   0                   0
            0.851292                   0                   0
           -0.785761                   0                   0
            0.100639                   0                   0
            0.100639                   0                   0
           0.0478491                   0                   0
           -0.297918                   0                   0
            0.560134                   0                   0
             0.59823                   0                   0
             0.59823                   0                   0
            -1.47566                   0                   0
            -1.47566                   0                   0
            -1.47566                   0                   0
            -1.47566                   0                   0
            -1.47566                   0                   0
           -0.624976                   0                   0
            0.830501                   0                   0
            0.830501                   0                   0
            -0.75909                   0                   0
           -0.225264                   0                   0
             0.13417                   0                   0
             0.13417                   0                   0
             0.13417                   0                   0
             0.13417                   0                   0
             0.31776                   0                   0
           -0.920256                   0                   0
           -0.920256                   0                   0
           -0.920256                   0                   0
             1.71699                   0                   0
             1.71699                   0                   0
             1.20798                   0                   0
            0.615972                   0                   0
             -1.1353                   0                   0
            0.852517                   0                   0
           -0.156391                   0                   0
            0.974824                   0                   0
            0.974824                   0                   0
            0.974824                   0                   0
            0.974824                   0                   0
            0.974824                   0                   0
            0.487966                   0                   0
            0.487966                   0                   0
             1.36837                   0                   0
            -1.09759                   0                   0
            -1.09759                   0                   0
            0.757884                   0                   0
            0.757884                   0                   0
           -0.650875                   0                   0
           -0.650875                   0                   0
           -0.154004                   0                   0
            -1.32967                   0                   0
            -1.32967                   0                   0
            0.918755                   0                   0
            0.918755                   0                   0
            0.918755                   0                   0
            0.918755                   0                   0
            0.550638                   0                   0
            0.550638                   0                   0
            0.550638                   0                   0
            0.550638                   0                   0
           -0.615945                   0                   0
           -0.615945                   0                   0
           -0.615945                   0                   0
            -1.19035                   0                   0
           -0.175476                   0                   0
           -0.395201                   0                   0
           -0.395201                   0                   0
            -0.34163                   0                   0
          0.00660517                   0                   0
          0.00660517                   0                   0
            0.926558                   0                   0
            0.926558                   0                   0
            0.926558                   0                   0
           -0.703234                   0                   0
             1.53186                   0                   0
             1.53186                   0                   0
           -0.604187                   0                   0
            0.559961                   0                   0
            0.613527                   0                   0
         -0.00750022                   0                   0
         -0.00750022                   0                   0
         -0.00750022                   0                   0
           -0.669401                   0                   0
           -0.669401                   0                   0
           -0.669401                   0                   0
             1.48767                   0                   0
           -0.146912                   0                   0
           -0.146912                   0                   0
            0.597058                   0                   0
            0.597058                   0                   0
            0.597058                   0                   0
            0.597058                   0                   0
            0.597058                   0                   0
            0.327307                   0                   0
            0.327307                   0                   0
            0.782694                   0                   0
            0.782694                   0                   0
            0.782694                   0                   0
            0.684007                   0                   0
            0.684007                   0                   0
            -1.53447                   0                   0
            -1.53447                   0                   0
            -1.53447                   0                   0
            -1.53447                   0                   0
            0.510018                   0                   0
           -0.216735                   0                   0
            -1.44098                   0                   0
           -0.560908                   0                   0
           -0.560908                   0                   0
           -0.560908                   0                   0
            0.895309                   0                   0
            0.861305                   0                   0
            0.854012                   0                   0
           -0.867799                   0                   0
             1.29364                   0                   0
            0.140977                   0                   0
          -0.0216785                   0                   0
           -0.596432                   0                   0
           -0.531969                   0                   0
           -0.531969                   0                   0
           -0.458709                   0                   0
            -1.55153                   0                   0
            -1.55153                   0                   0
            -1.55153                   0                   0
            0.560028                   0                   0
            0.560028                   0                   0
            0.560028                   0                   0
            0.560028                   0                   0
           -0.673043                   0                   0
          0.00418053                   0                   0
            0.694413                   0                   0
            0.717672                   0                   0
            0.717672                   0                   0
            0.717672                   0                   0
            0.868466                   0                   0
            0.420039                   0                   0
            0.420039                   0                   0
            0.420039                   0                   0
           -0.565713                   0                   0
           -0.342156                   0                   0
           -0.342156                   0                   0
           -0.342156                   0                   0
            -1.00422                   0                   0
            0.518928                   0                   0
             1.11999                   0                   0
           -0.721873                   0                   0
            0.352851                   0                   0
           -0.111604                   0                   0
           -0.683144                   0                   0
             1.01692                   0                   0
             1.01692                   0                   0
             1.01692                   0                   0
             1.01692                   0                   0
           -0.365493                   0                   0
            0.397489                   0                   0
            0.954482                   0                   0
            0.749261                   0                   0
            0.749261                   0                   0
            0.749261                   0                   0
             1.17221                   0                   0
           0.0403741                   0                   0
            -1.85164                   0                   0
            -1.85164                   0                   0
           -0.182241                   0                   0
           -0.182241                   0                   0
           -0.182241                   0                   0
           -0.182241                   0                   0
            -1.89539                   0                   0
            -1.94406                   0                   0
            -1.94406                   0                   0
           -0.420411                   0                   0
          -0.0467645                   0                   0
          -0.0467645                   0                   0
             1.76449                   0                   0
            -0.53706                   0                   0
           -0.404284                   0                   0
            0.354544                   0                   0
            0.661767                   0                   0
          -0.0856142                   0                   0
              0.6082                   0                   0
              0.6082                   0                   0
              0.2744                   0                   0
            -1.92068                   0                   0
            -1.92068                   0                   0
            -1.21892                   0                   0
            -1.21892                   0                   0
             1.07491                   0                   0
           -0.944589                   0                   0
             1.41054                   0                   0
             1.41054                   0                   0
             1.01865                   0                   0
