#     BLOCK:           ACTUAL_H:              H_AVE:              ERROR:
           1           -0.435021           -0.435021                   0
           2           -0.450386           -0.442704          0.00543243
           3           -0.377496           -0.420968           0.0181131
           4           -0.470862           -0.433441           0.0173562
           5           -0.467025           -0.440158           0.0151289
           6           -0.438595           -0.439898           0.0126097
           7           -0.417088           -0.436639           0.0112214
           8           -0.407101           -0.432947           0.0104085
           9           -0.433071           -0.432961          0.00925198
          10           -0.455593           -0.435224          0.00859915
          11           -0.482474           -0.439519           0.0088253
          12           -0.477943           -0.442721          0.00865124
          13           -0.387314           -0.438459          0.00897443
          14           -0.483758           -0.441695          0.00889758
          15           -0.457882           -0.442774          0.00836959
          16           -0.429482           -0.441943          0.00788762
          17           -0.415193            -0.44037          0.00757897
          18           -0.491024           -0.443184          0.00766257
          19            -0.48538           -0.445405          0.00757427
          20           -0.452451           -0.445757          0.00720375
          21           -0.455162           -0.446205          0.00687462
          22           -0.459262           -0.446798          0.00658771
          23           -0.479322           -0.448212          0.00645126
          24           -0.425969           -0.447286          0.00624868
          25           -0.463461           -0.447933          0.00603214
          26           -0.482564           -0.449265          0.00594538
          27           -0.423575           -0.448313          0.00580081
          28           -0.486824           -0.449688          0.00575439
          29           -0.462085           -0.450116          0.00557181
          30           -0.427332           -0.449356           0.0054376
          31           -0.433145           -0.448834          0.00528728
          32           -0.454773           -0.449019          0.00512531
          33           -0.441481           -0.448791          0.00497508
          34           -0.468869           -0.449381          0.00486368
          35           -0.408441           -0.448212          0.00486335
          36            -0.44931           -0.448242          0.00472835
          37            -0.39936           -0.446921          0.00478157
          38           -0.476286           -0.447694          0.00471777
          39           -0.451191           -0.447783          0.00459765
          40           -0.396448             -0.4465          0.00465839
          41           -0.465474           -0.446963           0.0045677
          42           -0.440329           -0.446805          0.00446167
          43           -0.448643           -0.446848          0.00435812
          44           -0.469766           -0.447368          0.00429009
          45           -0.470176           -0.447875          0.00422458
          46           -0.483666           -0.448653          0.00420378
          47           -0.451429           -0.448712          0.00411475
          48           -0.430497           -0.448333          0.00404649
          49            -0.39993           -0.447345           0.0040827
          50           -0.432068            -0.44704          0.00401246
          51           -0.443244           -0.446965          0.00393448
          52           -0.442354           -0.446876          0.00385981
          53           -0.456519           -0.447058          0.00379127
          54           -0.420678            -0.44657          0.00375241
          55           -0.404492           -0.445805          0.00376136
          56           -0.433522           -0.445585          0.00370058
          57           -0.416107           -0.445068          0.00367162
          58           -0.448316           -0.445124          0.00360874
          59           -0.423569           -0.444759          0.00356603
          60           -0.442124           -0.444715          0.00350686
          61            -0.43349           -0.444531           0.0034542
          62           -0.456577           -0.444725          0.00340394
          63           -0.499577           -0.445596          0.00345947
          64           -0.421851           -0.445225          0.00342525
          65           -0.444306           -0.445211          0.00337259
          66           -0.469399           -0.445577          0.00334134
          67            -0.38022           -0.444602          0.00343091
          68           -0.447406           -0.444643           0.0033807
          69           -0.422573           -0.444323           0.0033468
          70           -0.385334            -0.44348          0.00340343
          71           -0.442406           -0.443465          0.00335553
          72           -0.408588           -0.442981          0.00334371
          73           -0.454637           -0.443141          0.00330171
          74           -0.430041           -0.442964          0.00326184
          75           -0.444301           -0.442981           0.0032184
          76            -0.42111           -0.442694          0.00318889
          77           -0.458056           -0.442893          0.00315371
          78           -0.426739           -0.442686          0.00312007
          79           -0.445769           -0.442725          0.00308082
          80           -0.449158           -0.442805          0.00304336
          81           -0.416827           -0.442485          0.00302264
          82           -0.484142           -0.442993          0.00302817
          83           -0.471206           -0.443333           0.0030107
          84           -0.479088           -0.443758           0.0030048
          85           -0.459273           -0.443941          0.00297499
          86           -0.479153            -0.44435          0.00296844
          87           -0.490165           -0.444877          0.00298066
          88           -0.463487           -0.445088          0.00295428
          89           -0.381134            -0.44437          0.00300721
          90           -0.404097           -0.443922          0.00300691
          91           -0.433601           -0.443809            0.002976
          92           -0.423942           -0.443593          0.00295148
          93            -0.43954           -0.443549          0.00292006
          94            -0.49145           -0.444059          0.00293312
          95           -0.446292           -0.444082          0.00290234
          96           -0.496777           -0.444631          0.00292356
          97            -0.47316           -0.444926          0.00290817
          98           -0.473424           -0.445216            0.002893
          99           -0.411318           -0.444874          0.00288397
         100           -0.401992           -0.444445          0.00288683
         101           -0.364628           -0.443655          0.00296445
         102           -0.485452           -0.444065          0.00296357
         103           -0.426555           -0.443895          0.00293967
         104           -0.421414           -0.443678          0.00291934
         105           -0.423006           -0.443482          0.00289817
         106           -0.481279           -0.443838          0.00289268
         107           -0.475521           -0.444134          0.00288076
         108           -0.429988           -0.444003          0.00285706
         109           -0.468319           -0.444226          0.00283955
         110           -0.475051           -0.444507          0.00282753
         111           -0.479083           -0.444818          0.00281916
         112           -0.392443            -0.44435          0.00283251
         113           -0.381726           -0.443796          0.00286115
         114           -0.478983           -0.444105          0.00285265
         115           -0.452771            -0.44418          0.00282884
         116           -0.433302           -0.444086            0.002806
         117           -0.457932           -0.444205          0.00278452
         118           -0.437565           -0.444149          0.00276149
         119           -0.409016           -0.443853          0.00275402
         120           -0.463819            -0.44402          0.00273609
         121           -0.453765             -0.4441          0.00271466
