#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 0.1             1.20709            0.528651             0.24812          0.00256347            0.826667             1.05805
            0.099802             1.07511            0.545558           -0.106828          0.00116436                 0.8            0.856874
            0.099604            0.674157             0.55112           -0.365833          0.00366309            0.746667            0.520704
            0.099406            0.709484            0.561912           -0.391301          0.00390769            0.866667           -0.695685
            0.099208            0.559425            0.644004           -0.277479          0.00278779            0.813333            -1.04236
             0.09901            0.668302            0.680313           -0.375294          0.00375382                0.96           -0.108662
            0.098812            0.754785            0.666305           -0.426515           0.0042543                0.88           -0.695698
            0.098614             0.49209            0.661988            -0.42471          0.00424066            0.653333           -0.738761
            0.098416            0.638598            0.605845           -0.354613          0.00354146            0.906667           -0.688878
            0.098218            0.805205            0.517476           -0.362759          0.00361938            0.773333           -0.858938
             0.09802             0.74638            0.530066           -0.372528          0.00374231            0.813333             1.05943
            0.097822             0.67034            0.574597           -0.370673          0.00370341            0.866667           -0.761998
            0.097624            0.778381            0.539658           -0.399081          0.00399772                 0.8             -0.9169
            0.097426            0.519056            0.623148           -0.387462          0.00388907            0.813333           -0.259998
            0.097228            0.748316            0.638737           -0.434079            0.004327            0.986667            -0.49182
             0.09703            0.804711            0.620679           -0.441831          0.00440347            0.653333             1.71565
            0.096832             0.79897            0.681099           -0.421587          0.00421508            0.613333           -0.794755
            0.096634            0.547174            0.715987           -0.416904          0.00416387            0.613333            0.997475
            0.096436            0.144783            0.760662          -0.0870143          0.00114031            0.346667            0.119989
            0.096238            0.729014            0.727958           -0.370369          0.00373948                   1            0.204589
             0.09604            0.637748            0.742418           -0.382083          0.00383693            0.666667            -1.65582
            0.095842            0.867014            0.710919           -0.362183          0.00366156                0.88           -0.945663
            0.095644            0.807895            0.646241           -0.434792          0.00434133                0.84           -0.925541
            0.095446             1.01514            0.595026             -0.4361          0.00435395            0.586667            -1.35078
            0.095248            0.744122            0.526038           -0.366677          0.00368151                0.72             0.79629
             0.09505            0.913098            0.480494           -0.363352          0.00364905            0.613333            -1.02664
            0.094852            0.967642            0.501506           -0.188189          0.00197984            0.946667           -0.512906
            0.094654            0.576828            0.555793           -0.249201          0.00250778            0.773333           -0.750448
            0.094456            0.798746            0.508491           -0.327147          0.00331151                0.88           -0.778748
            0.094258            0.856147             0.49818           -0.319478          0.00323525            0.626667            -1.08481
             0.09406            0.701719            0.491343           -0.266496          0.00275661            0.826667             1.25674
            0.093862            0.463086              0.5654           -0.272536          0.00280263            0.906667            0.711556
            0.093664            0.885437            0.519537           -0.315124          0.00318643            0.893333           -0.964704
            0.093466            0.585423            0.509969           -0.310933           0.0031515            0.853333             1.24201
            0.093268            0.918768            0.602143           -0.391011          0.00390641            0.906667             1.15116
             0.09307            0.835221            0.577896           -0.427539          0.00426335                0.72           -0.672102
            0.092872            0.791829            0.644704           -0.436653          0.00435708                0.76            0.979137
            0.092674            0.675915            0.686697           -0.439418          0.00438071            0.586667          -0.0463455
            0.092476            0.980274            0.703222           -0.378999          0.00378575            0.853333            0.391364
            0.092278            0.691972            0.681676           -0.397708          0.00396872                0.96             1.30298
             0.09208            0.693706            0.625037           -0.402447          0.00401349                0.84            -1.37372
            0.091882            0.826701            0.710565           -0.389367          0.00390717            0.706667            -1.58981
            0.091684            0.627378            0.687153            -0.35371          0.00354309            0.693333            0.147894
            0.091486            0.400246            0.701596           -0.349933          0.00350227                 0.8            0.491814
            0.091288            0.569207            0.738943           -0.304204          0.00306979            0.786667           -0.192577
             0.09109            0.626105            0.710491           -0.354371          0.00354559            0.706667            -0.83225
            0.090892            0.872734             0.74894           -0.286811          0.00300058            0.773333            0.380175
            0.090694            0.297821            0.699006           -0.296234          0.00310946            0.866667           0.0139354
            0.090496            0.249247            0.716209          -0.0484901         0.000821217                0.96            -1.05301
            0.090298            0.342304            0.751066           -0.160086          0.00173137                0.92            0.278192
              0.0901            0.673518            0.813316           -0.321332          0.00328457            0.906667           -0.260481
            0.089902             0.75721            0.711978           -0.399068          0.00399733            0.813333             -1.2855
            0.089704            0.459822            0.740575           -0.400915          0.00401652                0.72           0.0200518
