#       TEMPERATURE:                 MU:              SIGMA:             AVE_LE:              ERROR:         ACCEPTANCE:      LAST_X_WALKER:
                 1.5            -1.44481            0.568086             1.60123           0.0321779            0.906667             1.28146
               1.425            -0.95314            0.533783           -0.287057          0.00576787            0.773333            -1.03012
             1.35375           -0.533727            0.537872           -0.278935          0.00556518            0.973333           -0.141421
             1.28606           -0.489789            0.516392          -0.0649017          0.00168638                0.96            0.439628
             1.22176            -1.11495            0.513048          0.00964154         0.000781734                0.84            -1.16314
             1.16067            -0.87074            0.523538           -0.329004          0.00662906            0.866667            -1.50019
             1.10264           -0.640827            0.532096           -0.305126          0.00611855            0.946667            0.672378
             1.04751           -0.662429             0.55842            -0.34969          0.00695326            0.946667           -0.522512
            0.995131           -0.846799            0.555971           -0.397099          0.00790327            0.866667           -0.452656
            0.945374            -1.22809            0.543534           -0.402169          0.00798827                 0.4             2.04263
            0.898105            -0.84575            0.543632           -0.389067          0.00774917                0.92            -0.98952
              0.8532           -0.930167            0.545134            -0.38583          0.00767409            0.586667            0.873681
             0.81054           -0.788366            0.569941            -0.42746           0.0084922            0.813333             1.03489
            0.770013           -0.899343            0.578677           -0.393125           0.0078057                0.92             1.97863
            0.731512           -0.375631            0.603557           0.0256925          0.00175822                0.76           -0.432969
            0.694937            0.584705            0.581367           -0.285468          0.00571027            0.906667           -0.689913
             0.66019            0.907285            0.577895           -0.389818          0.00774383            0.946667            -1.09576
            0.627181            0.889575            0.558969           -0.382883          0.00763657            0.626667            0.306081
            0.595821             0.99295            0.540784           -0.249909          0.00503834                0.96           -0.799442
             0.56603             1.18156            0.496463           -0.260673          0.00525769                0.68             1.42874
            0.537729             1.20045            0.514576            0.243205          0.00495709            0.893333              1.5383
            0.510842            0.983787            0.506349           -0.182127          0.00374826            0.906667            0.956652
              0.4853             1.27775            0.534576           -0.181138          0.00378393            0.426667            -2.02113
            0.461035            0.987253            0.556421           -0.272342          0.00544551            0.973333             0.50109
            0.437984            0.723946            0.525973           -0.341389          0.00683569                0.92             1.07092
            0.416084             0.72338            0.535417           -0.373971          0.00745235                0.88           -0.459306
             0.39528            0.161277            0.562603           -0.367535          0.00732708                0.48           0.0722007
            0.375516            0.654571            0.582957           -0.364674          0.00725649                   1            0.481825
             0.35674             1.02373            0.600363           -0.248521          0.00500217                0.64            0.715092
            0.338903            0.482914            0.595515           -0.136698          0.00296477                0.84         -0.00218371
            0.321958            0.644114            0.644308           -0.365234           0.0072748                0.96           -0.584392
             0.30586             1.02375             0.59153           -0.357517          0.00711367            0.866667             1.37714
            0.290567             0.98113            0.616743            -0.32359          0.00650159                 0.8             1.38063
            0.276039            0.585944            0.630636           -0.315456          0.00630695            0.733333            0.621185
            0.262237            0.444417             0.60495           -0.310238          0.00621094            0.786667            -0.17988
            0.249125            0.594888            0.625632           -0.313091          0.00623896            0.906667           -0.572641
            0.236669            0.477415            0.643993           -0.177084          0.00366773            0.853333           -0.323107
            0.224835            0.933594            0.632136           -0.358334          0.00717368            0.946667            -1.38689
            0.213594            0.423758            0.596954          -0.0561786          0.00177724            0.506667           -0.811385
            0.202914            0.588177            0.588274           -0.279993          0.00559743            0.906667            0.398345
            0.192768              0.8664            0.554941           -0.398533          0.00793066                 0.8            -1.03047
             0.18313            0.966277            0.551274           -0.396842          0.00789405            0.693333           -0.599738
            0.173973            0.961502            0.554008           -0.297579          0.00594827            0.893333           -0.971395
            0.165275             1.02849            0.569553           -0.222888          0.00449579            0.946667            0.907341
            0.157011            0.654822            0.532289           -0.315392          0.00631324                0.92           -0.320837
             0.14916            0.763506            0.541027           -0.399932          0.00795823            0.853333            -1.57642
            0.141702            0.972687            0.547369           -0.375752          0.00748415            0.733333            0.802689
            0.134617             1.05283            0.517202            -0.28688          0.00575241            0.786667             1.26475
            0.127886             0.43653            0.541793           -0.116349          0.00249936            0.933333            0.528179
            0.121492              1.0261            0.547595           -0.217813          0.00437942            0.933333            0.757389
            0.115417            0.577752            0.593291           -0.263443            0.005279            0.746667          -0.0143798
            0.109647             1.00699             0.58884           -0.275262          0.00553624            0.906667              1.5229
            0.104164            0.961503            0.571465           -0.317298          0.00630782            0.853333            -1.30425
            0.098956            0.903092            0.587381           -0.398343             0.00792                0.84             -1.2026
           0.0940082            0.862281            0.584869           -0.420133          0.00834312                0.76            -1.27256
           0.0893078            0.755509            0.602598           -0.434764          0.00862196            0.893333           -0.701642
           0.0848424            0.703619            0.606801           -0.410201          0.00814378            0.546667            0.911818
           0.0806003            0.811107            0.614034           -0.448561          0.00889614                 0.2            -1.04685
           0.0765703            0.950001            0.639125           -0.349325          0.00699408            0.733333              1.1234
           0.0727418            0.595192            0.653513            -0.34067           0.0068309            0.693333           -0.797614
           0.0691047            0.818734            0.663369           -0.429844          0.00854389            0.786667            0.660918
           0.0656495            0.740142            0.689727           -0.404006          0.00803864            0.813333            0.316552
            0.062367            0.812259            0.686659           -0.417129           0.0083025            0.613333           -0.585865
           0.0592486            0.849187            0.706747           -0.376007          0.00752393            0.773333            -1.83598
           0.0562862            0.794475            0.721069           -0.398207          0.00792458            0.746667            -0.61499
           0.0534719            0.739122            0.725937           -0.380605          0.00761449            0.733333           -0.616228
           0.0507983            0.634579            0.736501            -0.39066          0.00777459            0.653333           -0.160056
           0.0482584            0.807425            0.712583           -0.388041          0.00778448            0.906667           -0.306781
           0.0458455            0.899174            0.721649           -0.384691          0.00770417                 0.8            -1.48252
           0.0435532            0.636933             0.78512           -0.329841          0.00661603            0.866667               1.217
           0.0413755            0.620783            0.790682           -0.334586          0.00669328            0.746667           -0.932125
           0.0393068            0.463331            0.790053           -0.247925           0.0050266                0.84           -0.290261
           0.0373414            0.578228            0.770539           -0.313217           0.0062836            0.866667           -0.956424
           0.0354743            0.803168            0.766306           -0.332479          0.00675744            0.866667             1.50641
           0.0337006            0.804126            0.769396           -0.338883          0.00689886            0.653333           -0.348241
           0.0320156            0.673468            0.762666           -0.340305          0.00687981            0.786667           0.0202575
           0.0304148            0.727737            0.793986           -0.347165          0.00696664            0.466667            -0.32609
           0.0288941            0.764445            0.763961           -0.345575          0.00697585            0.853333             1.13489
           0.0274494            0.770733            0.747552           -0.346236          0.00695159            0.813333             -1.4589
           0.0260769            0.647299            0.751484            -0.34633           0.0069797            0.826667           -0.598076
           0.0247731            0.720166            0.748565           -0.344249          0.00693504            0.826667            0.398541
           0.0235344            0.767947            0.754408           -0.361905          0.00724502                0.48          -0.0511925
           0.0223577            0.653467            0.736447            -0.35812          0.00722838            0.733333            -1.27453
           0.0212398            0.615914            0.755625           -0.359715          0.00719028                0.68           -0.697003
           0.0201778            0.873294            0.694023           -0.356493          0.00721081                0.84            -2.19083
           0.0191689            0.568948            0.673451           -0.384691          0.00772005            0.866667           -0.714121
           0.0182105            0.644852            0.679822           -0.359062          0.00714294            0.893333           -0.453608
              0.0173            0.802054            0.672089           -0.423181          0.00841115                0.84           -0.239565
            0.016435            0.664881            0.653546           -0.423358          0.00840608            0.653333           -0.523447
           0.0156132            0.873267            0.653964           -0.413559          0.00823835            0.866667            -0.42548
           0.0148325            0.685835             0.67426           -0.405187          0.00813011            0.546667            0.719755
           0.0140909            0.723867            0.659444           -0.420555          0.00834595            0.773333            0.625453
           0.0133864            0.745738            0.644118           -0.436991          0.00866241            0.746667             -0.2996
           0.0127171            0.829415            0.655801            -0.42295           0.0084212            0.666667            0.499949
           0.0120812            0.703468            0.653226           -0.410674          0.00815154            0.493333            -1.79361
           0.0114771            0.711371            0.674887           -0.409392          0.00812485                0.64             -0.6249
           0.0109033            0.872945            0.668521           -0.406062          0.00805915                0.72            0.685637
           0.0103581            0.816931            0.625885           -0.444094          0.00881414                0.76           -0.852442
          0.00984021            0.826164             0.62171           -0.446938          0.00886399            0.333333           -0.413535
           0.0093482            0.904256            0.602555           -0.445969          0.00884448            0.266667            0.982764
          0.00888079            0.926252            0.624504           -0.396067          0.00787523            0.733333            0.342656
          0.00843675            0.877329            0.626905           -0.417132          0.00829778            0.853333           -0.464182
          0.00801492            0.810976            0.629275            -0.44278          0.00877984            0.773333            0.106886
          0.00761417            0.852738            0.591402           -0.435864          0.00865016            0.573333            0.460114
          0.00723346            0.895805            0.589886           -0.429058          0.00851721                0.56            0.622605
          0.00687179            0.800026            0.587201           -0.434859          0.00862667                0.72             0.83045
           0.0065282            0.823328            0.582368           -0.433052          0.00858963                0.28            0.239861
          0.00620179            0.912381            0.609937           -0.427687          0.00850022            0.626667            0.847829
           0.0058917            0.777572            0.690523           -0.413591           0.0082308            0.746667             1.15978
          0.00559712             0.74933            0.702497           -0.407253          0.00809592                0.32           -0.108705
          0.00531726            0.923269            0.693089           -0.394312          0.00785664                 0.6           -0.583688
           0.0050514            0.720116             0.72896           -0.374381          0.00745415                0.84            0.990427
          0.00479883            0.776899            0.699983           -0.413773          0.00823112            0.573333            0.419936
          0.00455889            0.832009             0.68832           -0.405951          0.00812358                 0.4           -0.968332
          0.00433094            0.703841            0.676967           -0.400246          0.00795106            0.733333           -0.385391
          0.00411439            0.873736            0.679559            -0.40078          0.00796765            0.746667             1.36536
          0.00390867            0.868372            0.694036           -0.388129          0.00778716                0.72            0.668278
          0.00371324            0.825222            0.674109           -0.432093          0.00858878                 0.8             1.35035
          0.00352758            0.750598            0.673044           -0.425353          0.00844996            0.533333            -1.61835
           0.0033512            0.690356            0.670728           -0.428889           0.0085173            0.106667             -1.4456
          0.00318364            0.785556            0.662983           -0.430071           0.0085326            0.653333            0.163045
          0.00302446            0.836925            0.656696           -0.434181          0.00861393                 0.2            0.403223
          0.00287323             0.87855            0.654784           -0.424789          0.00844331                0.48            0.964057
          0.00272957            0.652972            0.636676           -0.402724          0.00806388                0.72            0.830466
          0.00259309            0.805109            0.643472            -0.44257          0.00877915            0.706667           -0.153517
          0.00246344            0.896651            0.647658           -0.434265          0.00862243                0.36            -1.36167
          0.00234027            0.858235            0.653422           -0.412916          0.00823338            0.746667            0.297829
          0.00222325            0.865762            0.669003           -0.407072          0.00812315                 0.6            -0.82722
          0.00211209             0.85387            0.650535           -0.428541          0.00851385            0.666667            0.338047
          0.00200649            0.815414            0.672535           -0.419171          0.00833716            0.706667           -0.605349
          0.00190616             0.75589            0.684218           -0.419292          0.00832762            0.453333           -0.823834
          0.00181085            0.837952            0.680939           -0.424447          0.00842622           0.0133333            -1.12993
          0.00172031            0.694609            0.660875            -0.40168          0.00797294            0.653333             0.66576
           0.0016343            0.700595            0.682688           -0.406183           0.0080692            0.586667             1.57357
          0.00155258            0.810154            0.631866           -0.432942          0.00859325            0.813333            0.808363
          0.00147495            0.746283            0.627182           -0.442473          0.00877398                 0.2           -0.147752
           0.0014012            0.766963            0.635748           -0.438351           0.0086886            0.586667             1.19108
          0.00133114            0.715016            0.632061           -0.442008            0.008767            0.133333             1.01791
          0.00126459            0.787824            0.664156           -0.433645          0.00861079                0.68           -0.131397
          0.00120136            0.828293            0.643903           -0.439616          0.00872462            0.586667           -0.424916
          0.00114129             0.75908            0.651774           -0.436082          0.00866901            0.266667            -1.21992
          0.00108423            0.708292            0.640973           -0.428006          0.00848564            0.453333            0.752421
          0.00103001            0.899408            0.606981           -0.413036          0.00821663            0.693333           0.0178585
         0.000978513            0.858597             0.63387           -0.432059          0.00858455                0.72           -0.744096
         0.000929588            0.660654            0.639633           -0.421539          0.00839609                0.68            -1.29564
         0.000883108            0.941264            0.617427            -0.37632          0.00747515                0.72            0.284622
         0.000838953            0.648228            0.651713            -0.37741          0.00750035                0.88           -0.441745
         0.000797005            0.771834            0.629113           -0.444044          0.00880426            0.693333           -0.913922
         0.000757155            0.788212            0.629005           -0.447115           0.0088627            0.386667           -0.804381
         0.000719297            0.796549              0.6583           -0.434203          0.00862357            0.253333             1.30544
         0.000683332            0.821382             0.66209           -0.438129          0.00869022           0.0133333           -0.878889
         0.000649166            0.906794            0.643715           -0.426859          0.00847766                0.44             0.41157
         0.000616708             0.70977            0.645745            -0.41915          0.00830876            0.693333             1.20732
         0.000585872            0.650191            0.638266           -0.417495          0.00828663            0.733333           -0.635735
         0.000556579            0.913749            0.648278           -0.374618          0.00744722            0.733333             1.38874
          0.00052875              0.8081            0.626017           -0.444918          0.00882868                0.76           -0.737864
         0.000502312            0.741589            0.621651           -0.440884          0.00874789            0.266667            0.111562
         0.000477197            0.825569            0.618895           -0.443163          0.00878849            0.693333            0.316938
         0.000453337            0.878885            0.615278            -0.44444          0.00880833            0.146667           -0.941538
          0.00043067            0.796609            0.602092           -0.437639          0.00867643            0.746667           -0.193744
         0.000409136            0.714832            0.612977           -0.441698          0.00875952                0.28            0.554505
          0.00038868             0.85711            0.602323           -0.428658          0.00851724            0.733333            -1.56344
         0.000369246            0.754475            0.613097            -0.43324          0.00859125            0.573333            0.106362
         0.000350783            0.860588             0.60259            -0.44082          0.00874087            0.173333           -0.786501
         0.000333244            0.905221            0.602357           -0.428298            0.008505                0.52          -0.0747248
         0.000316582            0.687443            0.622218           -0.399379          0.00793605                0.64            0.507423
         0.000300753            0.676323            0.631242           -0.402475          0.00799102            0.813333            -0.88068
         0.000285715             0.67853            0.632308           -0.399228          0.00792311                0.68            0.917621
         0.000271429            0.916588             0.65385           -0.388019          0.00770227                0.72           -0.367336
         0.000257858             0.87989            0.633771           -0.415612          0.00826487                0.84             1.22234
         0.000244965            0.807733             0.64666           -0.433417          0.00860069            0.626667             1.12802
         0.000232717            0.826904            0.635248           -0.438799          0.00871645                 0.2            0.696038
         0.000221081             0.85397            0.634753           -0.442159          0.00877399            0.213333            -1.59562
         0.000210027             0.89039            0.634128            -0.43479          0.00862622                0.32            0.602625
         0.000199526            0.789817            0.653965           -0.435948          0.00864582            0.706667            0.343308
         0.000189549            0.904739            0.624201           -0.434933          0.00863539            0.373333            0.700243
         0.000180072            0.783015            0.623428           -0.442245          0.00876949                0.76             2.02911
         0.000171068            0.815526            0.620814            -0.44369          0.00879901            0.133333            -1.28694
         0.000162515            0.839861            0.620063           -0.439546          0.00871872            0.226667            0.480058
         0.000154389            0.770931             0.62055           -0.441404          0.00874892                0.36            0.303251
          0.00014667            0.698611            0.625942           -0.443858          0.00880537                0.12            0.133767
         0.000139336            0.783378            0.610146            -0.44716          0.00886433            0.706667             1.18795
         0.000132369             0.74983            0.630944           -0.446816          0.00886032                0.08            -1.22795
         0.000125751            0.693919            0.619404           -0.434711          0.00862278                0.48           -0.588075
         0.000119463            0.763591            0.589164            -0.43171          0.00856175                0.72           0.0492518
          0.00011349            0.895953            0.594549            -0.43121          0.00855778            0.386667            0.179766
         0.000107816            0.662292            0.594076           -0.408068           0.0081004            0.773333            0.888263
         0.000102425            0.809711            0.560585           -0.412789          0.00820704            0.866667           -0.929325
         9.73036e-05             0.74712            0.573428           -0.425881          0.00844771            0.333333             1.18588
