#        CITY_INDEX:                  X:                  Y:
                   1             3.45767            0.264639
                   2            0.760227             3.53705
                   3             2.01668             3.48058
                   4            -2.20055             4.36537
                   5              4.5178             4.25213
                   6             3.81923             -2.0958
                   7             2.81925            -4.88856
                   8             3.30226             3.61151
                   9             2.38611            -3.55226
                  10            -2.39566             3.56702
                  11            0.478005            -4.11888
                  12            0.879036             1.23628
                  13             2.04587             4.45156
                  14            -1.58364             2.60044
                  15            -4.60584              1.1281
                  16            -2.86868          -0.0371396
                  17             3.38501             4.92311
                  18            -4.43431            -4.22182
                  19             -4.1309              4.2542
                  20             2.93058            -3.91109
                  21            -1.53666             3.18053
                  22           -0.584588             4.36633
                  23             4.16148            -4.50842
                  24            -4.22079            -2.30455
                  25             4.02376             1.76876
                  26              3.2428             1.46132
                  27            -3.12568            -2.41239
                  28            -4.39915            -3.68162
                  29             -4.8704            -1.21777
                  30            -3.48488             4.77601
                  31             3.23965             2.64042
                  32             4.94451             3.91774
                  33           -0.537894             2.21584
                  34            0.984075            -2.51551
