# CITY INDEX:                  X:                  Y:
            1             4.02847            -2.96166
           22             2.40873            -4.38156
           17             2.34503            -4.41597
            3             2.21902            -4.48062
           18             2.02887            -4.56987
           32             1.86263            -4.64011
           25            0.862647            -4.92502
           15           0.0195261            -4.99996
           26           -0.186774            -4.99651
           34           -0.663632            -4.95576
           33            -2.50234            -4.32877
           28            -2.78381            -4.15336
            9            -3.28188            -3.77217
           31             -3.2956            -3.76019
           24            -3.37324             -3.6907
           12            -3.40224            -3.66398
           11            -4.82084            -1.32648
           21             -4.9732           -0.516987
           27            -4.96091            0.624024
            8            -4.92738            0.849087
            7             -4.8955              1.0169
            6            -4.88485             1.06686
           19            -4.51596             2.14619
           29             -3.0875             3.93286
            5            -1.78347             4.67111
           13              -1.576             4.74513
            2            -1.51775             4.76408
           10           -0.132228             4.99825
           20             1.10804             4.87568
            4             1.79553             4.66648
           14             4.11755             2.83651
           30             4.36402             2.44036
           23             4.89523             -1.0182
           16             4.09155            -2.87388
            1             4.02847            -2.96166
