# GENERATION:    START CITY:        CITY 2:        CITY 3:        CITY 4:        CITY 5:        CITY 6:        CITY 7:        CITY 8:        CITY 9:       CITY 10:       CITY 11:       CITY 12:       CITY 13:       CITY 14:       CITY 15:       CITY 16:       CITY 17:       CITY 18:       CITY 19:       CITY 20:       CITY 21:       CITY 22:       CITY 23:       CITY 24:       CITY 25:       CITY 26:       CITY 27:       CITY 28:       CITY 29:       CITY 30:       CITY 31:       CITY 32:       CITY 33:       CITY 34:     LAST CITY:
            1              1             30             14              4             17             32              7             12             21             24             26             31             27              6              8             28             22             18             16             10             11             34             20              2             33             25             13              5             29             19              9             23              3             15              1
            2              1             13              5             30             14              4             27             19             21             29             28             33             15             18              9             11             34             16             22             32             26              3             24             31             12             17             23             25              7             10             20              8              2              6              1
            3              1             13              5             30             14              4             27             19             21             29             28             33             15             18              9             11             34             16             22             32             26              3             24             31             12             17             23             25             20             10              7              2              6              8              1
            4              1             34             23             32             18             22             26             31             28             11              7              5             13              8              6             21              2             29             33             24             15              9             10             20             16             30             14              4             27             19             12             17              3             25              1
            5              1             34             23             32             18             22             26             31             28             11              7              5             13              8              6             21              2             29             33             24             15              9             10             20             16             30             14              4             27             19             12             17              3             25              1
            6              1             34             23             32             18             22             26             31             28             11              7              5             13              8              6             21              2             29             33             24             15              9             10             20             16             30             14              4             27             19             12             17              3             25              1
            7              1              3             13              5             30             14              4              8             20             10             19             29             27             21             28             33             15             18              9             11             31              7              6              2             34             16             22             32             26             24             12             25             23             17              1
            8              1              3             18             25             22             34             23             32             26             31             28             11              7              5             13              8              6             21              2             29             33             24             27             12             19             15              9             17              4             20             10             30             14             16              1
            9              1              3             18             25             31             28             11              7              5             13              8             12             15             33             23             32             17              4             30             14             10             20              2             19              6              9             24             27             29             21             34             26             22             16              1
           10              1              3             18             25             31             28             11              7              5             13              8             12             15             33             23             32             17              4             30             14             10             20              2             19              6              9             24             27             29             21             34             26             22             16              1
           11              1              3             18             25             31             28             11              7              5             13              8             12             15             33             23             32             17              4             30             14             10             20              2             19              6              9             24             27             29             21             34             26             22             16              1
           12              1              3             18             25             31             28             11              7              5             13              8             12             15             33             23             32             17              4             30             14             10             20              2             19              6              9             24             27             29             21             34             26             22             16              1
           13              1             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             18             26              3             25             22             17             32             23              1
           14              1             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             18             26              3             25             22             17             32             23              1
           15              1             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             18             26              3             25             22             17             32             23              1
           16              1             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             18             26              3             25             22             17             32             23              1
           17              1              3             18             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             26             25             22             17             32             23              1
           18              1              3             18             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             26             25             22             17             32             23              1
           19              1              3             18             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             26             25             22             17             32             23              1
           20              1              3             18             16              2             13              5             30             14              4             20             10              7              9             15             24             33              6              8             29             21             19             27             11             28             31             34             12             26             25             22             17             32             23              1
           21              1              3             34             12             15             25             18             22             16              2             13              5             30             14              4             20             10              7              9             24             33              6              8             29             21             19             27             11             28             31             26             17             32             23              1
           22              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             17             32             23             25             22              1
           23              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             17             32             23             25             22              1
           24              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             22             23             32             17             25              1
           25              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             22             23             32             17             25              1
           26              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             25             17             22             23             32              1
           27              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             25             17             22             23             32              1
           28              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             25             22             17             32             23              1
           29              1             16              3             18             34             12             26             15             33              2             13              5             30             14              4             20             10             29             27             19             21             28             31             11              7              8              6             24              9             25             22             17             32             23              1
           30              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              8              6             33             24              7              2             13              5             10             20              4             14             30             23              1
           31              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              8              6             33             24              7              2             13              5             10             20              4             14             30             23              1
           32              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              8              6             33             24              7              2             13              5             10             20              4             14             30             23              1
           33              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              8              6             33             24              7              2             13              5             10             20              4             14             30             23              1
           34              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              8              6             33             24              7              2             13              5             10             20              4             14             30             23              1
           35              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              8              6             33             24              7              2             13              5             10             20              4             14             30             23              1
           36              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              6              8             33             24              7              2             13              5             10             20              4             14             30             23              1
           37              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              6              8             33             24              7              2             13              5             10             20              4             14             30             23              1
           38              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              6              8             33             24              7              2             13              5             10             20              4             14             30             23              1
           39              1             16              3             18             34             15             12              9             17             32             25             22             26             31             28             11             27             19             21             29              6              8             33             24              7              2             13              5             10             20              4             14             30             23              1
           40              1             16              3             18             34             12             26             15             33             11             21             19              2             13              5             30             14              4             20             10             29             27              6              8              7             31             28              9             24             25             17             32             22             23              1
           41              1             16              3             18             34             12             26             15             33             11             21             19              2             13              5             30             14              4             20             10             29             27              6              8              7             31             28              9             24             25             17             32             22             23              1
           42              1             16              3             18             34             12             26             15             33             11             21             19              2             13              5             30             14              4             20             10             29             27              6              8              7             31             28              9             24             25             17             32             22             23              1
           43              1             16              3             18             34             12             26             15             33             11             21             19              2             13              5             30             14              4             20             10             29             27              6              8              7             31             28              9             24             25             17             32             22             23              1
           44              1             22             16              3             18             34             12             26             15             33             24              9             17             32             25             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           45              1             22             16              3             18             34             12             26             15             33             24              9             17             32             25             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           46              1             22             16              3             18             34             12             26             15             33             24              9             17             32             25             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           47              1             16              3             18             34             15             12              9             17             32             25             22             26             33             31             28             11             27             19             21              7             24              6              8             29              2             13              5             10             20              4             14             30             23              1
           48              1             16              3             18             34             15             12              9             17             32             25             22             26             33             31             28             11             27             19             21              7             24              6              8             29              2             13              5             10             20              4             14             30             23              1
           49              1             16              3             18             34             15             12              9             17             32             25             22             26             33             24             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           50              1             16              3             18             34             15             12              9             24             33             26             22             17             32             25             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           51              1             16              3             18             34             15             12              9             24             33             26             22             17             32             25             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           52              1             16              3             18             34             15             12              9             24             33             26             22             17             32             25             31             28             11             27             19             21              7              8             29              6              2             13              5             10             20              4             14             30             23              1
           53              1             16              3             18             34             15             12              9             17             32             25             22             26             33             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           54              1             23             16              3             18             25             22             17             32             34             15             12              9             26             33             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30              1
           55              1             23             16              3             18             22             17             32             15             34             25             12              9             26             31             33             24             28             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30              1
           56              1             16             22              3             18             34             15             12              9             17             32             25             26             33             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           57              1             16             25             32             17             22              3             18             34             12             26             15              9             33             31             28             24             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           58              1             16              3             18             22             17             32             34             15             12              9             33             26             25             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           59              1             16              3             18             22             17             32             34             15             12              9             33             26             25             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           60              1             16              3             18             22             17             32             34             15             12              9             25             26             33             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           61              1             16              3             18             22             17             32             34             15             12              9             25             26             33             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           62              1             16              3             18             22             17             32             34             15             12              9             25             26             33             24             31             28             11             27             19             21              7              6              8             29              2             13              5             10             20              4             14             30             23              1
           63              1             23             16              3             18             25             22             17             32             34             26             15             12              9             33             24             31             28             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30              1
           64              1             23             16              3             18             25             22             17             32             34             26             15             12             28             31             24             33              9             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30              1
           65              1             23             16              3             18             22             17             32             15             34             25             26             12              9             33             24             31             28             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30              1
           66              1             23             16              3             18             25             22             17             32             34             26             15             33              9             12             24             31             28             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30              1
           67              1             23             16              3             18             22             17             32             25             26             34             15             12             28             31             24             33              9             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30              1
           68              1              3             18             25             22             17             32             34             26             15             12              9             33             24             31             28             11             21             27              6             19              7              8             29              2             13              5             10             20              4             14             30             23             16              1
           69              1              3             18             25             22             17             32             34             26             15             12              9             33             24             31             28             11             21             27              6             19              7              8             29              2             13              5             10             20              4             14             30             23             16              1
           70              1              3             18             25             22             17             32             34             26             15             12              9             33             24             31             28             11             21             27              6             19              7              8             29              2             13              5             10             20              4             14             30             23             16              1
           71              1              3             18             25             22             17             32             15             34             26             33             12              9             31             24             28             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30             23             16              1
           72              1              3             18             25             22             17             32             15             34             26             33             12              9             31             24             28             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30             23             16              1
           73              1              3             18             25             22             17             32             34             26             15             33              9             12             28             24             31             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30             23             16              1
           74              1              3             18             25             22             17             32             34             26             15             33              9             12             28             24             31             11             21             27             19              7              6              8             29              2             13              5             10             20              4             14             30             23             16              1
           75              1             16              3             18             22             17             32             25             26             34             15             33              9             12             24             31             28             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           76              1             16              3             18             22             17             32             25             26             34             15             33              9             12             24             31             28             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           77              1             16              3             18             22             17             32             25             26             34             15             33              9             12             24             31             28             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           78              1             16              3             18             22             17             32             25             26             34             15             33              9             12             24             31             28             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           79              1             16              3             18             22             17             32             25             26             34             15             33              9             12             28             31             24             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23              1
           80              1             16              3             18             22             17             32             25             26             34             15             33              9             12             28             31             24             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23              1
           81              1             16              3             18             22             17             32             25             26             15             34             33             24             31             12             28              9             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           82              1             16              3             18             22             17             32             25             26             15             34             33             24             31             12             28              9             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           83              1             16              3             18             22             17             32             25             26             15             34             33             24             31             12             28              9             11             21              7              6              8             27             19             29              2             13              5             10             20              4             14             30             23              1
           84              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           85              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           86              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           87              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           88              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           89              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           90              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              6              8             19             29              2             13              5             10             20              4             14             30             23             16              1
           91              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           92              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           93              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           94              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           95              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           96              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           97              1              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              2             13              5             10             20              4             14             30             23             16              1
           98              1             16              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
           99              1             16              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          100              1             16              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          101              1             16              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          102              1             16              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          103              1             16              3             18             22             17             32             25             26             15             34             33             24             31             28              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          104              1             16              3             18             22             17             32             25             26             15             34             33             28             12             31              9             24             11             21             27              7              6              8             19             29              5             13              2             10             20              4             14             30             23              1
          105              1             16              3             18             22             17             32             25             26             15             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          106              1             16              3             18             22             17             32             25             26             15             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          107              1              3             18             22             17             32             25             26             15             34             33             28             12             31              9             24             11             21             27              7              6              8             19             29              5             13              2             10             20              4             14             30             23             16              1
          108              1              3             18             22             17             32             25             26             15             34             33             28             12             31              9             24             11             21             27              7              6              8             19             29              5             13              2             10             20              4             14             30             23             16              1
          109              1             16              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          110              1             16              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          111              1              3             18             22             17             32             25             26             15             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          112              1              3             18             22             17             32             25             26             15             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          113              1             16             17              3             18             22             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23              1
          114              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          115              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          116              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          117              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          118              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          119              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          120              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          121              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          122              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          123              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          124              1              3             18             22             17             32             25             15             26             34             33             28             24             31              9             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          125              1             17              3             18             22             32             25             15             26             34             33             28              9             24             31             12             11             21             27              8              6              7             19             29              5             13              2             10             20              4             14             30             23             16              1
          126              1             17              3             18             22             32             25             15             26             34             33             28              9             24             31             12             11             21             27              8              6              7             19             29              5             13              2             10             20              4             14             30             23             16              1
          127              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          128              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          129              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          130              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          131              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          132              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          133              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
          134              1             17              3             22             18             32             25             15             26             34             33             28              9             24             31             12             11             21             27              7              8              6             19             29              5             13              2             10             20              4             14             30             23             16              1
