# CITY INDEX:                  X:                  Y:
            1             3.45767            0.264639
            6             3.81923             -2.0958
           23             4.16148            -4.50842
            7             2.81925            -4.88856
           20             2.93058            -3.91109
            9             2.38611            -3.55226
           34            0.984075            -2.51551
           11            0.478005            -4.11888
           27            -3.12568            -2.41239
           18            -4.43431            -4.22182
           28            -4.39915            -3.68162
           24            -4.22079            -2.30455
           29             -4.8704            -1.21777
           15            -4.60584              1.1281
           16            -2.86868          -0.0371396
           14            -1.58364             2.60044
           33           -0.537894             2.21584
           21            -1.53666             3.18053
           10            -2.39566             3.56702
           19             -4.1309              4.2542
           30            -3.48488             4.77601
            4            -2.20055             4.36537
           22           -0.584588             4.36633
            2            0.760227             3.53705
           13             2.04587             4.45156
            3             2.01668             3.48058
           12            0.879036             1.23628
           26              3.2428             1.46132
           31             3.23965             2.64042
            8             3.30226             3.61151
           17             3.38501             4.92311
            5              4.5178             4.25213
           32             4.94451             3.91774
           25             4.02376             1.76876
            1             3.45767            0.264639
