# GENERATION:    START CITY:        CITY 2:        CITY 3:        CITY 4:        CITY 5:        CITY 6:        CITY 7:        CITY 8:        CITY 9:       CITY 10:       CITY 11:       CITY 12:       CITY 13:       CITY 14:       CITY 15:       CITY 16:       CITY 17:       CITY 18:       CITY 19:       CITY 20:       CITY 21:       CITY 22:       CITY 23:       CITY 24:       CITY 25:       CITY 26:       CITY 27:       CITY 28:       CITY 29:       CITY 30:       CITY 31:       CITY 32:       CITY 33:       CITY 34:     LAST CITY:
            1              1             23              7             24             12              9              2             33             20             11             26             17              8              4             22             25             16             10             30             29              3             31             15             14             34             28             18             27             19             21             13              5             32              6              1
            2              1             23              7             24             12              9              2             33             20             11             26             17              8              4             22             25             16             10             30             29              3             31             15             14             34             28             18             27             19             21             13              5             32              6              1
            3              1             23             31             21             32             13              4             17             26              5             33             30             16             24             12             14             27             28             15             10             19             29             18              6              3              9              7             11             34             22              8              2             25             20              1
            4              1              5              2             12             20             14             29             16             30             19             10             25              8             32             24             23             11              9             34             26              4             13             17             31              7              6              3             22             33             21             15             18             28             27              1
            5              1              5              2             12             20             14             29             16             30             19             10             25              8             32              3             13             22              6              7             28             24             23             11              9             34             26              4             17             31             33             21             15             18             27              1
            6              1              5              2             12             20             14             29             16             30             19             10             25              8             32              3             13             22              6              7             28             24             23             11              9             34             26              4             17             31             33             21             15             18             27              1
            7              1              5              2             12             20             23              9              7             17              3             26             25              8             21             30             24             29             19             22             14             13              6             11             16             15             10              4             27             28             18             34             33             32             31              1
            8              1             23              7             20             14              2             32              8             17             13              9              6             11             16             18             28             27              4             10             15             24             34             12             25              3             31              5             21             30             22             19             29             33             26              1
            9              1             23              7             20             14              2             32              8             17             13              9              6             11             16             18             28             27              4             10             15             24             34             12             25              3             31              5             21             30             22             19             29             33             26              1
           10              1              5              2             12             20             23              9              7             34             33              4             10             15             24             29             14             26             25             32              8              3             21             30             22             19             17             13              6             11             16             18             28             27             31              1
